,hashtag,tweet_id,image_path,body_text
0,Antiimmigration,1300061500023898112,./data_Immigration/Antiimmigration/tweets5/Egq-yQeWAAM5V_D.jpg,"Editorial cartoon by Dave Granlund
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/ZznJf1FN8K"
1,Antiimmigration,1300063612338348034,./data_Immigration/Antiimmigration/tweets5/EgrA8oKX0AM9DYg.jpg,"Editorial cartoon by Drew Sheneman
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/jGAePOg7m1"
2,Antiimmigration,1300067744419905537,./data_Immigration/Antiimmigration/tweets5/EgrEtGjWkAI-pLg.jpg,"Editorial cartoon by David Horsey
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/7SYIBv5Kni"
3,Antiimmigration,1300066934831054850,./data_Immigration/Antiimmigration/tweets5/EgrD7s6XcAAy8lU.jpg,"Editorial cartoon by Matt Davies
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/YaSb2BgEHB"
4,Antiimmigration,1300069079538040833,./data_Immigration/Antiimmigration/tweets5/EgrF6gZXkAAcy3e.jpg,"Editorial cartoon by Jeff Stahler
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/BZyaXvnfHi"
5,Antiimmigration,1290407288537329673,./data_Immigration/Antiimmigration/tweets1/EehylxvWkAAVJLC.png,"Tune in to #BuildingBridges at 7pm.
Today we talk about how the court blocked Trump's Anti-Immigrant Public Charge rules and the DNC blocking Health Care for all. https://t.co/CF9ouvH5th
#WBAI
#PresidentTrump
#Trump
#AntiImmigration
#DNC
#HealthCare https://t.co/uTbllXYf8O"
6,Antiimmigration,1298483119268470785,./data_Immigration/Antiimmigration/tweets4/EgUjgyRX0AI2VWB.jpg,"@clairecmc #Trump is the kid that misbehaves all year, then a week before Christmas he becomes Eddie Haskell.

@realDonaldTrump is a bigot, racist &amp; #AntiImmigration
 Anyone thinking otherwise an idiot.

Standing w/#AfricanAmericans or #Latinos 1 time doesn’t allow you to paint over racism https://t.co/gxxX5B0kdZ"
7,deport,1300095138727751680,./data_Immigration/deport/tweets5/EgrdcPcU4AEF-Qh.png,"GOP @GOP
“The experts tell us that the #USMCA… could create up to 589,000 new #jobs for patriotic #Caucasians across this country once we finally #arrest and #deport all of the Brown People, Poor People, and Icky Immigrants who already have all these jobs now.” -@VP Mike Penis https://t.co/Q2rLLEKfUp"
8,deport,1291384070828707841,./data_Immigration/deport/tweets1/Eevq92-WoAkHUUz.jpg,"…If @realDonaldTrump wants to protect the vulnerable, why did he put #KidsInCages along our #SouthernBorder? Why did he try to rescind #DACA to #Deport #Dreamers? Why does he want to put Kids back into the #PetriDieh of Schools during a #Pandemic?… https://t.co/U35Je7JAw0"
9,deport,1290889057627787264,./data_Immigration/deport/tweets1/EeoowMPWoAEzXWh.jpg,"@AmbCuiTiankai Millions of armed Americans feel different. 
#Decouple Now 
#Deport all Chinese Nationals https://t.co/K9vUm8UB6F"
