,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,Antiimmigration,1300061500023898112,./data_Immigration/Antiimmigration/tweets5/Egq-yQeWAAM5V_D.jpg,"Editorial cartoon by Dave Granlund
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/ZznJf1FN8K","aA

ia

LL) f

6

—w

GET

as

N

Eee

Cu

9 Se

=

i

i

i.

ie

B

il

i

f

wp

4

eet

Aa

i

B|

Ss

z

t

~

je

|

i

l

hi

aaa

i

“ain

ploy secu

te

(A

oY

Ae

UY,

ir

ve!

pe

Ys)

roe

zy

4

bi

C7

ah

a

th

a

oN

y

QO

po

i,

i.

ta

6

i

ae

wt

""

Be

nen

care

i.

ae

a

rae

i

CON

oi) rave to)

SINT Ke

ae
"
1,Antiimmigration,1300063612338348034,./data_Immigration/Antiimmigration/tweets5/EgrA8oKX0AM9DYg.jpg,"Editorial cartoon by Drew Sheneman
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/jGAePOg7m1","SHENEMAN™ IN Seslclag

ff

ase ia,

DON'T

BN

i

CK,

ZB

DON'T

i

Ww

suk
"
2,Antiimmigration,1300067744419905537,./data_Immigration/Antiimmigration/tweets5/EgrEtGjWkAI-pLg.jpg,"Editorial cartoon by David Horsey
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/7SYIBv5Kni","Le

erry

Saat

NEARLY 200,000 ~

AEN

WN 2017, | SPOKE OF

Le) 7.0 aia

COMPU PRE CLOsE ATE

DEON TED

FROM COVID-19

ste Ea) a eed BIDS

BLACK MAN DIES FROM POLICE penis

pA

eS

IMMIGRANT

HUNDREDS OF | BLack JoaGER Hi B

elena

WS

CHILDREN

GUNNED DOWN on HEADS

EORGIA

OF U.S. TROOP!

yt

WN

io

pi

N

BUY AG ONE

EN

Cony

Ne

UNEMPLOYMENT

aN Sa Da

RATE SI

eS Tee

Aa

CEU ea

‘i

‘

Ue

PO]

POO)

Vigilante Kill

[OE

isn Protester

he)

LON
"
3,Antiimmigration,1300066934831054850,./data_Immigration/Antiimmigration/tweets5/EgrD7s6XcAAy8lU.jpg,"Editorial cartoon by Matt Davies
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/YaSb2BgEHB","ems)

GO

4

_— I GRANEY

ANE

esoNt

Wits C

Ya

Soa lay

er:

SEEN CHa ean

f

cue GT tg

4

DIVISION

iy.

~

b

ee

ton |

=

ee

SZ

OLS eens

¥

Omiya

er

B

PRAIDENCY

harbancanys

os
"
4,Antiimmigration,1300069079538040833,./data_Immigration/Antiimmigration/tweets5/EgrF6gZXkAAcy3e.jpg,"Editorial cartoon by Jeff Stahler
#Sexism #Racism #Homophobia #Xenophobia #AntiImmigration #HumanRights #HumanDecency #CommonDecency #DifferenceOfOpinion #CancelCulture #FalseEquivalency #Morality #Trumpism #Election2020 #VoteBlueNoMatterWho #ByeDon2020 #Biden2020 #JoeBiden https://t.co/BZyaXvnfHi","cae ies

io

0

A

sf

\

ator)

aCe lo

os wy CGARENTES.

oR DRNK rsh a

0

io

WN

p

\

\

4 Ears IN

aeons

BUS (aera Oy

AROUND WITH AN AR-IS,

welcore Te ae
"
5,Antiimmigration,1290407288537329673,./data_Immigration/Antiimmigration/tweets1/EehylxvWkAAVJLC.png,"Tune in to #BuildingBridges at 7pm.
Today we talk about how the court blocked Trump's Anti-Immigrant Public Charge rules and the DNC blocking Health Care for all. https://t.co/CF9ouvH5th
#WBAI
#PresidentTrump
#Trump
#AntiImmigration
#DNC
#HealthCare https://t.co/uTbllXYf8O","nana

oo

wo

esa

a)

Bs

ca

ara.

_

ak

a

ao

LS

Ge

eee

a4

ai

me

iy

= mn

a)

ya,

.¥

vfs)

vy

é

Piha

a

eee 11

oe

FOR ALL

ay aabed

pyr

alte C1

ind
"
6,Antiimmigration,1298483119268470785,./data_Immigration/Antiimmigration/tweets4/EgUjgyRX0AI2VWB.jpg,"@clairecmc #Trump is the kid that misbehaves all year, then a week before Christmas he becomes Eddie Haskell.

@realDonaldTrump is a bigot, racist &amp; #AntiImmigration
 Anyone thinking otherwise an idiot.

Standing w/#AfricanAmericans or #Latinos 1 time doesn’t allow you to paint over racism https://t.co/gxxX5B0kdZ","a?

14

are

7;

ml

waa

3 BT

e

LiL ny

HS

ry

Sin

lw A

a
"
7,deport,1300095138727751680,./data_Immigration/deport/tweets5/EgrdcPcU4AEF-Qh.png,"GOP @GOP
“The experts tell us that the #USMCA… could create up to 589,000 new #jobs for patriotic #Caucasians across this country once we finally #arrest and #deport all of the Brown People, Poor People, and Icky Immigrants who already have all these jobs now.” -@VP Mike Penis https://t.co/Q2rLLEKfUp","Brora on

o!}

ef

Ae =

uve

TRUMP

emee

Hex,

rowaeez

From Team Trump (Text PUSSY to 66022) &
"
8,deport,1291384070828707841,./data_Immigration/deport/tweets1/Eevq92-WoAkHUUz.jpg,"…If @realDonaldTrump wants to protect the vulnerable, why did he put #KidsInCages along our #SouthernBorder? Why did he try to rescind #DACA to #Deport #Dreamers? Why does he want to put Kids back into the #PetriDieh of Schools during a #Pandemic?… https://t.co/U35Je7JAw0","KNEEBOTHERS VOUIMORES2

re

te

MG

oo

\ °

sl

ao~

yee

ya
"
9,deport,1290889057627787264,./data_Immigration/deport/tweets1/EeoowMPWoAEzXWh.jpg,"@AmbCuiTiankai Millions of armed Americans feel different. 
#Decouple Now 
#Deport all Chinese Nationals https://t.co/K9vUm8UB6F","» ‘

<-~ -
"
10,deport,1298603345964400640,./data_Immigration/deport/tweets4/EgWQ2v6WAAAnl3n.jpg,"@MarcMillerVM Ottawa can mail me my break down
My status card doesnt covered my medical or mental health needs nor does the urban Indigenous community.
my nation is on lockdown when can I go home is my mental state #deport-me-to-the-rez 
bc Canadians got flights paid by Canada https://t.co/bxK3VRlFLD","NF

<4

~

4

it is time that we,recognize your history

and that we protect your indigendts lands from

corporate interests and 'people whgjare.out there:

toe

=

pl

‘i

loibthem.
"
11,deport,1298423847155195904,./data_Immigration/deport/tweets4/EgTtm5aVoAE6cEP.jpg,"#Deport Me Daddy
https://t.co/XOI0srS481

#Deport #Deportations #KAG #MAMA #TrumpTower #gopconvention https://t.co/Rg8B9hWJCC","When you're giving her that Trump

Tower and she screams ""Deport

me Daddy!""

Pn t AGAIN

=
"
12,deport,1294673232411451397,./data_Immigration/deport/tweets3/EfeZRkRWsAI420a.jpg,"@SeanOMalley666 @theanglocelt Judge Zaidan said it best ""I cannot understand somebody coming from troubled land in search of protection of the Irish State could abuse the hospitality of the Irish people &amp; commit so many offences"". #Deport #Diversityisourstrength https://t.co/gOnTgNipn5","a

MON TOSUL ane,

aes

a

Popo

So

irre

Pease

ne

ag

and

CT on eet

SAAD UNn hea ee

RL a

poe

COL rei

TS ee

oe

ie en

are

re

CR eee

ROU eae TD

~

Ses

Sloe ah

cas

Brel

Se see

Asylum-seeker thief

a ‘nuisance’ - judge

A Palestinian asylum-seeker was told he are

Se oe ewe eta

“a nuisance” by Judge Desmond A. Zaidan at

peat kent

Ce ee eee

UCR Ogu ana emgtete

tne,

ee

Bee CORE Rant Dean comet Eta

be nn ae

ed

Seen MS oe ioc Ma raat die BR ant)

Pee ees

SER ed ui er UNA nee ae ne teen ed

BS oc even nT

- the “abitse ‘the: hospitality Ce wesc Fes oye)

the Donegal offences were committed white

Pena Cee nT em RRS

Sa Tumber af

pe

FF

af offences Pee ER rug

set ee

them for theft, in Monaghan.

CO

De See LUE Oo mCNLCRCT

ites

bees to ad cid

ee

ee

Pa CUS CR ME eu CU mcareetnn

Se

and when he takes alcohol as well it a

i

MER

Be a

Dean mas ach

io

Re Cute oe UU eC eS

Nui ean PoCME CB tumeut cna)
"
13,deport,1295855671775174657,./data_Immigration/deport/tweets3/EfvN2qQUcAUKaVu.jpg,"#deport, a story in 4 acts. https://t.co/QvKRbHYEI9","tl People for Bernie Retweeted

Progressive Turnout Project @... - 6h

""I'm incredibly excited that | get to

e

represent my community at this historic

DNC. | had the opportunity to vote with

other delegates across the nation to

#drawtheline and hold our officials

accountable for a platform that

represents the will of the people!

#MedicareForAll now!""

IAM A

cm

VOTER

‘ben

HSaiyy

R
"
14,deport,1295365888355360770,./data_Immigration/deport/tweets3/EfoPviRVoAABIjj.jpg,"@SylvieAlf @Dizruptor1 @BarnsGreg @MikeCarlton01 @mjrowland68 @phbarratt @vanOnselenP @ProfPCDoherty @theage @ozcrimenews @nickbarnesaus @Disillu31110791 @Akarnious @schitzoziris @waspingtown @5Eyes_insider @JillHennessyMP @cporterwa @thelawcouncil @HighCourtofAus Jaysus!! The #Refugee cannot even get the Day correct @waspingtown @5Eyes_insider

His #Engrish sucks @PeterDutton_MP &amp; he running roughshod thru the Australian and Victorian Judiciary &amp; #JudicialCorruption WITHOUT #ContemptOCourt 

#Deport
🐷🐷🐷👹👌👌👌🔥🔥🔥🐲😤🤢🤮🦠🐒👇👇👇 https://t.co/62VhHwQzHS","ion)

a

J

OY

Ci

A

[Further Filing Amended Prescribed Form $35 Charter Notice 17 August 2020]: AP-20-0314 PHAM, Le -

£

od

Further Appeai Listing on 1 September 2020

cre

=

—

np

o

oe

.

_

cr

ere

eee

a

”

on

ete

ie sea

im

‘

er

a

teed

et

,

rae

Te ee eee aN.

Ea eC Eee a ee Loe ene teed co EC CN mans

Perec etree te teeta er art te Te gee src nie ite eet ethene energie

Application for Recusal of the Judicial Registrars & Judges, for Chief Justice to preside

County Court Appeal AP-20-0314 against Judicial Carruption, Gender Quota Hackery, Racism & White Supremacy eubninating in 51 Deaths in ChrigtChurch Masque

Soc

Pee ce Ss

Ee oan ee Cee ee ae

beeen Race CUR cL Con

De ecerE Cnet oe

crn

cies

Saeko

egg Cees

Looe

ee

Saree orem

Svea reste

ate oeectes

aE ee

eens

fara eon

veo cena

Associates to the General Crime List,

1. Appellant gives further Notice of Matter Le Pham » Departarent of Transport - Cowsty Court Appeal AP.

Morr

Corr Ey

2. Inthe Interest of the Put

the Appellant seeks that the Chief Judge of the County Court hear this matter.

3, The Asylum Seekers and Refugees have been vilified as literate and Innumerate, unwilling and unable to contribute to

Etre nec CR cry

Bee eer Race ee ke eee ay

Dee Rc UE

Seana e se esi Cee ee meas ise

6. The Associates to the list are notified that the Appellant will attempt to file a signed copy of this form (or a further amendment} from email

CR eeu

Sd

re

UO eet sad

Se

eee

eoveae

rye

ill af Rights

seo

aa

TA

oe

Loe

Cou)

4

42

+ arg

ts

}

ug

TD

SS

Pen

i Bongiorno

cir

rn

a at

Co

—

mr

Porert cabsted veh tacell

Ci

See ad

a

Sica lat teeter ete ledidet id
"
