,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,vaccinesSaveLives,1299603371947483137,./data_Vaccine/vaccinesSaveLives/tweets5/EgkeT55U4AAcE4w.jpg,"#vhspl #Coolgix #BioMeds #blockchaincommunity #pharmablockchain #vhslogitech #IOT #healthcaretech #drugcounterfeit #lastmiledelivery #lastmilereach #pharmacy #Biologics #traceability #VaccinesSaveLives #medicaldevices #healthcare
For more, visit:
https://t.co/lKMDNY5Pjo https://t.co/LEz5FtW539",An Block chain Platform for Real Time Temperature Humidity ea Complete Warehouse Ce el Benne Ra Rad ary Assurance Through Technology Batch Quick Stock check play Store
1,vaccinesSaveLives,1290336973278699520,./data_Vaccine/vaccinesSaveLives/tweets1/EegwSloVAAc4q-x.jpg,"Vaccines have been, and continue to be, a very effective way of preventing many dangerous infectious diseases. #VaccinesSaveLives #BeInformed #StaySafe #HealthInfoAfrica #PharmediaGh https://t.co/JeA4YzUQ7a",are SAFE and EFFECTIVE TRAIN our IMMUNE SYSTEM to PROTECT us from ae Shad
2,vaccinesSaveLives,1291308426434424832,./data_Vaccine/vaccinesSaveLives/tweets1/EeumBlyXYAA8jzp.png,"@BusyDrT You lie and lie...
#VaccinesSaveLives
https://t.co/IoeLg43qmp https://t.co/sTekjR6ZP8",Tenpenny vaccination health and the scientific method ly can
3,vaccinesSaveLives,1290990997003001856,./data_Vaccine/vaccinesSaveLives/tweets1/EeqFeGRXkAImuac.png,During National Immunization Awareness Month (NIAM) we highlight the importance of vaccination for people of all ages &amp; why vaccines are important to prevent serious diseases. To learn more visit https://t.co/UU4iM8Pgci. #niam2020 #ivaxtoprotect #vaccinessavelives #immunization https://t.co/Sls96Fb4HA,Oe National Immunization Awareness Month
4,vaccinesSaveLives,1290679674083971080,./data_Vaccine/vaccinesSaveLives/tweets1/EelqUYBWkAAtPEa.jpg,"Worried about keeping your child safe during COVID-19? You're not alone. Talk to your doctor about ways to keep your child healthy, including immunizations. Learn more at https://t.co/hYq9RqSVZ0. #OCCOVID19 #VaccinesSaveLives #VaccinesWork https://t.co/x50DwPQXCu",ROUTINE
5,vaccinesSaveLives,1291326588995477507,./data_Vaccine/vaccinesSaveLives/tweets1/Eeu2r2bX0AAEln3.jpg,"We’ve finished for the summer! Well over 1000 girls have had their HPV2 vaccinations despite the school closures - thanks to our dedicated staff, and @WarwickRaces for their support! 😎☀️🍦@peacenoharm @CWPT_SimonGilby #VaccinesSaveLives https://t.co/7kkQFgXxnE",or wo
6,vaccinesSaveLives,1290317244938027009,./data_Vaccine/vaccinesSaveLives/tweets1/EeggsGqWsAAP6wP.jpg,"If you are pregnant, talk to your health care provider about ways to keep you &amp; baby safe during the COVID-19 pandemic. Frequent hand washing, face covering &amp; keeping up with your immunizations are all recommended safety precautions. #OCCOVID19 #VaccinesSaveLives #VaccinesWork https://t.co/CanQaLCges",On
7,vaccinesSaveLives,1297716115989082113,./data_Vaccine/vaccinesSaveLives/tweets4/EgJp5vsUwAA9-NE.jpg,Dr. Ima Fn Cure wants you to know that the FDA is not blocking corona virus vaccine development. They are going being safe. The HPV vaccine was first developed in 1991 but was not approved by the FDA until 2006. #vaccinessavelives #covid19barbieupdate #scienceitworksbitches https://t.co/oKW54YXFmq,an
8,vaccinesSaveLives,1298971742010929153,./data_Vaccine/vaccinesSaveLives/tweets4/Egbe8uZVAAAY4Dm.jpg,"As we come to the end of August in the United States, remember that immunizations save lives. Thank you #nationalimmunizationawarenessmonth for raising awareness.

#immunization #vaccinessavelives https://t.co/SwB2ZvtjiV",National IMMUNIZATION August awareness month are still threat Vaccination is the best protection Maternity
9,vaccinesSaveLives,1297261442962317312,./data_Vaccine/vaccinesSaveLives/tweets4/EgDMZ1eUcAApzX6.jpg,"In the midst of a pandemic and cancelled appointments, advocating for protection against preventable diseases is so important. Thanks @KPSanDiego for the collab on this campaign. Keep spreading the word. 
#kpvaccines #ivax2protect #vaccineswork #vaccinessavelives @AAPCA3 https://t.co/FjmrEouEmx",mi Yo es
