,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,vaccinesSaveLives,1299603371947483137,./data_Vaccine/vaccinesSaveLives/tweets5/EgkeT55U4AAcE4w.jpg,"#vhspl #Coolgix #BioMeds #blockchaincommunity #pharmablockchain #vhslogitech #IOT #healthcaretech #drugcounterfeit #lastmiledelivery #lastmilereach #pharmacy #Biologics #traceability #VaccinesSaveLives #medicaldevices #healthcare
For more, visit:
https://t.co/lKMDNY5Pjo https://t.co/LEz5FtW539","Coolgix -An IOT & Block chain enabled Platform

for Real Time Monitoring

Temperature/

Eira anf (0) 0s

Humidity

a

Coolgix®

ea)

Complete Warehouse

Ce aed

Monitoring

el

Monitoring

Benne

f

3

e

Ra ou Rad

Puta Cw ary

Assurance Through Technology

Mannual Batch Alerts

Quick Stock check Reprts

play

« App Store

0000 www.VHSLogiTech.com
"
1,vaccinesSaveLives,1291285670737084416,./data_Vaccine/vaccinesSaveLives/tweets1/EeuRd-1XkAALBYu.jpg,"In love 😍
Thank you, @DrJennersHouse ❤️

#EdwardJenner #VaccinesWork #VaccinesSaveLives https://t.co/d0vGKvOjwP","Ng

We

DS

A

“=

nL

o,

AS

al

gon an

sig®

Base as palip?

§x0!

% 180

yon a

yah i
"
2,vaccinesSaveLives,1290336973278699520,./data_Vaccine/vaccinesSaveLives/tweets1/EegwSloVAAc4q-x.jpg,"Vaccines have been, and continue to be, a very effective way of preventing many dangerous infectious diseases. #VaccinesSaveLives #BeInformed #StaySafe #HealthInfoAfrica #PharmediaGh https://t.co/JeA4YzUQ7a","Vaccines are SAFE and EFFECTIVE

Vaccines TRAIN our IMMUNE

weil

tates ee

SYSTEM to PROTECT us from

ae

»

Shad

{.

a)

HealthinfoAfrica

aiiien
"
3,vaccinesSaveLives,1291308426434424832,./data_Vaccine/vaccinesSaveLives/tweets1/EeumBlyXYAA8jzp.png,"@BusyDrT You lie and lie...
#VaccinesSaveLives
https://t.co/IoeLg43qmp https://t.co/sTekjR6ZP8","Tenpenny speaks: vaccination,

health, and the scientific method.

ag

VJ

~

‘

Pe 158/205

aro

ih

4 f

ly

can ine

i

- 4

203/306

eatao
"
4,vaccinesSaveLives,1290990997003001856,./data_Vaccine/vaccinesSaveLives/tweets1/EeqFeGRXkAImuac.png,During National Immunization Awareness Month (NIAM) we highlight the importance of vaccination for people of all ages &amp; why vaccines are important to prevent serious diseases. To learn more visit https://t.co/UU4iM8Pgci. #niam2020 #ivaxtoprotect #vaccinessavelives #immunization https://t.co/Sls96Fb4HA,"Oe,

ee ’

National Immunization

Awareness Month
"
5,vaccinesSaveLives,1290679674083971080,./data_Vaccine/vaccinesSaveLives/tweets1/EelqUYBWkAAtPEa.jpg,"Worried about keeping your child safe during COVID-19? You're not alone. Talk to your doctor about ways to keep your child healthy, including immunizations. Learn more at https://t.co/hYq9RqSVZ0. #OCCOVID19 #VaccinesSaveLives #VaccinesWork https://t.co/x50DwPQXCu","ROUTINE IMMUNIZATIONS

6

cdph.ca.gov/covid19-family
"
6,vaccinesSaveLives,1291326588995477507,./data_Vaccine/vaccinesSaveLives/tweets1/Eeu2r2bX0AAEln3.jpg,"We’ve finished for the summer! Well over 1000 girls have had their HPV2 vaccinations despite the school closures - thanks to our dedicated staff, and @WarwickRaces for their support! 😎☀️🍦@peacenoharm @CWPT_SimonGilby #VaccinesSaveLives https://t.co/7kkQFgXxnE","N

ld

i""

v7;

oy ia

~ ]

or

Aek

=

wo
"
7,vaccinesSaveLives,1290317244938027009,./data_Vaccine/vaccinesSaveLives/tweets1/EeggsGqWsAAP6wP.jpg,"If you are pregnant, talk to your health care provider about ways to keep you &amp; baby safe during the COVID-19 pandemic. Frequent hand washing, face covering &amp; keeping up with your immunizations are all recommended safety precautions. #OCCOVID19 #VaccinesSaveLives #VaccinesWork https://t.co/CanQaLCges","bN

On

VIC 9-family
"
8,vaccinesSaveLives,1297716115989082113,./data_Vaccine/vaccinesSaveLives/tweets4/EgJp5vsUwAA9-NE.jpg,Dr. Ima Fn Cure wants you to know that the FDA is not blocking corona virus vaccine development. They are going being safe. The HPV vaccine was first developed in 1991 but was not approved by the FDA until 2006. #vaccinessavelives #covid19barbieupdate #scienceitworksbitches https://t.co/oKW54YXFmq,"a

| - )

ee

an

h

5

4

4

44

qh

a

m
"
9,vaccinesSaveLives,1298971742010929153,./data_Vaccine/vaccinesSaveLives/tweets4/Egbe8uZVAAAY4Dm.jpg,"As we come to the end of August in the United States, remember that immunizations save lives. Thank you #nationalimmunizationawarenessmonth for raising awareness.

#immunization #vaccinessavelives https://t.co/SwB2ZvtjiV","National IMMUNIZATION

August

awareness month

Vaccine-preventable diseases are still a threat. Vaccination is the best protection

Maternity

Adults

Childhood/Adolescent

gi.

td

-

r

&

Ky

y

y

%

www. best-in-class.com
"
10,vaccinesSaveLives,1298647017045069828,./data_Vaccine/vaccinesSaveLives/tweets4/EgW4kh5XgAkHccX.jpg,"This #quack protest in #London Saturday has some awful #antivax speakers including some who promote banned quackery that's being given to #Autistic kids and #Cancer patients 👇
https://t.co/ntYk82ebAB
#COVID19 #WearAMask
#COVIDIOTS #VaccinesSaveLives #GcMaf https://t.co/dgZf3xxEaO","UNITE FOR FREEDOM

Lu ee

MCC r lay om Me me ira CLO adel

No more Lockdowns - Restore all Freedoms - No to Vaccinations

No to Government Lies - No to Bill Gates - No to the New World Order

TOP PROFESSIONAL DOCTORS AND NURSES SPEAKING OUT

WITH REAL TRUTH ABOUT COVID-19 AND THE PLANDEMIC:

RR

oe

f

aw

9

$

2

Nothing is more important as time is short - the Government will vote

ona 2 year extension to the draconian Covid laws in September 2020.

PSE ea See Eee A

We must take a stand now - Please come and support.

IF YOU KNOW WHAT IS HAPPENING, NOW IS THE TIME TO MAKE A STAND.

WORKING TOGETHER AS ONE WE CAN WIN.

meet oa aes

RVOICE—
"
11,vaccinesSaveLives,1297261442962317312,./data_Vaccine/vaccinesSaveLives/tweets4/EgDMZ1eUcAApzX6.jpg,"In the midst of a pandemic and cancelled appointments, advocating for protection against preventable diseases is so important. Thanks @KPSanDiego for the collab on this campaign. Keep spreading the word. 
#kpvaccines #ivax2protect #vaccineswork #vaccinessavelives @AAPCA3 https://t.co/FjmrEouEmx","YW,

ANENTE.

mi

#VACCINESWORK

Yo

i

,

1

i

i

{

>

i

“

es

yh

=

fo ff,

)

XA

Wh
"
12,vaccinesSaveLives,1299119760257490944,./data_Vaccine/vaccinesSaveLives/tweets4/EgdmhlTWoAEgyUa.jpg,Flu shots are here!  No reason to wait. Protect with vaccines!!#FluShot #vaccinessavelives https://t.co/8znZTmWfSh,"or 5 a

£4

i

Lets

Ot

=

€

a""

i

 .

<=

Tes

ae,

oY

F

&.

es

XK

7

ry

”

~
"
13,vaccinesSaveLives,1298375475438530562,./data_Vaccine/vaccinesSaveLives/tweets4/EgTBnGTXYAAtJu3.jpg,"While we await #COVID19
Vaccine, let's not forget to advocate for #influenza vaccination! Flu infects millions and kills thousands of people in the US each year! I wrote this paper to help you talk to your friends abt it!  https://t.co/GXzCwQUxNj
#VaccinesWork #vaccinessavelives https://t.co/licXkjXa0v","VACCINE UPDATES

Talking to Patients about the Influenza Vaccine

KATRINA M. BYRD, MD

Ube Cees

49% of the US population received the influenza vaccine

Influenza is a significant cause of hospitalization and

in the 2018-2019 influenza season according to the CDC.*

death in late fall and early spring, especially in our most

Here is a summary of key points to use when speaking to

vulnerable populations. Despite high mortality and

your patients about the influenza vaccine.

morbidity of influenza infection, patients are still hes-

1: Offer the influenza vaccine

itant about getting the flu vaccine each year. This ar-

ticle offers advice on educating our patients to address

BUC mo mome snare renewal ricane tee Cmcd

misconceptions and help them embrace this important

Erde hob meas commas teri tare oct ant ME Mec Lo CL RBUICTiTiT ca

eee C uae tate

rate cermin o EO scnt a cCromt Mclain

Pi aar Tel Deters os Mee lCe asic lel AI Ite

patients to be vaccinated.'’ In general, patients have crust

PCC chr cect ea tart

cardiovascular risk, COVID

de penreially ¢erue if the nravider hae haen earring far them
"
14,vaccinesSaveLives,1298791767383273472,./data_Vaccine/vaccinesSaveLives/tweets4/EgY8OqpUcAIQaan.png,"Don't wait... Vaccinate!
#VaccinesSaveLives #VaccinesWork #SayYesToVaccinations #VaccinesFTW https://t.co/ijhOaCWWGn","; rytt| tives 3 t

FV By E RY K iT Ci

CNA Diem

i hth

4

eT

TY i) is BS)

EVERY YEAR

FN
"
15,vaccinesSaveLives,1298968125824806912,./data_Vaccine/vaccinesSaveLives/tweets4/EgbcnoiX0AIdpQg.jpg,"New #BLEACH website has #RobertKennedyJr listed as one of their heroes.

#COVID19 #ChlorineDioxide #dioxidodecloro #MMS #AndreasKalcker #VaccinesSaveLives #WearADamnMask #GenesisII 

https://t.co/xBkXLZ3VhU

https://t.co/wIh9adn0cZ https://t.co/gM1am2Zmsz","clO2

wclo2.tv

a

@

""T FARA HE

OUR HEALTHCAR WS a

Saatinaad

oe

no

7)

@ie

Pr]

m

\'

MOVE

1P

@ http://www CLO2.Ty

ed
"
16,vaccinesSaveLives,1298658028489773056,./data_Vaccine/vaccinesSaveLives/tweets4/EgXCl2tXYAAkDdZ.jpg,"Are you interested in upcoming COVID-19 vaccine trials at @nyulangone Vaccine Center? Join the registry and potentially the next phase of a #CoronavirusVaccine trial.

#ClinicialTrialsSaveLives #VaccinesSaveLives

https://t.co/iJZIQNBAAn https://t.co/Pp6RFSTCrw","ca
"
17,vaccinesSaveLives,1297599004398759936,./data_Vaccine/vaccinesSaveLives/tweets4/EgH_ai-XsAAoPq3.jpg,People been fighting forever against #VaccinesSaveLives https://t.co/AOmEOJCicV,"FF

cai

re Ld hi

SHOT

Row:

#

a

i}.

g ==

ee

-, 1 —_——

fa

Vv OXF

no

if

Yow

—

Br

Oa

a

faa

sity

ieee

A AION

+?

aj

ac

La

a

N

oe

ine

OR

ara

Ou

ee

La

alll

ahh,

rat

as

ie

coe

ai

ee

owe

. on

ae

Te

on

wt. emet w

8

se... s

‘vines

a.

Samy

one ;-

saa

‘er?

mom™ st

sn

ay pXoem f

iw

~ J.

mas (1
"
18,vaccinesSaveLives,1298727238549069824,./data_Vaccine/vaccinesSaveLives/tweets4/EgYBigmWoAIis7z.jpg,"Pregnant? Make sure to speak to your doctor about ways to keep your baby healthy and safe during the #COVID19Pandemic, including receiving flu and whooping cough (Tdap) shots during pregnancy. https://t.co/Pfv6U9nYvS #covid19cafamilies #VaccinesAreEssential #Vaccinessavelives https://t.co/Mw5sue5LFu","bn

Opit.caseo

OVE

re
"
19,vaccinesSaveLives,1296983238510915584,./data_Vaccine/vaccinesSaveLives/tweets4/Ef_IFuCU0AEbbwD.jpg,"Amid #COVID19 pandemic, #Philippine #RedCross volunteers are protecting children from life-threatening #poliovirus. Volunteers go house-to-house to deliver life-saving polio vaccines while observing health standards.

Thank you, volunteers! ❤️

#VaccinesWork 
#VaccinesSaveLives https://t.co/weWC4fZIls","AS

Tf

r

42

Sy |

eh * +t.

ae

aN

bh ae

oe

eatery)!

ve

ag oe

.

yn

af

a,

ix

od

re

‘i

ys

i \

K
"
20,vaccinesSaveLives,1298969043228123138,./data_Vaccine/vaccinesSaveLives/tweets4/EgbddhjWsAEuASk.jpg,"📣 Now state-licensed #pharmacists can administer FDA-approved #vaccines to those ages 3 to 18 during #COVID19, says @HHSGov. This empowers you with options to #StayHealthy and keeps kids on track with their #immunizations. #VaccinesSaveLives
Learn more: https://t.co/k4QJKLZwP9 https://t.co/qAaZkWHPVz","—_

3s

—

i

; ,

——

be

an

\

7

yo

aS

te
"
21,vaccinesSaveLives,1296967647259631619,./data_Vaccine/vaccinesSaveLives/tweets4/Ef_BM5bUcAAhiEi.jpg,4 month immunisations done and dusted. What a champ! #VaxMe #VaccinesWork #VaccinesSaveLives https://t.co/9WhJfAf9Z3,"(

A

‘2

ae

$f

ty

—

”

ce

x

eS

NS

i

SY

ay

aT

LUA

my

ares

Ke,

AS

SS

Aa a

x

=.

—

©)

i

SF

an

Pan]

tA

SS

ay

a

“‘

+i

40,
"
