topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
Immigration,refugees,1297606828461883394,./data_Immigration/refugees/tweets4/EgIGg6aXsAAX5-Y.jpg,./annotation_data/Immigration/EgIGg6aXsAAX5-Y.jpg,"Just one week left to get one of these hand embroidered Grá sweatshirts in aid of @IrishRefugeeCo ❤️
#EndDirectProvision #Refugees #AsylumSeekers
https://t.co/GJhpx7FDTF https://t.co/wQBJUCedym", hoopla focal handmade with gr Gra Cr ,oe
Mask,maskup,1297309098669510656,./data_Mask/maskup/tweets4/EgD3vYTUcAE_JMC.jpg,./annotation_data/Mask/EgD3vYTUcAE_JMC.jpg,"🚧 #SFSO keeping our citizens updated on evacuation orders, please keep everyone in your thoughts and prayers, and continue to stay safe! #SFSOCares #EvacuationOrder #CaliforniaWildFires #StaySafeEveryone #MaskUp 😷🚧 https://t.co/3bWI30aGnq", CONET ISLAND ISLAND CONEY Binitye ,er ha an ey st ge at Bra wy yo ae ae ay at oes Pay er Ne Se oe only van am se Seine io Data
Boomer,caresact,1291464418715459589,./data_Boomer/caresact/tweets1/Eew0B6PWAAYZPCX.jpg,./annotation_data/Boomer/Eew0B6PWAAYZPCX.jpg,"Arguably, this one segment from the #CARESAct could be the foundation of the denial of coverage of tests and services. Read more here: https://t.co/yq7xc5PGln  #testing https://t.co/x27JGRO1U7",,aS is he
Mask,NoMasks,1290561571312328706,./data_Mask/NoMasks/tweets1/Eej-523WsAAJa6h.jpg,./annotation_data/Mask/Eej-523WsAAJa6h.jpg,"@RupertaMargate @FrancaisFarage @John35542712 @WestminsterWAG What?
Based on what I've seen, as above ...the conspiracy theorists and #NoMasks brigade are often Brexiters and/or Trump fans 🤪🤪 https://t.co/3S2xvR2lfc", FALLONTONIGHT ,Ser ah
Immigration,cdnpoli,1297693936782213123,./data_Immigration/cdnpoli/tweets4/EgJVvpkUMAALB8Z.png,./annotation_data/Immigration/EgJVvpkUMAALB8Z.png,"You beat me to it, lol .. #cpc #cpcldr #cdnpoli @CPC_HQ @DonMartinCTV https://t.co/9eUCgkDGyL https://t.co/pECUu00tGi", You couldnt organize a two car funeral procession somee cards user card ,You organize two car funeral procession iS
Vaccine,CovidHoax,1294984802890911746,./data_Vaccine/CovidHoax/tweets3/Efi1z_iXsAICXnH.jpg,./annotation_data/Vaccine/Efi1z_iXsAICXnH.jpg,"States are stock piling food in empty arenas, getting ready for #CivilWar the Elite #DivideAndConquer #Riots #RaceWars #NWO is here! #SnakePoem #TrojanHorse #CovidHoax 
🔥NEVER LOCKED UP #HILLARY, AND HE NEVER WILL! 🤬🔥 https://t.co/lmhif2oU76", Operation Mockingbird Public Perception Management Programming FOx NEWS CNN CIA Project  Fake News ,Public in Project Fake News
Political,Trump2020,1293285378930225153,./data_Political/Trump2020/tweets2/EesIltKXgAAtcGN.jpg,./annotation_data/Political/EesIltKXgAAtcGN.jpg,"@abc_es Democratic Party profits from cocaine trafficked by the cartels and narcos tiranias of Cuba and Venezuela. 

Farc Santos, Maduro, Mexican cartels and the entire continental mafia https://t.co/h9f6VyEN1Z 

#Trump2020", Sorossantismo y castrosocialistas Autor Jos Alvear Sann 28 mayo de 2019  1135 PM Grupos de centroizquierda actan de manera coordinada decidida incesante fantica agresiva e implacable I Cortesa Juan Manuel Santos es miembro principal del directorio de Open Society Foundations 12 ,de de de implacable Lis Be es principal de Open Society
Mask,maskup,1296530527684624389,./data_Mask/maskup/tweets3/Ef4bYebWoAU-hhx.png,./annotation_data/Mask/Ef4bYebWoAU-hhx.png,"Take a look at this team! Our Greensboro Radiology physicians #MaskUp on their virtual call.

@RadiologyACR #transformingradiology #radiologyisateamsport https://t.co/8pxwcTfave", Chris Mamern Sivesh Krishnan Scott Wison Tommy Lawrence MD Jason Poff M Calis hone Worth Saunders Vearys Pad 2 Glenn Yamagata W Derry John Cumes Alex Bibey amegreen nancybalantyne Walter Liebkemann Bindu Boles Alen Crady John Stahl Adam Henn Price Detay Tyler Liton 16467655944 ,ay May Se Sie
Political,maga,1297377429405614081,./data_Political/maga/tweets4/EgE11wjUcAA4FsE.jpg,./annotation_data/Political/EgE11wjUcAA4FsE.jpg,.@realDonaldTrump #MAGA She’s known you ALL your life. Speaking candidly. https://t.co/1a1eOSQ7if, reobhan YOU CANT TRUST HIM SECRET AUDIO OF TRUMPS SISTER ,Em TRUST HIM SECRET AUDIO OF OF ae rig aA Se
Boomer,trumpliesamericansdie,1298382512016818176,./data_Boomer/trumpliesamericansdie/tweets4/EgTIA2cWAAAKPS1.jpg,./annotation_data/Boomer/EgTIA2cWAAAKPS1.jpg,"On Nov.3 Vote for Joe Biden and all Democrats Senators. Tell Trump we don't want a dictator we live in a democracy.
#TrumpChaos
#TrumpLiesAmericansDie 
#TrumpIsALaughingStock https://t.co/ALX0vvzJYT", No Trump Youre Fired ,No Trump re Fired Spec
