,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,caresact,1247299349811474435,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU9MJTXXQAMTtwV.jpg,"Anthony Renzi quoted in S&amp;P Global Market Intelligence article on clients seeking #CARESAct assistance

https://t.co/eZrRnrciE7 https://t.co/zYWSWdFEP1","X

x

SS

y

a

MES

EARS

SZ

Akin Gump

STRAUSS HAUER FELD LLP
"
1,caresact,1247298037904482304,./tweet_data_general/ageism_2020-04/caresact/tweets1/EUsTWvOWoAEHgv0.png,The #IRS recently introduced a new form and procedures for employers to receive tax credits under the #FamilyFirst #Coronavirus Response Act and #CARESAct. Read more from @MarcumLLP here: https://t.co/n1bzBapk9S #COVID19 https://t.co/zVZW8JMwB6,"vo

rm

ve

fos

ars

es ay cy

bse

ene

en

ian

A ee

ad

rs

eG

eu

ne

Brey

vas

io

12

on

a

pera

nr

Ar

WZ

a

er

ay

a

ms

eed

Bend

aa

i

cy

age

ao

ay

ares
"
2,caresact,1247280505793454082,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU86t4MUYAEl2vp.jpg,Join SDEA &amp; @Moss_Adams for a FREE live webinar: CARES Act  Wednesday April 8th at 9:00 AM #caresact #caresact2020 #ilovehr #sdeahrexperts #sandiego #coronavirus #covid19 https://t.co/Y4KM72IwRt https://t.co/7A87G6lINF,"CARES Act

FREE Live webinar

q MOSSADAMS

With Andrew Yacoub

Mm

Kevin Dusi

Jennifer Jacobus

San Diego

rau

A

aaah

EMPLOYERS

HR AT WOR

Join us Wednesday

April 8th at 900AM
"
3,caresact,1247280495718813696,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU87ADaWsAU4AOh.jpg,"SBA Issues Guidance on Affiliation Rules, Uncertainty Remains https://t.co/dHlAaPKhhh #covid-19 #coronavirus #PPP #CARESAct https://t.co/4VDIiu78u6","LL lh

jo

eee
"
4,caresact,1247277290695860231,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU84FN2WAAEyZ2V.jpg,Thank you @SenToddYoung for your hard work to ensure our #pilots and frontline #aviation workers are prioritized in the pro-worker #HR748 #CARESAct @WeAreALPA https://t.co/SOrZVJGlRP https://t.co/TBm6BGMi7x,"ia

i

a

ae

y

v

aR

rt
"
5,caresact,1247255913930592257,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8h5YFWkAM3lYh.jpg,"WEBINAR: Join the Hallandale Beach Chamber on 4/10 at 2PM to understand more about the new #CARESAct stimulus, Paycheck Protection Program (PPP) &amp; how #smallbusinesses can use it to access funds to pay their employees during #COVID19.  ➡️https://t.co/MK3j9Qwvkg #Keepyouremployees https://t.co/HHkH5lsf09","UNDERSTANDING THE

PAYCHECK PROTECTION

PROGRAM

Webinar

Le

eae

2a6

Anthony Adelson sahil

ea raa

reel Castro

ae hae

ane

ae Pane aa ane wk

e 2pm

4 Friday April 10

AUC aetcc lea

PSE

as 1 al ta elle
"
6,caresact,1247263985105321987,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8r--JX0AYGtoU.jpg,"In our latest #COVID19 Response Alert, we take a look at updated guidance from the #SBA on the ""affiliation rules"" for #loan applicants of the #Paycheck Protection Program (part of the #CARESAct): https://t.co/xRsJp45R4l #coronavirus #smallbusinesses https://t.co/7tZOKJwdcA","Ae HaHa Lm ey

Loans Slightly New Guidance on the Affiliation Rules

he

S

e

t

S

C Bent

J C Luxti

Client Alert

LEWIS

COVID19 Respo ac

Bye

BRISBOIS
"
7,caresact,1247268264327159810,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8vO_vXsAgs5Ch.jpg,"🎙 Wed. April 8 at 8 AM on the EverythingHR Podcast, host @FeliciaHarrisHR talks with James M Reid IV, an attorney at @dinsmore_shohl, about the options available to employers and employees when a worker tests positive for #COVID19.
Tune in▶️ https://t.co/YFV5bwa7JJ
#CARESAct #HR https://t.co/v0JLiGc7GE","STIMU eae

WTR na

et thing

WEDNESDAY APRIL 8

Sa Rec eL

EMPLOYMENT AND BUSINESS ATTORNEY

DTU a aaa

Naf

BA

7

SS Ue ae

arts

WS TTR Te ee

Mv

YOUR EMPLOYEE TESTED POSITIVE FOR COVID19 NOW WHAT2
"
8,caresact,1247255289780461569,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8ilsVWoAAdw3V.jpg,"BUSINESS OWNERS: Is the CARES Act working for your business? ProMarket wants to know. 

Let us know via this short survey: https://t.co/mzIRPKR52m

#PPPloan #SmallBusiness #BusinessOwners #SmallBizRelief #CARESAct https://t.co/7dBNgOEoN3","IS THE CARES ACT

WORKING FOR YOUR

BUSINESS

cee
"
9,caresact,1247266084958470150,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8t5H6XkAcv0m_.jpg,"Our Regulatory Compliance Specialist Alma Calcano answers FAQs regarding direct payments recieved via direct deposit or check as part of relief measures under the #CaresAct. #CreditUnions, what you need to know here: https://t.co/eFvUS6KEzg. https://t.co/nu6z4ittwz","a

NS

mm

IN

XS

SS

YS
"
10,caresact,1247257698061529090,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8mLwxU8AADfYP.jpg,"@NCAPER3 is sharing as many #resources as they can as the #Covid_19 crisis continues to unfold. 

Artists and Arts Agencies: please visit their site for info related to the #CARESAct which includes funding for #gigworkers and those who are #selfemployed 

https://t.co/o0e1mJgnVP https://t.co/AnmT7doCzb","The creative courage of creative

people can help to overcome the crisis

We should seize every opportunity to

create good things for the iuture

ne

That is why the following applies

artists are not only indispensable

but also vital especially now

Monika Griitters German Culture Minister
"
11,caresact,1247261565725872128,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8pyFlWoAAYIvf.png,"The Long View: Is Shock &amp; Awe Enough? Read the latest from Investment Strategist Jeff Schulze on #COVID19, #recession #risks and #market #volatility. Click here: https://t.co/83BGWk2EJr #RecessionRiskDashboard #coronavirus #coronavirusoutbreak #pandemic #CARESAct https://t.co/kLFPl1YE3U","re

KS

Stocks have troughed an average

of three months before the end

of past recessions

owe

oa

bere Celi
"
12,caresact,1247266155670142986,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8t9TRWAAAQtaQ.jpg,"Information about COVID-19 is changing daily and so is legislation. In case you couldn't join us for our #COVID19 #CARESAct webinar, you're in luck! For access to the Cares Act Tax Provisions and Opportunities recording, click here: https://t.co/Z2BYm6JBBo https://t.co/owUfJA7OCT","f

an

fa

17
"
13,caresact,1247270612181102594,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8yAumWsAggJzu.jpg,A #Loan To Your #Tenant From The #CARESAct Doesn't Mean It Can Pay Rent #CRE via @Bisnow https://t.co/1duH88sWs6 https://t.co/O0KTB5sCgH,"rd

433

mu

Oe

a

at

os

asks

aN

oe

S

aa

NT

3

0

q

3

ss

8

ak
"
14,caresact,1247266341016330240,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8tB86UcAA6Uh1.jpg,"Join @HollandHart’s Bryan Benard &amp; other panelists as they discuss #Workforce decisions &amp; the #CARESAct, as part of the Marriner S. Eccles Institute at the David Eccles School of Business - Navigating COVID-19 Series. @UBusiness | Registration is free:  https://t.co/o06Q9H9IRk https://t.co/1SA5nO3UZ3","WORKFORCE DECISIONS AND THE

CARES ACT NAVIGATING

COVID19 SERIES

MARRINER S ECCLES INSTITUTE DAVID ECCLES

SCHOOL OF BUSINESS AT THE UNIVERSITY OF UTAH

APRIL 7 2020  1100 AM  100 PM MDT

FREE VIRTUAL SESSION

PARTNER BRYAN BENARD PANELIST

i

iN

on

war

HOLLANDSHART

a

ee
"
15,caresact,1247257022971682817,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8lpnDWAAER4yW.jpg,"I know it’s been awhile since I made a new Mo Money episode (I apologize, I’ll have one soon)

But allow me to sum up the #CARESAct in one meme. https://t.co/CuTtpba2D4","FORWARD

an

ANG

a YANG

ae

ANOREY

YAN

Small businesses and ic

aw

MM FUN HH

individuals 7

Big Government

Large corporations

eee
"
16,caresact,1247266505416478720,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8uCjqXsAArFOG.jpg,#CARESAct resources for #Alabama and #Mississippi are in one handy place - https://t.co/Swo1bGtpHa.  Get links to forms and small business help. And links to National Sea Grant Law Center info. https://t.co/kcRvX76nLL,"eh eS

MS

N

cov

ID

19

Resovice tor Mississippi and Alabama
"
17,caresact,1247254229732990984,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8jHACWoAM0vJ1.jpg,"The #CARESAct provides retirement plan relief and makes financial assistance available to certain individuals affected by #COVID19, including suspending required minimum distributions for 2020 from almost all retirement plans. Learn more: https://t.co/UH77eUguFJ https://t.co/Ci6jZtikwO","COVID19

LEGAL ADVISORY

Key Retirement Plan Components of the

Coronavirus Aid Relief and Economic

Security Act
"
18,caresact,1247262045579415552,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8o0HgWkAYq5Hf.jpg,⚡️#LIVE next on https://t.co/FTFeP8faz3 &gt; @CanopyCity @TCNupdate and @hollarhypeApp are bringing some great live sessions to help entrepreneurs navigate these uncertain times of #COVID19 and make the most of the #CARESAct funding. Register and join the #VirtualEvents. https://t.co/xKnt7UIMOI,"Fa ced fo

RA Ute isl Sat

How has your startup been impacted by

Covid19 and what are you doing about it

A reverse startup demo night and a panel discussion to help startups stay relevant

CARES Act Whats in it for Startups7

Awebinar to better understand how you can benefit from the 2 trillion federal

coronavirus relief package CARES Act that includes the nearly 350 Paycheck

Protection Program to help small businesses affected by COVID19

Level Up for Good creative solutions

Alive conversation with David Langton President of the Langton Creative group who

hype

will help us think about creative strategies we can use to recover
"
19,caresact,1247265333494394880,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8tNgtXsAIL5C2.jpg,"With nonprofits facing unique challenges due to #COVID19, @DHG_NFP is hosting a webinar on 4/9 detailing how the #CARESAct could impact your organization. Register today:  https://t.co/sscaO2ROss https://t.co/aAtqfsEna5","ts
"
20,caresact,1247259555056300033,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8n84AWsAcEIAm.jpg,"Wondering how the #CARESAct addresses loan terms, including interest rate, deferral period, and loan maturity? Tune in to our live webinar on Monday, April 6 at 5PM. Access here: https://t.co/0Yq3bILYty https://t.co/ewzUPm8Y6x","Webinar

NAVIGATING THE PAYCHECK

ay

PROTECTION PROGRAM PPP

ane

ONE WEEK LATER

wie

e

Register Now

e

ss

ve

baal

uncommon law
"
21,caresact,1247269487877009414,./tweet_data_general/ageism_2020-04/caresact/tweets1/EU8w-xGWsAAoiIB.jpg,"Tomorrow Evening at 6pm EST, Independent Contractors are eligible for a Coronavirus Stimulus Loan that you may never have to repay!

Join us on Tuesday, April 7 to hear the latest information on the #CARESAct CARES Stimulus Bill.

Register for FREE at: https://t.co/EsrbhFfPu2 https://t.co/Zz5SeVhvHy","2

if

COVID19 Stimulus Funding

for Personal Trainers

Group Fitness Instructors
"
