,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,CCPVirus,1379533424193531904,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyUWUMKVgAEOwUW.jpg,DNC/MBL/BLM/ANTIFA/BIG-TECH/CCP ARE TERRORIST ORGANIZATIONS TRYING TO ENSLAVE YOU! #Audit #Dominion #STS #2A #1A #14A #MAGA #KAG #Ivermectin #vaccines #COVID19 #CCPVirus #FreeHongKong #DemocratsCheated #USA https://t.co/WEsPK7SMNv https://t.co/V9COqwZS60,"HOW MANY SHOOTINGS DO

WEHANE 10 ORCHESTRATE

4

N

 BEFOREYOU

4

US TAKE YOUR GUNS
"
1,CCPVirus,1379380623421345797,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EySLXXfWUAAOQZG.jpg,"@EmmanuelMacron @Groupe_Urgo #France don’t cooperate with Communist #China , #CCP has created #ChineseVirus, killing millions of innocent lives, and support  #FreeTibet #FreeHK #XiJinping #CCPVirus  #HoldChinaAccountable #BoycottSinovac #BoycottSinopharm #ChinaLiedPeopleDied #VaccineDiplomacy #EU #UK #UN https://t.co/UMIEUtiKqo","Chinese Virus Vaccine

SaxCOTESINOYAC

Beycelt Sinepharm
"
2,CCPVirus,1379443259638964224,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyTEVQ2WUAIZeYE.jpg,"@RealPNavarro @TeamCavuto #DrLiMengYan1 #闫丽梦
#CCPVirus  #CCP≠Chinese
#CCPLiedPeopleDied
#MilesGuo #郭文贵 #WhistleblowerMovement #GNews #GTV 
#TheNewFederalStateOfChina
#TakeDownTheCCP https://t.co/hE8FuhcLrB","x

COVID19

omnis SHINES Party in

A

 606 Vids

 nrestiahh

plow pat

me that the world fac S thet

covib a nd takes

at humanity

i

sg

Dr Limeng Yan
"
3,CCPVirus,1379513332533633024,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyUEC2nVEAA1SP0.jpg,"Rep. Marjorie Taylor Greene Introduces Proposal to Bar ‘Vaccine Passports'
https://t.co/iEF0SHmFjU
#Airlines #CCPVirus #ChinaVirus #ChineseVirus #COVID19 #DrFauci #Employees #MarjorieTaylorGreene #Masks #Passports #Religious #Schools #Sports #USA #Vaccine #VaccinePassports https://t.co/y68XcfIxEF","a

vy

a

a

i

ly
"
4,CCPVirus,1379516933377249284,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyUHVmrXEAMkLKE.jpg,"@RealPNavarro @TeamCavuto Thank you so much for revealing the truth of #CCPVirus! Dr. Fauci is a liar! 
#UnrestrictedScientificMisinformation 
#UnrestrictedBioweapon 
#CCPLiedPeopleDied 
#CCPVirus 
#TakeDownTheCCP https://t.co/8wecyi5jy2","i BREAKING NEWS4

Faucis 301 Pages of

Emails Exposed

Proof of Moles Inside NIH

and WHO Working for CCP

Coronavirus COVID19

f

Aweb user named Huolai 2 dug up information that on February 3 2020

Kelvin Droegemeier head of the White House Office of Science and Technology

Policy OSTP asked each of the three National Academies of ScienceEngineering

Medicine respectively to quickly took into the source of the virus based on an execu

tive order issued by President Trump at the time However the resuits were disap

pointing as the three major institutions finally signed up with OSTP in their conclux

sions that the virus came trom the seatood market or wet market in Wuhan The

very experts who came to this wrong conclusion are again Kristian Andersen Ralph

Batic and Peter Daszak etc

We now see the same names of a group of proCCP moles working from the

inside of the US medical science community The three top scientific institutions

namely the National Academy of Sciences the Academy of Engineering and the

Academy of Medicine have each endorsed the theory of natural origin of the vitus

stil their decisions actually came from Kristian Andersen Ralph Baric Peter Daszak

and others

S0 the White House under Trump administration was unable to follow through

on its antivirus policy because those moles were keeping the internal communica

tions confused and messy Navarro also confirmed this in a Fox News interview

Safeguard human civilization your action is indispensablel

TAKE DOWNCCP

nasi

eoaspuee

Sacesi tg avtiont

Cv Gres Qhttpslgtvorg h httpsignewsorg
"
5,CCPVirus,1379346245077008384,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyRraRNUUAA6BYH.jpg,"@SenselessWorld_ The world 's enemy is china
#ChinaEnemyToTheWorld 
#CCPVirus #ChinaLiedPeopleDied #CCPLiedPeopleDied #CCPBioweapon 
#China_is_terrorist #CCP_is_terrorist 
#Chinazi 

We can #BoycottChina https://t.co/ImX3TQgYVp","DO NOT FORGET The Chinese

doctor who tried to warn others

about coronavirus was threatened

made to sign confession then died

after being infected himself

r

Bbs NEWS

1

aa

The Chinese doctor who tried to warn about

coronavirus

bbccom
"
6,CCPVirus,1379437072763609090,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyS-r7vUcAUxPD_.jpg,"Research network analysis similar to SIXTA from British WW2 codebreaking center, Bletchley Park, used to identify the laboratory origin of #COVID19 - Linking expertise to a local release in the Wuchang epicenter.

#COVID #Corona #CCPVirus #UnrestrictedBiowarfare #OriginOfCOVID19 https://t.co/pRgBxI9M0t","Rm A

ane

rl

Day

Por auy a

Pa

Pra Ceur a
"
7,CCPVirus,1379346843021156357,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyRsNPAVEAgfkO9.jpg,"@Karl_Was_Right oh you mean the #CCPVirus create super bio weapon #CCPBioweapon 
yes that is awesome
#China_is_terrorist #CCP_is_terrorist much stronger than #ISIS 
#ChinaEnemyToTheWorld https://t.co/9hAsoRMaA8","awe

NORTH

SOUTH

VIRUS

AUSTRALIA

CCP

na

Sameer verre artes

Xt

a
"
8,CCPVirus,1379412454413725701,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EySoR3TUcAAeOhJ.jpg,"@TedfromtheMars @MFA_China This is CCP China.Arrest and kill Uyghurs, Tibetans and Hong kongers.The whole world should wake up!NO COUNTRY CAN STAY AWAY FROM China.Covid_19 is a good example that China is everywhere! #CCP_is_terrorist #WuhanVirus #ChinaVirus #CCPVirus #Chinazi #Xinjiang #ConcentrationCamps https://t.co/SFGkPUW0tA","HT mis

z

SIR HE WANTS TO

Reecapheea

a6

4

INSPECT YOUR

wha

Ga Nai

H

7ateal

rey

LABORATO Sa

Es

an

y

a

2

t

4

ras

ft

i

i

ma

if

a

xy

Hh

i

i

2

H

wan

a

ms ern i

een G7

a

ao

oo

4

it

a

s

i

ES

eM

i

a

7

a

Va

ra

Sco

i alae
"
9,CCPVirus,1379321695551414272,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyRVxWHUYAAL5Jj.jpg,"#CCP genocide #Xinjiang, #Tibet &amp; #HongKong, invasion #India.

Next target is #Philippines??

#Chinazi #China #CCPChina #ChinaMustFall #UyghurGenocide #CCPVirus #CCP_is_terrorist #China_is_terrorist #COVID19 #Corona #StandWithHongKong #FreeTibet #FreeUyghurs #UyghurLivesMatter https://t.co/L8ATwSL2Dr","medics

aeed

ft

ae

aos

KORE EN

i

rae

ae
"
10,CCPVirus,1379240048432848896,./tweet_data_general/asianhate_2021-04/CCPVirus/tweets1/EyQLfr4VcAIm2xo.jpg,Download G—TV!  Gnews !👀👇🚨Forward💫spread the truth!🇺🇸Wake up📯 ACTION🗽 转发🕊#UnrestrictedBioweapon #ContemporaryGeneticWeapon #OriginOfCOVID19 #CCPLiedPeopleDied #LudeMedia #ChineseWhistleBlower  #MILESGUO #CCP #TAKEDOWNCCP #THENEWFEDRALSTATOFCHINA #DRLiMengYan #CCPVIRUS https://t.co/FzVNRyXJZ8,"BW EOR SHR i

HIMALAYA CT PANGU

Cy Maar ERIS

eater

MILES GLO en AU NN

VS

RHERKEEE

CHESS Dipl beae ce See eee oo

Lee COL yaa

pe Cn

be bh ee Ie SUL CABES

Po Sh See sce a Gee

bm ee

cok

meNSS RH

VON Aer te Me dE

oS PSE aes ean Lol ere UL elope

poe IP SWE Boba a

1

i

i
"
