,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,MuslimBan,1335621591166824451,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EokUv6JWMAQXLeX.jpg,"@JoeBiden Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/WUv7fYFX2T","i cable apie 77 Aan a mttaer

Foastinital proelemnatton 9606

Fone k 2g

enti 2020
"
1,MuslimBan,1333838580255510534,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EoK_HSVXEAMTWpP.jpg,"@JoeBiden Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/p4HK9mDc8J","BT sir larger ie Bie Bea

Since 2017 until 2020

Re Eero k neg

section 2129 of the Emenigration and Nationatity Act

BE re es i

aA

r

J CES ITs

2

For

ian

wus

Nae

vel

PACE

t

oa

Oty
"
2,MuslimBan,1335249252004425729,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EofCC6OUUAA2usc.jpg,"Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/fXrIEPLJB5","Please give another chance to all lottery

Since 2017 until 2020

eR vob Bebe toe Bhs

si IE Dine Deke Pe Dl wed

Persuant to Presidential proclamation 9645

2 y

r

Ae

J USTiog

FoR

NO

pore

JUSTICE

oy

fr

lal

BAN

atlas

PEACE

i

4

Lay

4

re
"
3,MuslimBan,1334217227294437382,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EoQXfYGWEAESDPN.jpg,"@JoeBiden @KamalaHarris Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/33yXcXdadk","si celta apie 77 Any i pte aera ore

 paodiemation 2645

fone e 2g

ii ae

emt 2020
"
4,MuslimBan,1334169918753923072,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EoPsdXKXEAQUqm8.jpg,"@JoeBiden Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/IqrG1W4jyk","sei ie sper 7a Aloe pA mr acaoralagore

Prasidanttel pooclamatton S625

Si TCeRA UI

emntil 2020
"
5,MuslimBan,1334079865818116096,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EoOajH_XYAE4Y93.jpg,"#Trump2020 #MuslimBan Trump’s legacy is woeful 
Finally we are able to say Merry Christmas Again 
#BidenHarris https://t.co/Tv8BjTLwo7","DONT FORGETTO HATE REFUGEES

AS YOU SET

UE A NATIVITY SCENE

a f

we

te a

m Ge

1 hal

yy

y

VP an

a7

hy

CELEBRATING A MIDDLE EASTERN COUPLE

 DESPERATELY LOOKING FOR SHELTER
"
6,MuslimBan,1335629617730887684,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/Eokb9fmW8AEfmAu.jpg,"@Stan_Zalone It is for me. And, I'm gonna keep reminding people! He is the #DistractorInChief,  and people DO forget. #corruption #TrumpRussia #GunReformNow #Muslimban #Neonazis #DACA #TaxScam #StormyDaniels #JaredKushner #Nepotism #koreandrama #Extortion #rapist #Tarrifs #QuidProCorona https://t.co/6neim8AMod","a

a

ZA

Here s former Republica Bkiahons

state senator Ralph Shortey who was

just sentenced to 15 years in prison

for child sex trafficking

Whatever you do DONT share

this embarrassing photo of him

with his arm wrapped around

fellow criminal Don Jr
"
7,MuslimBan,1335267078425767937,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EofSQnBWEAEP6Le.jpg,"This is going to be like pouring alcohol on an open wound.

#BLM 
#WhiteSupremacy 
#KKK
#GOPCorruptionOverCountry 
#MuslimBan
#childtrafficking - where are the children taken by CBP &amp; ICE? #JeffreyEpstein #GhislaineMaxwell #Trump2020 

Thanks be to #AMERICAFirst bigotry &amp; hate. https://t.co/iXPrzB93Bp https://t.co/Be54MCJf7s","ace

va

istian first

R

second

Cruz
"
8,MuslimBan,1334196026694135813,./tweet_data_general/immigration_2020-12/MuslimBan/tweets1/EoQENxqWMAEkMNO.jpg,"""The plurality of the general public (44%) say a candidate's endorsement of a #muslim ban would decrease their support.""

#muslimban #islamophobia #xenophobia #racism #religion #trump #election #biden #trumpwall #immigration https://t.co/Jh5aupCfSQ","RUTGERS CENTER FOR

SECURITY RACE AND RIGHTS

THE PLURALITY OF

THE GENERAL

PUBLIC 445 SAYA

CANDIDATES

ENDORSEMENT OFA

MUSLIM BAN

WOULD DECREASE

THEIR SUPPORT

ISPU AMERICAN MUSLIM POLL

2019
"
9,MuslimBan,1337824137520222209,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EpDn8d9XYAEHHgV.jpg,"@DrBiden Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/1Dq4QRWxRz","Pree

PERSON 4 theYE

Pease give another chance

to alll Intiery wines who

q

hadtbeensretusedgunder

Pa

21260 and presidential

t

procination 9648

t

Since 2017 wae QO2O

oo
"
10,MuslimBan,1337744710081929216,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EpCfuGWXUAERBTI.jpg,"@americansunited Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/3thfcKIBky","Peed

PERSON e theYE

Pease give ancthar chance

to alll nttery wine who

4

adtbeenbrerusedgunderg

Ss

2126 and presidential

t

procimation 9648

Since 2017 wath 2O2O

oo
"
11,MuslimBan,1337810666745450498,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EpDbtIUWMAYLWgY.jpg,"@JoeBiden please hear our voice..we(Iranian greencard lottery winners) were affected by 212 travel ban for lottery, and it destroyed our dreams and future plans ,as you invited us to your country and refused all of us.
#muslimban
@JoeBiden @AmbassadorRice 
@KamalaHarris https://t.co/i9YDY9fbbk","ANNOUNCEMENT EVENT

a

oreice

Mh eatdisene

foje

Viale

Merical

rigged

speaking Its not orange

man bad

A huge number of Iranian

Diversity Visa winners

between 2017 and 2020

were refused by US

embassies a

e000

am

il
"
12,MuslimBan,1337167963871465473,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/Eo6TKvhWEAEM5ZJ.jpg,"@KamalaHarris @JoeBiden Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/7N13uiLlud","seas super 7 Aloe eg mar ortega

icc iaceeememeniaaed

Shee VI

gs

emntil 2020
"
13,MuslimBan,1337853817199714310,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EpEC8y3XYAMEwcx.jpg,"I am not crying, because my family managed to send me flowers and chocolate for my defense. Leaving this tweet here for me and other Iranians who don’t remember how many years have gone by without seeing our families. #MuslimBan #sanctions #phdlife https://t.co/1zX7PTtCuw","2

a

a

s

a

a

ED

SS

he

fe

p

ee

ee

C2biellaE

2

4

aw

Q Mitel
"
14,MuslimBan,1337426669355855875,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/Eo9-d3bWMAEjQFT.jpg,"@KamalaHarris @TIME @JoeBiden Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/4EJuugVA2E","Peed

PERSON otheYE

Rleascysiveranothemchance

to alll Intiery wines who

fhadtbeensretusedtunderg

t

Pa

21260 and presidential

pprockmmatiion 9645

Since 2017 wat QO2O

rr
"
15,MuslimBan,1338080265747501066,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EpHQ5PoW4AAoWiF.jpg,"Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/hJkSrErICM","Peers

PERSON 4theYE

AR

Please give another chance

ofa PlottcnyawinnerspwDO

fhadtbeensretusedtunderg

aa

ag

t

212G and presidential

Pproclamationyy64 54

x

Since iygun tilp2020

aN

oo
"
16,MuslimBan,1336766201037459456,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/Eo0lxQ9XEAoGNc3.jpg,"@SenKamalaHarris Dear president-elect
 @JoeBiden and @KamalaHarris, 
please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/q87l6T1Yhf","BID Nx

me

HARRIS

KK y

g

please give another chance to all lottery

winners who had been refused under 2

section 212f

Presiden tamation 964g oo

thor untibpen

re
"
17,MuslimBan,1336230395478732800,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/Eos-czOWEAAqzg0.jpg,"please hear our voice..we are greencard lottery winners) were affected by 212 travel ban for lottery, and it destroyed our dreams and future plans ,as you invited us to your country and refused all of us.
#muslimban
@JoeBiden
@KamalaHarris https://t.co/gCeY3i2fHN","Madam Vice Presidentelect Kamala Harris

This is a country of possibilities

Rieasereivelanothenchanceltoralliiotteny

winnersiwholhadibeenjrefused

ADAG 2D2

K 4
"
18,MuslimBan,1336384970529574912,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EovLCjDXIAEV0IJ.jpg,"@JoeBiden Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/7eUlL4mdbi","4 IS

Vw

BID

WX

a

HARRIS

Hey

sy

please give another chance to all lottery

winners who had been refused under

section 212f

Z

p

Presidential same temation 9649

2G

J

MOV evicintan

a O17 undp t
"
19,MuslimBan,1336375923155865605,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EovC0TbXIAgHxNe.jpg,"@MSNBC @MaddowBlog Dear president elect @JoeBiden and @KamalaHarris please give another  chance to all lottery winners who had been refused under section 212(f) of the Immigration and Nationality Act, pursuant to Presidential proclamation 9645 since 2017 until 2020.
#remove_Muslimban
#MuslimBan https://t.co/kgkHAeWWOU","Please give another chance to all lottery

Se aU hee ba roe Bric

ft Uae U

section 21219 of the Emenigaation and Nationality Ac

Bee eG een Bed

yx

r

o peace

ize

t

A sine

Bue

et

Tan

io

y

4

ay
"
20,MuslimBan,1336545623525502976,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EoxdI7LXYAAQKE0.jpg,Please give DV 2017/2020 Lottery “Once in life Winners” Another Chance. #remove_Muslimban #MuslimBan #transition46 @dvlotterynews @dvlotteryforum @DVStateGov_US @AbrahamAiyash @IlhanMN @RashidaTlaib @zaidaldin @rafaesq @TawakkolKarman @neal_katyal https://t.co/0KHL9bUzNT,"Vw

BiD

IN

a

HARRIS

Key

please give another chance to all lottery

winners who had been refused under x

section 212f

Z

me

Presidential sab lamation 9643 oo

va

el

oe

eevionina

amhooi O17 unto
"
21,MuslimBan,1336320697933516800,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EouQlz2U8AkPqN9.jpg,"@KamalaHarris We greencard lottery winners(2017-2020)
were selected and invited by U.S gov,
but all refused just because of our nationality  ( Yemenis) &amp; religion...
It's unfair &amp; against human right
please give another chance
#muslimban
@JoeBiden
@KamalaHarris https://t.co/6TL0wZmTeY","Madam Vice Presidentelect Kamala Harris

This is a country of possibilities

Fiease give anather chance t alll lotiery

winnersiwholhadibeentre fused

ADE 2OAY

X4
"
22,MuslimBan,1336235949383094273,./tweet_data_general/immigration_2020-12/MuslimBan/tweets2/EotDgloXUAAkf5j.jpg,"Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Iranians who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/e3LQ1RUE8I","Madam Vice Presidentelect Kamala Harris

This is a country of possibilities

iRleasereiveranothenchanceltojalifottenyy

winnersiwhojhadjbeentretused

ADAP 2VAD

d
"
23,MuslimBan,1339838296646508544,./tweet_data_general/immigration_2020-12/MuslimBan/tweets3/EpgP0jZUUAEapPk.jpg,"@ReverendWarnock @JoeBiden @ossoff I'm Iranian but not #Muslim.The Iranian people don't choose Islam. At birth, they are forced to have it on their birth certificate.This is a compulsion,not a choice.We are not Muslims in our hearts.And we are only in the captivity of a religious dictatorship.
@JoeBiden
#MuslimBan https://t.co/DAOMnWWpwF","NVAVAYONIA

fi

ull

MUSLIM

Se

eM

SS

ata

I
"
24,MuslimBan,1339692944622825473,./tweet_data_general/immigration_2020-12/MuslimBan/tweets3/EpeLod2WMAImb4H.jpg,"@Transition46 Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Yemenis who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/FKgQUhSXhQ https://t.co/dxLvi0sngc","ple si esi ome eB Bucy ae

Since 2017 until 2020

So RR eB ote tom tog

FP Se OE Sit Tee Le wed

Ba Oe Bale Be peal ir To

wy

r

JUstiog

aay

wv

JUSTICE

nas

SANT

Mas

PERCE

he

ah

A

a
"
25,MuslimBan,1340566375979479042,./tweet_data_general/immigration_2020-12/MuslimBan/tweets3/Epql-ALXMAASue8.jpg,"@JoeBiden I'm Iranian but not #Muslim.The Iranian people don't choose Islam. At birth, they are forced to have it on their birth certificate.This is a compulsion,not a choice.We are not Muslims in our hearts.And we are only in the captivity of a religious dictatorship.
@JoeBiden
#MuslimBan https://t.co/5GZkG18CzF","es

t

x

2

Dear president elect Joe Biden and Kamala Harris

please give another chance to all Lottery

winners who had been refused under section

212f of the Immigration and Nationality Act

pursuant to Presidential proclamation 9645 since

2017 until 2020

oa

fremoveMuslimban
"
26,MuslimBan,1340680332031520769,./tweet_data_general/immigration_2020-12/MuslimBan/tweets3/EpsNpr2XMAE0q3e.jpg,"Dear president-elect @JoeBiden and @KamalaHarris, please give another chance to all Lottery winners including Yemenis who had been refused under section 212(f), pursuant to Presidential proclamation 9645 since 2017 until 2020. 
#remove_Muslimban
#MuslimBan https://t.co/0U96dw1TWT","t

x

By

Dear president elect Joe Biden and Kamala Harris

please give another chance to all lottery

winners who had been refused under section

i Be

212f of the Immigration and Nationality Act

pursuant to Presidential proclamation 9645 since

2017 until 2020

Hremove Muslimban
"
