,hashtag,tweet_id,image_path,body_text
0,NoMasks,1228045087067852810,./tweet_data_general/mask_2020-02/NoMasks/tweets2/EQrkfzAWoAEEChk.jpg,"The #energy we give ourselves, in a #life #Authenticity and #BeYourself #ThursdayMorning #ThursdayThoughts #Quote #QuoteOfTheDay #Inspirational #InspirationalQuotes #ThursdayVibes #ThursdayMotivation #NoMasks No masks. https://t.co/cq7jjNcQVe"
1,NoMasks,1227834941054029824,./tweet_data_general/mask_2020-02/NoMasks/tweets2/EQolXu3WAAAI8yb.jpg,"The #energy we give ourselves, in a #life #Authenticity and #BeYourself #ThursdayMorning #ThursdayThoughts #Quote #QuoteOfTheDay #Inspirational #InspirationalQuotes #ThursdayVibes #ThursdayMotivation #NoMasks No masks. https://t.co/alPXmwLTe3"
2,WearAMask,1225245434832015360,./tweet_data_general/mask_2020-02/WearAMask/tweets1/EQDyOO1U0AAB3-5.jpg,"The most important thing currently in #Hongkong - #avoidcrowds, #washhands, #wearamask, and #staysafe and #bestrong!👏🙏✍😎🍀📚🦋💪👈✌👌🙏 https://t.co/SdtccImDvc"
3,WearAMask,1224225959181553665,./tweet_data_general/mask_2020-02/WearAMask/tweets1/EP1TBI_UwAA8s3U.jpg,"Stay Safe and Stay Aware

#wuhancoronavirus #symptoms #wearamask #washhands #air #Felinecoronavirus #Virus #viruschina #corona #coronavirusoutbreak #fever #flu #headache #coronavirusindia #coronavirus #CoronavirusWho #coronavirus https://t.co/ePoY4VNyen"
4,WearAMask,1223569793418031105,./tweet_data_general/mask_2020-02/WearAMask/tweets1/EPr-OwoVUAEu6S1.jpg,"Stay safe and keep healthy, fellas. ❤
Our battle is not just with the coronavirus. There's the air pollution too. 😔
#WearAMask https://t.co/ESX48Mjse4"
5,WearAMask,1228017807000002560,./tweet_data_general/mask_2020-02/WearAMask/tweets2/EQrLp7mXUAADTpH.jpg,"Here we go again.  Atlanta here I come! I’m not the only one wearing one today! 👍🏻🙏🏻❤️🇺🇸
#coronavirus #flu #wearamask #notgettingsick #dontcarewhatanyonethinks https://t.co/WhHbWUW7cm"
6,WearAMask,1226044379288068096,./tweet_data_general/mask_2020-02/WearAMask/tweets2/EQPI3LyUUAEdi9E.jpg,Heres a picture of our silenced hero didnt draw it as good as he was though #CoronaOutbreak #coronavirus #BeSafe #wearamask #coronasg #usagainstcorona https://t.co/cLvynhgTRl
7,WearAMask,1230247906441080834,./tweet_data_general/mask_2020-02/WearAMask/tweets3/ERK35vTWsAE_Opd.jpg,"Even the fire hydrants in the Village of St Peter’s, Nova Scotia are concerned about the Coronavirus #wearamask https://t.co/kPGsQHXUUe"
8,WearAMask,1232943201977110530,./tweet_data_general/mask_2020-02/WearAMask/tweets4/ERxLS8XU4AIBtOu.jpg,And hey they can also be stylish af. #coronavirus #wearamask https://t.co/QylMDVDr3i
9,WearAMask,1232849588094193664,./tweet_data_general/mask_2020-02/WearAMask/tweets4/ERv2KKrWAAMtckG.jpg,Didn’t risk it #CoronaOutbreak #wearamask https://t.co/zCOxHa1B4S
10,facemask,1225013033551876097,./tweet_data_general/mask_2020-02/facemask/tweets1/EQAe1xFUwAE4cbT.jpg,"Say hi to me if u see me outside🥰
#hkgirl #hkmistress #FaceMask #leatherjacket #香港女仔 ＃女主 ＃口罩 ＃武漢肺炎 https://t.co/KclMt9TgKK"
11,facemask,1225011267489927169,./tweet_data_general/mask_2020-02/facemask/tweets1/EQAdQYoWoAAK5h-.jpg,"Selecting the right face mask is vital when working with exposure to dust and other airborne particles. We explain how to choose the right one for you over on our Facebook: https://t.co/XITDxziEBD

#FaceMask #Safety https://t.co/T21LZHnDEZ"
