,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,facemask,1225390431732666373,./tweet_data_general/mask_2020-02/facemask/tweets1/EQFxjLtXUAEC58f.jpg,Hyper-realistic face masks in a live passport-checking task https://t.co/gCt7D1r1WV #psychology #perception #facemask #passports #facialrecognition #OpenAccess @UOSPsychology @DJRobertson87 https://t.co/jaLR8y74D7,22 general realism realistic ee lack emotion feat ns yas expression figure proportion write justification mention cue categorical detection etc
1,facemask,1225529603210596354,./tweet_data_general/mask_2020-02/facemask/tweets1/EQH0rZ0WkAA68e3.jpg,"Contact us for 80% cheaper Door to Door #Express #Freight from #USA to #Australia. Rates start from $5/ lbs with a transit time of 1-2 days. 
#bushfire #coronavirus #facemask 

Contact us for a quote within 24 hours: https://t.co/JsdjU94y8Y https://t.co/L99e5VhqjL https://t.co/fbcywIWQtt",ela shop ship sawn sa gn tee
2,facemask,1224968207905296386,./tweet_data_general/mask_2020-02/facemask/tweets1/EP_C7B2U8AI-cwc.jpg,bestinaus: 10 of the biggest advertising blunders of recent years - https://t.co/zSTQ5lYLIK #ShockingAds #Facemask #FaceMaskWuham https://t.co/S0z2XLXWjJ,protect virus 50 ose wuhan factory quality assurance mask human tested tn
3,facemask,1225197596848738305,./tweet_data_general/mask_2020-02/facemask/tweets1/EQDGtlmU8AAr45o.jpg,"https://t.co/FZHSdizKaU

Click the link to watch my #naturalhaircare video #curlyhair #curly #DIY #aztechealingclay #facemask #lifehack https://t.co/eNxAoyCBBa",ub like wt pr pple cider min neg alte teare ae
4,facemask,1224764212099944448,./tweet_data_general/mask_2020-02/facemask/tweets1/EP88jpOUUAAZarm.jpg,Okay. Wow. So this is where society's at as well. #FaceMaskFashion #FaceMask https://t.co/HfKEtlxGKd,ve eli sponsor th sign cae vay protection airborne particle currently stock sign wait list notify new product
5,facemask,1224878851748245504,./tweet_data_general/mask_2020-02/facemask/tweets1/EP-k0k5WsAA9SXV.jpg,"We Have Surgical Face Mask
We have virus &amp; disease coveralls
We are taking care of our retailers and we are taking NEW customers.Made in USA🇺🇸 since 1972 #FaceMask #Coveralls #CoronavirusOutbreak https://t.co/KNqJl1gXH1",sell face mask sorry inconvenience sy pea
6,facemask,1224903435570556928,./tweet_data_general/mask_2020-02/facemask/tweets1/EP-7LvWWsAEnmEL.jpg,"Detoxifying Impurities Face Mask.  Natural volcanic kaolin clay detoxifies, filters and lifts impurities from deep within pores.  Learn More https://t.co/N5GW8A5F0f
#moisturizer #beconfidentbeaute #veganskincare #skincareblogger #influencerdigital #influencer #serum #facemask https://t.co/hIXtmybU2U",qa ns ne aes cone en weed aera ene
7,facemask,1224937417762672641,./tweet_data_general/mask_2020-02/facemask/tweets1/EP_Z_ylU0AAoHbm.jpg,"#phos4us – #ChocolateFacePack

Available at
#Amazon - https://t.co/TDTSOfGlbZ
#Flipkart : https://t.co/jEov5lj7mA
#Nykaa : https://t.co/Tfmaa8tNjW
#HNF : https://t.co/7hqw1UOpGX

#FacePack #FaceMask #ChocoFaceMask #CaffeineFacePack #AbHarWishHogiPoori #YourBeautyOurPassion #HNF https://t.co/jLXjCHV89i",3c radiance aa naa instant radiant skin ms ae ay 3c ree nexy au
8,facemask,1224326463576530944,./tweet_data_general/mask_2020-02/facemask/tweets1/EP2uaUTWkAAwROa.jpg,China Virus_Fears Grow/Stocks Plunge! #coronavirus #who #chinavirus #shcomp #pboc #wuhan #sars2020 #wuhanlockdown #unesco  #travel #finance #banking #stock #market #crisis #yearoftherat #wuhanvirus #flu #vaccine #facemask #xijinping #economy #security #panic https://t.co/UYsJEk6tDC,free 20f fate 20 2f 00 228 1101 230 216 907 227
9,facemask,1224364430290452481,./tweet_data_general/mask_2020-02/facemask/tweets1/EP3Q9TZWoAIf1jx.jpg,"I encourage everyone to use a #facemask at lease once a week to get rid of dull, tired looking skin. 

The right face mask can help hydrate skin, remove excess oils, help clear away impurities &amp; improve the appearance of your pores.

Read more here: https://t.co/JgsqpsCpgr https://t.co/8lFT5zjh8P",facial masks easy apply fic meee elm sie eta great deliver instant result wy apa tren blog post tell
