,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,babyboomers,1291437406328160256,./tweet_data/ageism_08/babyboomers/tweets1/EewbejqWoAI_mVi.jpg,"Tag a friend and follow @icebreaker_memes for more funny content daily!
.
.
.
.
.
.
#offensivememes #dankmemes #memes #memes😂 #funny
#funny memes #lol #lmao #f #bruh #bruhmoment #epic
#epicmemes #boomers #babyboomers #boomermemes #nnn
#nonutnovember … https://t.co/7IT7BIOK8s https://t.co/tlW0b93czG",march august
1,babyboomers,1291177246019985408,./tweet_data/ageism_08/babyboomers/tweets1/Eesu3MEX0AEqZw_.png,Are you over 50? You can change careers! How? Listen now: https://t.co/pR1vWNWzhx  Mature age workers often have a hard rap I have a chat on Matt Tukaki Here's what you can do to get a job over the age of 50! #babyboomers #jobseekers https://t.co/8rB9pRK6kW,tiss career ey ota 507 job
2,babyboomers,1291176253324693507,./tweet_data/ageism_08/babyboomers/tweets1/Eest9ZEWsAEZimQ.png,How #BabyBoomers are creating the life of their dreams #online &gt;&gt; https://t.co/q5JOQyaCJx https://t.co/ZxEwsyS3VC,baby boomer ess baby boomer gee es
3,babyboomers,1291361456823427080,./tweet_data/ageism_08/babyboomers/tweets1/EevWZakX0AAXWGr.jpg,Is your team appropriately navigating the workforce generations? #ForgottenRespect may be one of the stumbling blocks. This resource avail on Amazon: https://t.co/FuNhnvuoHC  #GenZ #Millennials #BabyBoomers #GenX #traditionals https://t.co/i7JPh0ZYbn,get res bg ee es nga av ee ret ine al nall co lot vot tea gilbert ena
4,babyboomers,1291061505316749313,./tweet_data/ageism_08/babyboomers/tweets1/EerFdjdXYAI7qn0.png,"""I can't help but reflect upon my generation without saying, 'We got this!' "" @RobDouglas01 on Gen X, the current times and pushing through it. https://t.co/8qf8fpjr7P

#generationx #generationy #generationz #babyboomers #covid19impact https://t.co/4RjfS1uVaY",es ssa ic ee fil eee gen prepared generation jf america right iy fay om ll qe ke sn
5,babyboomers,1291132314907553793,./tweet_data/ageism_08/babyboomers/tweets1/EesF_5DXYAEcDgI.jpg,Is Saving 10% of Your Income Enough for Retirement? https://t.co/ozNvpIVF3g  #BabyBoomers #SaveForRetirement https://t.co/P88JXkE1uh,save retirement
6,babyboomers,1291404947167346690,./tweet_data/ageism_08/babyboomers/tweets1/Eev99KNWsAAj8HR.png,"Get ready to fall in love all over again.
⛱ TEN DAYS IN PARADISE ⛱
https://t.co/9E8K8OXJe9
#KindleUnlimited 🌊🌊
#Audible #Audiobook 
#WomensFiction #FamilyDrama
#LoveAffair #BeachRead #Books 
#BookClubReads #Novel #SummerParadise2020 
#BabyBoomers #Books #Ebook 🌴☀🌊 https://t.co/UmXaNgnLRK",sss sx ss ww cs cie pawel
7,babyboomers,1290679786231169026,./tweet_data/ageism_08/babyboomers/tweets1/EelqbOtWsAckzAN.png,1 In 4 Americans To Tap Retirement Accounts During Coronavirus Pandemic https://t.co/9pApskOrR0 #StayHome #BabyBoomers #Retirement https://t.co/ie4TD8zNv2,house pag
8,babyboomers,1290304974363090944,./tweet_data/ageism_08/babyboomers/tweets1/EegViPyX0AA4HdK.jpg,"A 5 Star Review for ""We 3"" A book about love &amp; devotion https://t.co/Lmp71RtCN6 #caregivers #babyboomers https://t.co/TZoXrI640z",aa v8 reena
9,babyboomers,1290671489302376455,./tweet_data/ageism_08/babyboomers/tweets1/Eeli4TbXYAIERN4.png,"A year ago we published ""Slow Travel on the Natchez Trace Parkway"" https://t.co/dDEjOwkvVK #Babyboomers #NatchezTraceParkway #Mississippi #slowtravel #Hiking #News #getoutdoors #Cycling #bicycling https://t.co/WJRRrPN78F",slow travel natchez trace parkway julie price travel
10,babyboomers,1289924632829554688,./tweet_data/ageism_08/babyboomers/tweets1/Eea7nf-WAAAOd03.png,"We love this design with the swiveling seat! https://t.co/fq6LmwFDKC

#Seniors #Aging #AssistedLiving  #Mom #Dad #AgingParents #Family #Caregiving #Caregivers #SeniorCare #ElderCare #SeniorLife #Babyboomers #boomers #Medicare #Health #home #Age #bathroom #bath https://t.co/rj15ARsXmf",com age shop smart 3609 oe ss swivel bath seat sv lease pin
11,babyboomers,1289625509697998848,./tweet_data/ageism_08/babyboomers/tweets1/EeWrkSkUwAE3X8q.jpg,"Tag a friend and follow @icebreaker_memes for more funny content daily!
.
.
.
.
.
.
#offensivememes #dankmemes #memes #memes😂 #funny
#funny memes #lol #lmao #f #bruh #bruhmoment #epic
#epicmemes #boomers #babyboomers #boomermemes #nnn
#nonutnovember … https://t.co/0M0o78A7Tt https://t.co/DtvL6xW0wP",thing wanna try bedroom get hour sleep aaa ae oe cheer ia
12,babyboomers,1289612528285147136,./tweet_data/ageism_08/babyboomers/tweets1/EeWfwM_U4AANUkg.jpg,"#Babyboomers, you'll love this one &amp; it's #FREE on #Kindle today (8/1): 

BELL-BOTTOM GYPSY (Jessie Morgan Series, Bk 1) 
by Maggie Plummer 

An adventurous '70s journey along America's back roads. https://t.co/1OS9gZEJ1g 

#1970s #womens #Fiction 
#iartg #ian1 
#adventure https://t.co/io1xByJj6l",es om bo ual gy psy pr ee event novel
13,babyboomers,1293525220897312768,./tweet_data/ageism_08/babyboomers/tweets2/EfOGVPlXsAAh-Jb.jpg,"HAPPY YOUTH DAY!😊

to all the #70skids #80skids #90skids #2000skids #babyboomers #genx #geny #genz https://t.co/4TAhra4JFx",ay ime 19 pre ic ice py listen ae clueless life al worry ny youre happy youth day
14,babyboomers,1294000895701725186,./tweet_data/ageism_08/babyboomers/tweets2/EfU29QyXkAAZvvw.jpg,"Today's workforce is composed of several generations working side by side, including #Millennials, #GenXers, and #BabyBoomers. This #podcast discusses how your #HR group should communicate to each generation. https://t.co/xpSvG9XZc9 https://t.co/tTdwmsglUb",critical
15,babyboomers,1293283040207212545,./tweet_data/ageism_08/babyboomers/tweets2/EfKqElEWoAUnCuH.jpg,"""I could feel, see, and hear the tropical paradise.""
⛱ TEN DAYS IN PARADISE ⛱
https://t.co/ppdLX4ePX8
#KindleUnlimited 🌊🌊
#EscapeToParadise #Summer2020
#Summertime #VacationMode
#WomensFiction #LoveAffair #BabyBoomers
#IslandReads #Florida #ReadIndie 
#Ebook #Audible 🌴🌞🌊 https://t.co/fByDAvcQBv",day paradise se ft rel ce ni nv ae sa sar ss aan ee ra
16,babyboomers,1293596022489456642,./tweet_data/ageism_08/babyboomers/tweets2/EfPGuLmXkAIjPt2.jpg,"#GenZ social media use has stayed the same during the COVID down-time, but #babyboomers have dramatically increased their use of social &amp; their behavior is sticky. Thanks for this insight @jamesmulvey https://t.co/1gNfSxEev0",week august 16 rt xt 14 pa ks aes
17,babyboomers,1293924966023548929,./tweet_data/ageism_08/babyboomers/tweets2/EfTx5KtX0AUdngv.jpg,"Some rainy day reading from my book. @dottie_eubanks #WritingCommunity #writing #childhoodmemories #ThursdayMotivation #ThursdayThought #bookblogger #Trending #babyboomers Smoked Like Chimneys, Drank Like Fish: Raised Under the Influence https://t.co/XOSs5P5U2T https://t.co/1aIAzmvMLb",aa car culture old thing conk bit like car long mechanic fix chug thousand mile len goodman ee beh
18,babyboomers,1293261791888318465,./tweet_data/ageism_08/babyboomers/tweets2/EfKWvxTWoAANyKE.jpg,"With 4 generations in the job market, each have merits to contribute to the tech industry. You can achieve great innovation from those with decades of experience &amp; those with a modern perspective. Read more: https://t.co/vx8YZo2qSm #babyboomers #genxers #millennials #centennials https://t.co/3CybsOeNRe",oe teint hire tech space
19,babyboomers,1293820854225326081,./tweet_data/ageism_08/babyboomers/tweets2/EfSTNcZWsAI6XBx.jpg,A new #research found that the most enduring and profitable advised opportunity is linked to the various retirement life stages of #babyboomers and propositions must be developed to ride the wave of those in and approaching #retirement 👉 https://t.co/amVM2xjxdU https://t.co/VaN4spk0Vv,la tf st tani ret lee advisers creative attract new client future survival
20,babyboomers,1293174251512647680,./tweet_data/ageism_08/babyboomers/tweets2/EfJHIPIXsAIy0OA.jpg,"Prevent Falls before they cost you independence, health &amp; mobility! https://t.co/v1wh3XyJWg

#Seniors #Aging #SeniorCommunities #Mom #Dad #AgingParents #Family #Caregiving #Caregivers #SeniorCare #SeniorLife #Babyboomers #Health #home #HomeImprovement #AginginPlace #ageinplace https://t.co/TrJmSo9Hzt",cs senior com ue
21,babyboomers,1292899768277110789,./tweet_data/ageism_08/babyboomers/tweets2/Ee7s2-qXoAAlweg.png,"Israel is not only the Holy Land, it’s way more than that! Get the 411! READ Traveling Boomers – Second Stop Israel. ONLY 99₵ https://t.co/NtJ6lbhLJd 
https://t.co/svyPb7HtTF 
#Travel #Israel #traveltoIsrael #BabyBoomers #Airplane #amreading #lovetoread #JoannesBooks https://t.co/o3nzaoi0C4",grab screed today ease
22,babyboomers,1292976020333748225,./tweet_data/ageism_08/babyboomers/tweets2/Ee7tjdAWoAE-kjh.jpg,"Shalom from Israel! Book your trip but 1st READ Traveling Boomers – Second Stop Israel for ONLY 99₵ https://t.co/NtJ6lbhLJd 
https://t.co/svyPb7HtTF
#Travel #Israel #traveltoIsrael #BabyBoomers #Airplane #amreading #lovetoread #JoannesBooks https://t.co/lZxhMYjmWk",bleu btc bea ee ee ps faget ee ee ed oe
23,babyboomers,1292811816771493888,./tweet_data/ageism_08/babyboomers/tweets2/EfD9fxvXsAEdJ3P.jpg,"Ride in STYLE in 2020! Introducing the Gatsby Scooter! https://t.co/WVsIhZj5dg!

#Mobility #Seniors #Aging #SeniorCommunities #Mom #Dad #AgingParents #Family #Caregiving #Caregivers #SeniorCare #SeniorLife #Babyboomers #Medicare #Health #ageinplace #travel #AARP #SeniorLiving https://t.co/HJLNCuggWO",mi luh xa cast exclusive limited edition ar
24,babyboomers,1292134069094854660,./tweet_data/ageism_08/babyboomers/tweets2/Ee6U9jjU4AAfEMy.jpg,"@RickBava1 is a #babyboomer thought leader- and Author of the respected #book- ""In Search of the Baby Boomer Generation.""
@RickBava1 is part of the leadership team at Today's Senior Magazine- the leading #publication for #babyboomers and #seniors - https://t.co/XP1TWdeomW https://t.co/orGsjINWBL",csi ad sa fae oes bebe es bd ay rs ee ey ay pr pe generation
25,babyboomers,1292434033767518208,./tweet_data/ageism_08/babyboomers/tweets2/Ee-l57OWAAAZsv6.jpg,"Tag a friend and follow @icebreaker_memes for more funny content daily!
.
.
.
.
.
.
#offensivememes #dankmemes #memes #memes😂 #funny
#funny memes #lol #lmao #f #bruh #bruhmoment #epic
#epicmemes #boomers #babyboomers #boomermemes #nnn
#nonutnovember … https://t.co/CHGIVHwbYO https://t.co/30BPl0Dpor",ya ea get pornhub premium dad credit card oe ce pe
26,babyboomers,1296487566720618498,./tweet_data/ageism_08/babyboomers/tweets3/Ef4MYEKXkAEZeCG.jpg,"How are #BabyBoomers utilizing technology? Scott Overholt will break down common myths about Baby Boomers and technology and how to take advantage of this opportunity waiting in your book of business. 
Listen here: https://t.co/eiEYAn2cV8

#MedicareBroker #InsuranceBroker https://t.co/hhtTKTEs0Y",baby boomers vibrant individualistic innovative economic generation influence transform inventor adopter today technology ix scott vice ieee consumer senior markets
27,babyboomers,1296343021055860736,./tweet_data/ageism_08/babyboomers/tweets3/Ef2JG4bWsAAx2yv.jpg,A book that will warm your heart and stay forever in your memory https://t.co/wRFVTA6hU4 #babyboomers #IARTG https://t.co/wCuQpClGKT,mom live cat life os sleep eat small frequent meal nice warm cuddly armful wait usually ask get like snyder
28,babyboomers,1295873174916268033,./tweet_data/ageism_08/babyboomers/tweets3/Efvdx-7XgAAxfXo.jpg,"“For all they have achieved throughout life and for all they continue to accomplish, we owe older citizens our thanks and a heartfelt salute."" 

#MutualReverse #RonaldReagan #retirement #HECM #H4P #babyboomers #ReverseMortgage #retirement https://t.co/kH4jz0GU4y https://t.co/q2WFneiFIM",qe ey py alge le national senior citizens day yf tn ea iv kel ace
29,babyboomers,1295348685816111104,./tweet_data/ageism_08/babyboomers/tweets3/EfoAvfdX0AEK55G.jpg,#BabyBoomersRecognitionDay - Baby Boomer Food Trends That Changed How America Eats #BabyBoomers  https://t.co/FVul39faIL https://t.co/qp9mgHq7Gu,ave baby boomers recognition aay cae poet ar le ae pt 17 mx 94 lz
