,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BoycottChina,1335668448605646851,./tweet_data/asianhate_12/BoycottChina/tweets1/Eok_JMSW8AEnRfb.jpg,"@Reuters Furious to hear what happened to Ted Hui and his family. They are not criminals.

Businesses should quit Hong Kong as CCP may forfeit your assets with whatever reason.

This is one of how ugly the regime can be. Be aware and we urge to world to #boycottChina. 

#StandWithHongKong https://t.co/He5oQHLajf",cw country fi ls iil es le yl
1,BoycottChina,1335458775810023428,./tweet_data/asianhate_12/BoycottChina/tweets1/EoiAq5lU0AItN1n.jpg,And foolish blind followers aka #aandhbhakt and #PaidMedia showing false #BoycottChina campaign https://t.co/dT00xwR5Ha,ss ly wy ex t1 ay ss eee ee china beat ls biggest lie linea aii abe half
2,BoycottChina,1335585641334075392,./tweet_data/asianhate_12/BoycottChina/tweets1/Eoj0D8lVEAIsjj_.jpg,#BoycottChina Do not buy anything Made In China. https://t.co/IS4wEe4sLZ,china united nations free tibet
3,BoycottChina,1335642446802210817,./tweet_data/asianhate_12/BoycottChina/tweets1/EoknuhRVEAArCaN.jpg,"I only buy BC wine but decided on an 🇦🇺 cabernet sauvignon in solidarity with a country that is standing up to 🇨🇳 bullying.
#BuyAussieWine
#australianwine
#BoycottChina
#HongKongProtesters https://t.co/CaD9urESV6",gan pere nd wm en baez selatan lit ee wx sus bed mta ic sot ae mend
4,BoycottChina,1334626574855901184,./tweet_data/asianhate_12/BoycottChina/tweets1/EoWLGyDUcAEkJKy.jpg,"Australian wine is BRILLIANT! 🥂 
There are PLENTY of worldwide markets that Australian wine can tap in to
#maketheswapaustralia #maketheswap #australianmade #madeinaustralia #IStandWithAustralia #australianwine
#BoycottChina  #boycottchinaproducts #buyaustralian #winelover https://t.co/ABkcqijGwF",china impose 200 tariff australian wine hope decimate industry time buy local drink count wy lil cr swan st
5,BoycottChina,1335140748409200640,./tweet_data/asianhate_12/BoycottChina/tweets1/EodfbDjUwAAnWnY.jpg,"@globaltimesnews #ExpansionistChina

#BoycottMadeInChina 
#BoycottChineseProducts 
#BoycottChina

#TibetIsNotChina 
#hongKongindependence
#EastTurkistan is not china
#TaiwanIsNotChina
#Mongolia is not china
#Manchuria is not China https://t.co/TQAtYaHZ1x",ro fy ton ens ii fear af ie ir china lose ue territory
6,BoycottChina,1335122881571766273,./tweet_data/asianhate_12/BoycottChina/tweets1/EodPKmOVoAAZHgk.jpg,"@globaltimesnews Finding a way 2talk is okay but solving d issue is only possible when #China decides 2return #OccupiedLand 2 #India n stops #Expansionist thoughts n stops spreading #Wuhan #VirusCorona #MadeInLab till #BoycottChina #BoycottChineseProducts n #boycottchinese
Satyamev Jayate
JaiHind https://t.co/rpZaGUccnz",email regn web wa yal china ere oo
7,BoycottChina,1334091753721393153,./tweet_data/asianhate_12/BoycottChina/tweets1/EoOlYTjXEAENM9J.jpg,"China Alarm - 2.12.2020

BOYCOTT CHINESE PRODUCTS THIS #CHRISTMAS (AND IN GENERAL!) ! 

#BoycottChina
#ForcedLabourFashion
#UyghurForcedLabour
#XinjiangCotton
#ZaraStopLying
#BoycottChineseProductsThisChristmas

@Zara https://t.co/n3q5Skd1XN",zara lie linked force labour
8,BoycottChina,1334311772757643269,./tweet_data/asianhate_12/BoycottChina/tweets1/EoRtevtXcAAXeas.jpg,@StateDept @bluecparentson9 @SecPompeo There are way too many examples to prove China is a threat to the world. #BoycottChina https://t.co/1yWjNv1rrA,boycott camp cay pe si vy ai el te omg gur g5 eae 100
9,BoycottChina,1334008182226649089,./tweet_data/asianhate_12/BoycottChina/tweets1/EoNZTD1VcAEzDPZ.jpg,"@cmackinlay Buy Australian Wine and #BoycottChina!

Hongkongers are totally in! Let’s defeat the evil Chinese Communist! 

#SolidaritywithAustralia 
#StandWithAustralia Cheers!! https://t.co/zNfdI0t8HA",boycott edt product lh ety es
10,BoycottChina,1334064438027055104,./tweet_data/asianhate_12/BoycottChina/tweets1/EoOMDyNVoAEkeVH.jpg,"@nytimes Our activists are brave and the road ahead is arduous.

Political prosecution. CCP will not allow any dissent.

Now China can arrest whoever they want. @chowtingagnes was even facing the charge of #NationalSecurityLaw.

Please continue to #StandWithHongKong! #BoycottChina! https://t.co/4HfFuP8ypg",name activist pnt ae ola kem 100 inspiring influential woman 2020 lh il li ht oa lh lh
