,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BoycottChina,1357901950902128640,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/Etg8lkFU0AEE3cH.jpg,"Let's join in accelerating d elimination of FGM on Int'l day of Female Genital Mutation as it amounts 2Human Rights Violation
Satyamev Jayate
Vande Mataram
Jai Ho n jai Hind
https://t.co/WXzegLSpxX
#FGMZeroToleranceDay2021 #FGM #BoycottChina #Boycotchinseproducts #FarmersProtest https://t.co/yx8IZoIRGC",mae aya eit weal way international day zero tolerance female genital sil mutilation srf ena ey
1,BoycottChina,1357546385713823746,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/Etb5PlUWgAIMLkW.jpg,"The style should never go off no matter what!
Visit for more info: https://t.co/0Juxas003w
.
.
.
#Expressbags #handbags #designs #features #quality #vocalforlocal #boycottchinaproducts #boycottchina https://t.co/0NWaMRGj6a",ee ee ce ooo rn cy cray ss rey carry res cy es style ry cay coy
2,BoycottChina,1357176513582358531,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtWoyiuUYAQmJuI.jpg,"NAMASTE SADA VASTALE MATRUBHUME
N
Supporting d fighters Admiring d Survivors N Honouring d taken, wishing a Happy World Cancer day
Satyamev Jayate
Vande Mataram
JaiHo n jaiHind
https://t.co/5vjGrfcLrJ
#BoycottChina #Boycottchineseproducts #WorldCancerDay #FarmersProtest #Tiranga https://t.co/lgmaBwKYfW",pcs ty yt air china rece ss orale le eas es et
3,BoycottChina,1357001612498243588,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtUJxjaWQAQ7Ts3.jpg,"#Pakistan must boycott #ironbrother #China? Will ruling elites show the guts and take the right decision?

#BoycottChina https://t.co/PJUPyfnaAr",chinese vaccine ele bad world wy
4,BoycottChina,1356882658328944644,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtSdlc_VkAACWey.jpg,"This is banned in China
#BoycottChina https://t.co/zFBufz7fnG",480p 1080p
5,BoycottChina,1357231394708017157,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtXaqFSU0AAu6at.jpg,"#China has long faced accusation of targeting #Tibetans &amp; #Uyghurs, with at least over a million of the ethnic-Turkic Muslim minority kept in detention camps 

WATCH | https://t.co/THyUtUWrCn
#BoycottChina https://t.co/VDHDVYwgG2",chinas cultural genocide ou xinjiang ee eee ag ow eee eee oe arie seo lg ai ao ye oe reo
6,BoycottChina,1356290570650607617,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtKDD89XMAIiDkC.jpg,"@France24_en @bsquinn I believe Hongkongers will contribute to UK with our humblest gratitude. 

Many of us really need a lifeboat as Hong Kong is no longer safe, many are facing political prosecution.

Hope the free world will continue to #StandWithHongKong and #boycottChina🙏🏼 https://t.co/aH1gnyuZeN",oe pl hh ral mele break promise ahistorical document practical significance long wy
7,BoycottChina,1356451148677349376,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtMVHPAVgAI9Pjt.jpg,"NAMASTE SADA VASTALE MATRUBHUME
N
Westland for disaster risk reduction, wishing a happy world wasteland Day
Satyamev Jayate
Vande Mataram
Jai Ho n jai Hind
https://t.co/Bb43BfmFc2
#BoycottChina #BoycottChineseProducts #Budget2021 #FarmersProtest #FarmersProtestHijacked #Tiranga https://t.co/j7Z0ZHF6g7",tt plc mea ly sbn aya tn aga wary eee oon hi meet reduction
8,BoycottChina,1356813374592442372,./tweet_data/asianhate_2021-02/BoycottChina/tweets1/EtRekphVgAA0utQ.jpg,"NAMASTE SADA VASTALE MATRUBHUME
N
1st Electric train ran bet CST N KURLA Harbour on Ex- GIP system on 1500 Volts DC
Satyamev Jayate
Vande Mataram
Jai Ho n jai Hind
https://t.co/Yj96C6UdhI
#ElectricTrain #BoycottChina #Boycottchineseproducts 
#FarmersProtest #FarmersProstests https://t.co/8EfZpDqqHJ",mae li aye eit weal way ae fee electric trail es io rag cal coe aft regis pil
9,BoycottChina,1359840485565730819,./tweet_data/asianhate_2021-02/BoycottChina/tweets2/Et8ftM3XEAIt0Zq.jpg,@RepMarkGreen @shiroihamusan Americans has to kick #Huawei out and #BoycottChina. #CCP_is_terrorist https://t.co/QCm12LPahM,se huawei place
