,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BuildTheWall,1247230062379794432,./tweet_data/immigration_04/BuildTheWall/tweets1/EU8NIWOXkAsn7Ey.jpg,"#TrumpNEPA The National democrats held up the stimulus checks trying to get the green new deal passed.  Now they want stimulus checks for illegals.  TrumpNEPA believes in money for the Wall, not money for illegals. #BuildTheWall #FinishTheWall #LeadRight #ThugLifePelosi https://t.co/7eyPgduJx4",momma pelosi dont 10 tae
1,BuildTheWall,1246981386432585731,./tweet_data/immigration_04/BuildTheWall/tweets1/EU4q9okXYAwtxrd.jpg,"Two U.S. Army Corps of Engineers working under high power lines make notes during their assessment of Normandy-style vehicle barrier near El Centro

BLOG https://t.co/DH7kyYpRIh

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-347 by #borderObserver https://t.co/zq6qQqvr85",ya es vw swain wy ag zu peddle ori se ye ar eo ec zz ee zo sf jc ot
2,BuildTheWall,1246966036903141385,./tweet_data/immigration_04/BuildTheWall/tweets1/EU4dALIXYAEVULV.jpg,"YouTuber #AboveTheLanes 2018-2019

Gran Plaza Outlets - Calexico, California (3:02)
Sep 29, 2018

starts in midair flying west, then turn 180 degree, then back

VIDEO https://t.co/QcQ2nzYX5G

#BuildTheWall #FinishTheWall
#QuikTake qt-wall-vid-082 by #borderObserver https://t.co/IawuL9aZHs",v4 aay pf tease ls af hm win ly
3,BuildTheWall,1247283119377522690,./tweet_data/immigration_04/BuildTheWall/tweets1/EU89YzTWoAI3mth.jpg,"Exclusive: Michelle Malkin Lays Out Who Is Funding Open Borders Activism

New book&gt; ""Open Borders Inc.: Who's Funding America's Destruction?""

11 Sep 2019

33+ minutes

VIDEO https://t.co/MT3Br7hd4f

#BuildTheWall #FinishTheWall
#QuikTake qt-wall-vid-068 by #borderObserver https://t.co/eWLkq1vp7k",patriot ss os ss cac tion mx
4,BuildTheWall,1246905891682750466,./tweet_data/immigration_04/BuildTheWall/tweets1/EU3mTPKXsAIJ7T9.jpg,"Two (2) #USACE Employees and a #USBP agent discuss the Normandy-style vehicle barrier behind

BLOG https://t.co/DH7kyYpRIh

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-342 by #borderObserver https://t.co/3HkHKpAmAm",west bee oe 21 ae es ie ny loser ee 62 ms
5,BuildTheWall,1246588554396012545,./tweet_data/immigration_04/BuildTheWall/tweets1/EUzFry_XYAQUL5K.jpg,"VIDEO * VIDEO * VIDEO
Maria Bartiromo joins the border patrol for a ride along. (5:54)
28 Apr 2019

While filming several groups of immigrants cross. Maria interviews some.

VIDEO https://t.co/Z8ZhUYPtbX

#BuildTheWall #FinishTheWall
#QuikTake qt-wall-vid-044 by #borderObserver https://t.co/GRQDEVGWjB",rf bs wa ox hi network la
6,BuildTheWall,1246558605249318912,./tweet_data/immigration_04/BuildTheWall/tweets1/EUyqcguXQAEJOj3.jpg,"A U.S. Army Corps of Engineers employee inspects an existing border culvert site that has a grate to block access.

BLOG https://t.co/DH7kyYpRIh

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-335 by #borderObserver https://t.co/OdBmf5ZpM3",ee west calexico 2633 fs ye ft eww le ses ss os wt en
7,BuildTheWall,1246165772998782976,./tweet_data/immigration_04/BuildTheWall/tweets1/EUtFKozXQA0lPWX.jpg,"Inside Secret Drug Tunnels Running From the US to Mexico (7:29)
ABC News - Published on Nov 12, 2015

VIDEO https://t.co/LOlrILsRCF

#BuildTheWall #FinishTheWall #MAGA #Tunnel #Nogales #ElChapo
#QuikTake qt-wall-vid-031 by #borderObserver https://t.co/rRlNG6VFEH",py ha wii mn ee cana news es ea kf ls bean cera ta oa ea
8,BuildTheWall,1246256622726533122,./tweet_data/immigration_04/BuildTheWall/tweets1/EUuXy1nWkAABEdp.jpg,"A U.S. Army Corps of Engineers Soldier inspects existing Normandy-style vehicle barrier

BLOG https://t.co/DH7kyYpRIh

#BuildTheWall #FinishTheWall

#QuikTake qt-twall-331 by #borderObserver https://t.co/TJGGzWIczd",west calexico 2015 es ta al fa ee mae
9,BuildTheWall,1246166026083094536,./tweet_data/immigration_04/BuildTheWall/tweets1/EUtFZYvX0AYUYfW.jpg,"Border wall: US side. On the other side of the fence is Border Monument #122. We are looking east at warning signs

BLOG  https://t.co/lGGYQnr5Zu

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-320 by #borderObserver https://t.co/pYoXioj88s",bg ee feds trespassing ae restricted area authorize si personnel oo ad enter entre
