,hashtag,tweet_id,image_path,body_text
0,BorderCrisis,1364612793987715072,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvAUGlyWYAATdSr.jpg,"Today's budget speech highlighted government's plans for a one-stop border post.

We had a panel discussion on the #BorderCrisis.  Expert panelists highlighted the need for a one-stop border post.

#BudgetSpeech2021
#BeitbridgeBorderCrisis
#OneStopBorderPost
#EndXenophobia https://t.co/PWYfvWtmW6"
1,BorderCrisis,1364945296027975680,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvFCYxnXYBAQKac.png,"Borderlands 3: Guns, Love, and Tentacles DLC download
https://t.co/Wd5lgApVwg
#Borderlands #Borderlands3 #borderlinepersonalitydisorder #BORDER_DAY_ONE #Border #borderdayonewentplatinum #BorderCrisis #bordermen #gunsense #gunsdaily #GUNSTA #gunsmilefantalk #gunsmilelovetalk #gear https://t.co/MbhgbztDGf"
2,BorderCrisis,1364943988466278406,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvFBUjeXUAAhnB4.jpg,"👀🤦🏻‍♀️ Nice @NRO @DavidAFrench
Pandering to a biased agenda much?
#journalism Or #political activism?
#BorderCrisis #BorderWall https://t.co/3H9oK0xjX6"
3,BorderCrisis,1364337815824203782,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/Eu8aAn-VcAIv8EE.jpg,"UNFRIGGANBELIEVABLE!! OUR TAX DOLLARS ALREADY SPENT, SUPPLIES, EQUIPMENT, 75 PERSONEL, BEING SENT AWAY, TOLD ""WALL, WILL NOT BE FINISHED! IT'S OVER"" MANY BORDER PATROL TALKING, PUTTING IN PAPERS!! #BORDERCRISIS #AmericaLast #DemocratsAREDestroyingAmerica  #WarRoomPandemic https://t.co/h2wFUVr5BU"
4,BorderCrisis,1364823255773708291,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvDS-vLVgAAMuTK.jpg,@AOC @RepAOC @Ilhan @IlhanMN @CNN @QuarantinedCoof  #cnn #KidsInCages #BorderCrisis #feminist #feminism #GreenNewDeal Why must the Kids SUFFER?! AOC!! TIWTCH MORE MAYBE IT WILL HELP US ALL! https://t.co/wrCIKOHXJf
5,BuildTheWall,1357868153523560449,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/Etgd4ubXUAI8TgY.jpg,"If the SWAMP continues this Crime Spree while going after #WeThePeople law-abiding citizens, it WILL lead to #VigilanteJustice 

#BuildTheWall #AmericaFirst #MAGA #CloseTheBorder #IllegalAliens #BackTheBlue #DrainTheCommies #DrainTheTraitors #1A #2A #DemocratsHateAmerica https://t.co/ULeqX9TVWU"
6,BuildTheWall,1356453595051393029,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtMXR8NWgAQvZ8-.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/X97EVQwOQ3"
7,BuildTheWall,1356317392868057088,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtJoR6JW4AAhgeR.jpg,"Walls work. We must resume building the wall to stop illegal immigration at our southern border. #BuildTheWall

RT if you agree. https://t.co/qhhTEfP1pb"
8,BuildTheWall,1357902180095778817,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/Etg80BaXIAUvsu-.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/aAiekxqI7b"
9,BuildTheWall,1356737928320479233,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtQZ9NGXAAEao9l.jpg,"#Interactive #map - Not made by #BorderObserver

#USBP (United States Border Patrol) Checkpoints
https://t.co/tqq3bgOLvS 

#BuildTheWall #FinishTheWall qt-faqs-070 https://t.co/ij4vgNHh18"
10,BuildTheWall,1357531228354842624,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtbrY_2XYAAemsH.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/Pg47CtIpg7"
11,BuildTheWall,1356238589848334336,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtJTzsMXUAAerP0.jpg,"If I board on an airplane ✈️ I need a #COVID19 test BEFORE I board and when I LAND. But #Illegals STORM  our borders. @JoeBiden what the f@ck are you doing to Americans?

#BidenCrimeFamiIy #caravans #BuildTheWall #FightBack https://t.co/DDhr3SdFFj"
12,BuildTheWall,1356611236985778184,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtOmuwCWQAAJw5K.jpg,"Today, Sundowner Joe will be ""modernizing our immigration system."" May God help us. #Biden #BuildTheWall https://t.co/7lrpqOm7Pl"
13,BuildTheWall,1356321219033837568,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtKeu6_XAAI2nDw.jpg,"#RuralTexans head to the Cities as @GovernorAbbott takes on #TheStorm as his official mantra to protect the #FortunateSon s efforts to destroy the USA under the guise of *knowing what's best* for #HisPeople 

#MAGA #BuildTheWall #LockThemOut THEY carry disease &amp; bring crime 2 USA https://t.co/K6DeMF5HF9 https://t.co/2v2vLjuqYr"
14,BuildTheWall,1356814560544628737,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtRfo9BXEAACwf0.png,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/ruBOkm0pUl"
15,BuildTheWall,1358098423690498051,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/Etju-gmXMAIJ7ow.jpg,"@eddy_johnson01 @SocialM85897394 @pritipatel @BreitbartNews Exactly, have you seen this chart showing how hungry &amp; poor people in Central America are?  As you know the U.S. has their own immigration problems &amp; doesn’t seem like the U.S. can absorb infinite poverty despite it being the largest economy in the world 

#BuildTheWall https://t.co/CZWWDHgHP7"
16,BuildTheWall,1357179296427737091,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtWrRdGXMAIPY4Q.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/zavPJLLCON"
17,BuildTheWall,1358098258032214016,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtjvKgBXUAYDniG.jpg,"#America has a problem and IT IS NOT #COVID19 

The American people cannot have a border-less nation overrun by illegals. It's a struggling nation as it is and it needs to take care of its own first, period!

#SaturdayThoughts #IllegalImmigration #BuildTheWall https://t.co/FX4Z2dosk9"
18,BuildTheWall,1359444058247213056,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et23KqZWYAA-kiO.jpg,It's important to not forget history! #BuildTheWall #AgendaTakeOutTrump https://t.co/uV8pknR7dq
19,BuildTheWall,1360084012719562755,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et_9JgrXUAMn5cW.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/6uZMXweBNV"
20,BuildTheWall,1359179332149731330,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/EtzGZVfXcAQM_K9.jpg,"Bought a new, upgraded wall to keep my dog out of the dining room. His reaction illustrates how walls work... #BuildTheWall https://t.co/2XBdIcQF0f"
21,BuildTheWall,1359616881322246145,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et5UV6qWgAQS4gK.jpg,"#LawAndOrder
#BackTheBlue 
#BlueLivesMatter 
#BuildTheWall
along with many others slogans 👇🏼 #TrumpIsGuilty https://t.co/j3sX5aRXGC"
22,BuildTheWall,1359715837750476800,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et6uSJSXIAMitkX.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/TeLzKNxeQI"
23,BuildTheWall,1358789125122449412,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/EttjajEXEAI4wjK.jpg,"Democrats before Jan 20th 2021: ""Walls are racist""

Democrats after Jan 20th 2021: ""We need to be protected by walls""

#MAGA
#KAG
#Trump2020 
#BuildTheWall
#StopTheSteal https://t.co/wlBH8IpGjK"
24,BuildTheWall,1358658491737649152,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/EtrssbxWYAIh5wJ.jpg,@MeidasTouch @drkwarlord Remember #BuildtheWall? I think I know where it should start.... https://t.co/z1SXnREQAX
25,BuildTheWall,1360609692087681026,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/EuHbTgdXUAIBaXC.jpg,"#FakeNews There is nothing nefarious about this; just written as such

Contractors, scrap dealers selling border fence steel in Arizona and Mexico
https://t.co/oZUpdLjFKP
1 Oct 2020

#BuildTheWall #FinishTheWall #headline qt-hl-524 #borderObserver https://t.co/5QGA1IoLqp"
26,BuildTheWall,1359921704554819587,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et9pfpaUcAMjkAI.png,"Uh, didn't your guy lead #BuildTheWall chants? Maybe sit this one out, my dude. https://t.co/f7N5tc0tjX"
27,BuildTheWall,1358859226257440774,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/EtujQ1iWYAMd7Ne.jpg,"@politico Ahh, the congressman that wanted to publish “In God we Trust” on anything half-official and wanted women that got abortions to be punished.  #BuildTheWall https://t.co/lttOtvn8wt"
28,BuildTheWall,1359830846740512768,./tweet_data/immigration_2021-02/BuildTheWall/tweets2/Et8W3WNXUAE3QMy.png,"Good Morning all you fellow #Texans.
Please enjoy your 0% tax rate.  With all the New Yorkers and Californian's moving here, it won't be much longer until we are at the other end of the scale. 
(#BuildTheWall - on the north side. 😜) https://t.co/IubevkS4KA"
29,BuildTheWall,1362543685456465921,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Eui6Qv4VIAExSj4.jpg,"Sarcastic de Blasio 'missing' posters mock #NYC mayor's absence while running for president 
https://t.co/mdODsXc5E6 
24 Aug 2019

#NewYorkCity #NewYork

#sanctuaryCity #BuildTheWall #FinishTheWall
#quikTake qt-sanc-cites-009 by #borderObserver https://t.co/fplunawLu2"
30,BuildTheWall,1362685281154048001,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Euk7CdYWgAIo9GK.jpg,"@HillaryClinton “When Mexico sends its people, they're not sending their best.” #TexasPowerOutages #TexasFreeze #TexasWinterStorm2021 #TexasPowerGrid #BuildTheWall #CruzResign #CruzToCancun #CruzFailedTexas #CruzMustGo https://t.co/W4Yoyjy5C1"
31,BuildTheWall,1362879772163006467,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Eunr7hgXIAUVuHN.jpg,"@tedcruz abandoned Texas.
#Texas is stronger without Ted

#BuildTheWall but #VacationInMexico while we #ForgetTexas is Ted showing his true colors

#TexasStrong #TexasPowerOutages #TexasWinterStorm2021 #TexasBlackout #TedFled #TedCruzFailedTexas #TedCancunCruz #TedCruzIsATraitor https://t.co/TYutuulm0j"
32,BuildTheWall,1362250906801176578,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Euev8TPWgAMb4q6.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/qqyUguthgI"
33,BuildTheWall,1362532033898024962,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EuivqRGU4AA9Xvt.jpg,"Biden &amp; Harris unveil their demonic plan to give 11 million unvetted, Covid-carrying, criminal illegals citizenship at the expense &amp; danger to all Americans! #BuildTheWall!#ImpeachBidenHarrisNOW #TrumpIsMyPresident https://t.co/0zrMWM783w"
34,BuildTheWall,1362966776284332036,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Euo7Dx4XEAEu2qr.jpg,"Thanks @JoeBiden for putting out the Welcome Mat for these thugs. 
#BuildTheWall https://t.co/9EQXtmKPNm"
35,BuildTheWall,1362588985382432771,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EujjdjwVgAApKSO.jpg,"#sanctuaryCity Baltimore #Police Shoot Out on Bus - 34 secs
Jun 29, 2017

Dramatic video of deadly shootout on public bus. Driver and passengers left running.

VIDEO https://t.co/J6q6HHxuRo

#BuildTheWall #FinishTheWall 
#quikTake qt-sanc-cites-012 by #borderObserver https://t.co/T2d5Un33fL"
36,BuildTheWall,1361553991075729410,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EuU2IqfUUAMGbnA.jpg,"@charlescleaners @davidwebbshow What platform #Trump going to run on in 2024
#LawAndOrder ?
#BackTheBlue ?
#BlueLivesMatter ?
#BuildTheWall ?
#DrainTheSwamp ?
#LockHerUp ? https://t.co/F0wBo4jt4x"
37,BuildTheWall,1362251108069081088,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EuewJ_DXYAIhABX.jpg,#BuildTheWall so you can turn #Texas into an #OpenAirPrison https://t.co/tQ69ENb4Ce https://t.co/CZmL6Mk6MF
38,BuildTheWall,1362967418654453770,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Euo7pNCUcAUDNXC.jpg,#TedFled #TedCruzFailedTexas #BuildTheWall #socialism #Deregulation don’t you dare ever criticizing socialism (plowing roads) or regulations (profiting by defrauding public safety). Build that wall not to let Ted flee https://t.co/HPfzdJ75zn
39,BuildTheWall,1362573883363139589,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EujVufkUcAETPHN.jpg,"Murder contracts available $400

MURDERLAND: Baltimore Residents Are Tired of Corruption and Violence (9:37)
https://t.co/dfgHmwd55I
@Fleccas Talks - Aug 6, 2019

Problems: #Murder #Drugs

#sanctuaryCity #BuildTheWall #FinishTheWall
#quikTake qt-sanc-cites-011 by #borderObserver https://t.co/e3ZPczd1pr"
40,BuildTheWall,1362409663946489859,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EuhAXbTXcAAd-IR.jpg,"@mkraju The question is *not* whether or not that is @tedcruz. It clearly is. The question is, ‘how quickly can we get that wall built’?

BUILD THE WALL! BUILD THE WALL! BUILD THE WALL!

#BuildTheWall https://t.co/B0TbisOvIr"
41,BuildTheWall,1362558786314014727,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EujH_uJUcAAwfV2.jpg,"END OF THE WORLD: Newark Residents are Fed Up With Crime and Corruption - 11:25
https://t.co/tps9sqJSqz
@Fleccas Talks - Aug 26, 2019

Problems: #Drugs #Housing, #Homocide, #Water

#sanctuaryCity #BuildTheWall #FinishTheWall
#quikTake qt-sanc-cites-010 by #borderObserver https://t.co/YFYmNTQAE4"
42,BuildTheWall,1362614248099217409,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/Euj6aWiXAAAnF5b.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/2Qk3XDzh97"
43,BuildTheWall,1362921174523469833,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EuoRldHVEAEf3bI.jpg,"US indicts 22 members of MS-13 gang in killings (1:33)
Associated Press -  16 Jul 2019

6 defendants hack him to death with a machete

#sanctuaryCity Los Angeles, Calif

VIDEO https://t.co/0EUgrDh8OA

#BuildTheWall #FinishTheWall 
#quikTake qt-sanc-cites-016 by #borderObserver https://t.co/1qk2vKW4C2"
44,BuildTheWall,1362864717648326658,./tweet_data/immigration_2021-02/BuildTheWall/tweets3/EunePK_WYAYJhiK.jpg,This never would’ve happened under #trump #BuildTheWall #MAGA #kag #AmericaFirst https://t.co/N47tbVhg11 https://t.co/HeiLCFrDGz
