,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BorderCrisis,1364945296027975680,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvFCYxnXYBAQKac.png,"Borderlands 3: Guns, Love, and Tentacles DLC download
https://t.co/Wd5lgApVwg
#Borderlands #Borderlands3 #borderlinepersonalitydisorder #BORDER_DAY_ONE #Border #borderdayonewentplatinum #BorderCrisis #bordermen #gunsense #gunsdaily #GUNSTA #gunsmilefantalk #gunsmilelovetalk #gear https://t.co/MbhgbztDGf","BUROERLANDS

WHS 0

TENTAXIES

I

THEM

ARRIAGSE OF WAINWRIGHT  HAMMERLOCK TT

AS

i 7

St

SS

t

ir

a

A

Pe

a
"
1,BorderCrisis,1364943988466278406,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvFBUjeXUAAhnB4.jpg,"👀🤦🏻‍♀️ Nice @NRO @DavidAFrench
Pandering to a biased agenda much?
#journalism Or #political activism?
#BorderCrisis #BorderWall https://t.co/3H9oK0xjX6","NATIONAL REVIEW

NATIONAL REVIEW

WORLD

POLITICS POLICY

Israel Has the Right

Its Time to Calm Down

and Obligation to

about the Caravan

Defend Its Border with

Crm a sa laa

Deadly Force

October 30 2018 307 PM

By DAVID FRENCH

e000

DE PAC wc Ria

iggtons

un

eo00

a Tae

are

A
"
2,BorderCrisis,1364337815824203782,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/Eu8aAn-VcAIv8EE.jpg,"UNFRIGGANBELIEVABLE!! OUR TAX DOLLARS ALREADY SPENT, SUPPLIES, EQUIPMENT, 75 PERSONEL, BEING SENT AWAY, TOLD ""WALL, WILL NOT BE FINISHED! IT'S OVER"" MANY BORDER PATROL TALKING, PUTTING IN PAPERS!! #BORDERCRISIS #AmericaLast #DemocratsAREDestroyingAmerica  #WarRoomPandemic https://t.co/h2wFUVr5BU","ey

te

ia

ti

idan

pws

fae

ew

os

er

ie

A

By

Ti

Re

BEN BERGQUAM

Sad

z

iiaula aOR CR esa

Sw

DUE SAYS HE WILL NOT RUN AGAINST WARNOCK iN 2822

DC POLICE CHIEF OFFICERS BLOCKED FROM Ci
"
3,BorderCrisis,1364823255773708291,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvDS-vLVgAAMuTK.jpg,@AOC @RepAOC @Ilhan @IlhanMN @CNN @QuarantinedCoof  #cnn #KidsInCages #BorderCrisis #feminist #feminism #GreenNewDeal Why must the Kids SUFFER?! AOC!! TIWTCH MORE MAYBE IT WILL HELP US ALL! https://t.co/wrCIKOHXJf,"Wr

ti ee

H

f

i

bY 7

Md

Fa

ri

a

a

iat

a

f

it

en

al

Mi

Awa ars

a

a

a

i

ia

iL

Gg

ie

Wenn

5 an

Maas

lag

rr

s

t

Oy

eran

UG

ie

A

F

iM

Ww

ww

4a

Fe

auer ad

iad

Us

ay fag

ii

He

Bras

Hh

Ts

Si

Py

N

a
"
4,BuildTheWall,1357868153523560449,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/Etgd4ubXUAI8TgY.jpg,"If the SWAMP continues this Crime Spree while going after #WeThePeople law-abiding citizens, it WILL lead to #VigilanteJustice 

#BuildTheWall #AmericaFirst #MAGA #CloseTheBorder #IllegalAliens #BackTheBlue #DrainTheCommies #DrainTheTraitors #1A #2A #DemocratsHateAmerica https://t.co/ULeqX9TVWU","I WANT JUSTICE
"
5,BuildTheWall,1356453595051393029,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtMXR8NWgAQvZ8-.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/X97EVQwOQ3","as

China must lead

the New World

Pl

Order creating it

owning it and

supplanting the

United States as

the worlds

oa

economic

superpower

George Soros

Financial Times Octobos 23rd 2009

vg

We are on the

verge of a global

transformation All

we need is the

right major crisis

and the nations

will accept the

New World Order

David Rockefeller

Statement to the United Nations

Business Council Soptembar Z5

1996
"
6,BuildTheWall,1357902180095778817,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/Etg80BaXIAUvsu-.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/aAiekxqI7b","The most effective way to destroy

people is to deny and obliterate

their own understanding of their

history

Geange Orusell

mem

AZ QUOTES
"
7,BuildTheWall,1356238589848334336,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtJTzsMXUAAerP0.jpg,"If I board on an airplane ✈️ I need a #COVID19 test BEFORE I board and when I LAND. But #Illegals STORM  our borders. @JoeBiden what the f@ck are you doing to Americans?

#BidenCrimeFamiIy #caravans #BuildTheWall #FightBack https://t.co/DDhr3SdFFj","te

fa

re

ae

SS

i

73

eee

Re

ee B

eh

r

4

04g

os

t

rat

oe

Ae ag

ee

Ge
"
8,BuildTheWall,1356321219033837568,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtKeu6_XAAI2nDw.jpg,"#RuralTexans head to the Cities as @GovernorAbbott takes on #TheStorm as his official mantra to protect the #FortunateSon s efforts to destroy the USA under the guise of *knowing what's best* for #HisPeople 

#MAGA #BuildTheWall #LockThemOut THEY carry disease &amp; bring crime 2 USA https://t.co/K6DeMF5HF9 https://t.co/2v2vLjuqYr","Det een tum Ree oe

leaders of a country who determine the policy and itis always a simple

Sete en ee occ omer cccns

dictatorship or a parliament or a communist dictatorship Voice or ho

Voice the people can always be brought to the bidding of the leaders

De ete rat etc

attacked and denounce the pacifists for lack of patriotism and exposing

De ee eet

Hermann Goering Hitlers ReichMarshall

at the Nuremberg Tals after WW

nad
"
9,BuildTheWall,1356814560544628737,./tweet_data/immigration_2021-02/BuildTheWall/tweets1/EtRfo9BXEAACwf0.png,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS45 @Flotus45 and all Patriots!
#BidenLost #BidenCrimeFamilyExposed #VoterFraudIsReal #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #AmericaFirst #BuildTheWall https://t.co/ruBOkm0pUl","Socialism is the

philosophy of failure

the creed of ignorance

and the gospel of envy

v

Its inherent virtue

mv

is the equal sharing

7

of misery

Winston Churchill
"
