,hashtag,tweet_id,image_path,body_text
0,TakeTheMaskOff,1246945642120970242,./tweet_data/mask_04/TakeTheMaskOff/tweets1/EU4KdBQWoAAY3MM.jpg,Christa shares the reasons why she feels the need to mask in some situations and then asks her fellow autistics to share  why they mask too. @neurorebel #ActuallyAutistic #takethemaskoff - https://t.co/TPukZS8HPx https://t.co/IDwwaPITFS
1,TakeTheMaskOff,1245800956920504320,./tweet_data/mask_04/TakeTheMaskOff/tweets1/EUn5XkIWoAM5lTX.jpg,#AskingAutistics: What Does Masking Mean to You? | Geek Club Books @neurorebel #ActuallyAutistic #takethemaskoff - https://t.co/TPukZS8HPx https://t.co/V24sFAlPRU
2,TakeTheMaskOff,1249826050365952000,./tweet_data/mask_04/TakeTheMaskOff/tweets2/EVhGK1qWkAEhoPR.jpg,"Christa wondered, ""Do other autistics feel the same pain and exhaustion from masking?"" @neurorebel #ActuallyAutistic #takethemaskoff - https://t.co/TPukZS8HPx https://t.co/QG0N1bsGxx"
3,TakeTheMaskOff,1249492415032909824,./tweet_data/mask_04/TakeTheMaskOff/tweets2/EVcWuYTU8AAFXx6.jpg,"😷Dating in the Age of Biological Weaponry🤞
#Dating
#Humor
#Facetious
#Caronavirus
#TakeTheMaskOff ! https://t.co/cJfyvxwqIK"
4,TakeTheMaskOff,1249482336791650311,./tweet_data/mask_04/TakeTheMaskOff/tweets2/EVcNkE5WoAsQMa3.jpg,"""This mask wasn’t created to impress anybody. It’s something I’ve constructed for self-preservation."" @neurorebel #ActuallyAutistic #takethemaskoff - https://t.co/TPukZS8HPx https://t.co/M8p3d3hjWe"
5,TakeTheMaskOff,1252338596175941634,./tweet_data/mask_04/TakeTheMaskOff/tweets3/EWEzT8mVAAEqdq4.jpg,"Transparency, please. @VitalikButerin #TakeTheMaskOff (not the n95 mask) https://t.co/qCm1fYAINQ"
6,TakeTheMaskOff,1254878047775449089,./tweet_data/mask_04/TakeTheMaskOff/tweets4/EWo47xBWkAQa_yH.jpg,"#AutisticMythBusters – An Autistic Perspective on Eye Contact – #TakeTheMaskOff

https://t.co/Uxee5zuG9E https://t.co/9oBvrPBIMs"
7,TakeTheMaskOff,1254168356657266689,./tweet_data/mask_04/TakeTheMaskOff/tweets4/EWezeTzWAAAWHYf.jpg,"An Autistic Perspective #TakeTheMaskOff – Masking, Mental Health, &amp; Burnout 

""I’m a chameleon, an expert masker. I can be fun and playful, or serious and attentive. I can sit still, with proper posture, and give the impression of eye contact""

https://t.co/IIapm2n44w https://t.co/faXgLthQJ4"
8,TakeTheMaskOff,1253446230048411649,./tweet_data/mask_04/TakeTheMaskOff/tweets4/EWUitDEXgAE90l4.jpg,Christa has stopped fighting against her autistic nature by advocating for her needs and putting new supports in place. @neurorebel #ActuallyAutistic #takethemaskoff - https://t.co/TPukZS8HPx https://t.co/UmqmENcbtn
9,maskburning,1252934512113303553,./tweet_data/mask_04/maskburning/tweets4/EWNRS8oXkAEIRXa.jpg,Liberation! #maskburning https://t.co/wjghDpomHY
