,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,maskhole,1248634023091384321,./tweet_data/mask_04/maskhole/tweets2/EVQKBTsUEAEcmUP.jpg,Despicable POS @mattgaetz is a true #Maskhole  #RepublicansAreDestroyingAmerica https://t.co/PhdtVC0CJi https://t.co/z2KfzTHebP,asshole ry ta matt ve gas mask ae pr nae li ta te
1,maskoff,1246492002910375936,./tweet_data/mask_04/maskoff/tweets1/EUxt3pHWAAE6D0m.jpg,"Hey, Panthers! 🐾🧡Be sure to  vote Kearra Crowner for Miss Homecoming 2020-2021! Voting takes place on April 14th! #MASKOff #CrownerfortheCrown #KCfortheCrown https://t.co/RBUmZ80aQc",ae sd ve al ad sa 23 homecoming vee ccna
2,maskoff,1246484068797222912,./tweet_data/mask_04/maskoff/tweets1/EUxmpjSXQAIjb7i.jpg,"Hey, Panthers! 🐾🧡Be sure to vote Kearra Crowner for Miss Homecoming 2020-2021! Voting takes place on April 14th! #MASKOff #CrownerfortheCrown #KCfortheCrown https://t.co/qEBDu4Zv37",rr fs ae ss ot er homecoming
3,maskoff,1245283963054075904,./tweet_data/mask_04/maskoff/tweets1/EUgjHptU8AA5d3o.jpg,"Mask and respirator

All have in stock and full certificate
Whatsapp：+86 150 0128 5096
.
.
.
.
.
#mask #masks #maskoff #pff2 #maskelibeşler  #stayathome #stayhealthy #staysafe #stay #quarantine  #n95  #ffp2  #ffp3 #kn95  #3m https://t.co/a7eytUhr7E",tne ne san error ie taxis aman nen om tremen ae ws ar marae oon oe tare ier oe
4,maskoff,1245909502630690816,./tweet_data/mask_04/maskoff/tweets1/EUpcFQqXQAIF4aj.jpg,"Folk done made a fashion statement wit these mask 😂 I glad yall being careful tho.

#geecheewhoa #coronavirus #covıd19 #Charleston #northcharleston #ppe #maskoff https://t.co/IBj2KfTXjq",get wit da mask outcha like ay 77 ae bd ar wi vy
5,maskoff,1248450008447213569,./tweet_data/mask_04/maskoff/tweets2/EVNinOLUEAAEzJK.jpg,@Bill_Cimbrelo A rapist AND a racist! #MaskOff https://t.co/tXb9QP9Mea,ee ll ft ie ated poor kids brig talented bel ut
6,maskoff,1248590922889256961,./tweet_data/mask_04/maskoff/tweets2/EVPi0vrVAAMHbyS.jpg,Me after every shift. #maskoff https://t.co/QUeKTdDEsR,ile se ey ne om send chat
7,maskoff,1248896093737254912,./tweet_data/mask_04/maskoff/tweets2/EVT4XJ_UEAEBGoP.jpg,Deadpool unmasked/mask off style. #fortnite #epicgames #deadpool #unmasked #maskoff #style #fortniteaholic #fortniteaddiction #fortniteaddict #fortnitegaming #fortnitegamer #marvel #wadewilson #ryanreynolds  @FortniteGame @EpicGames @Marvel @VancityReynolds https://t.co/jovocN5Wd7,taye urs deer cece mask dees eae er ac
8,maskoff,1251181517428178944,./tweet_data/mask_04/maskoff/tweets3/EV0W9MaVcAIj1fy.jpg,Classic Space Ace #KISS #MaskOn #MaskOff #FridayFeeling https://t.co/5BOTgVT87t,hunt escape
9,maskoff,1251741259674398721,./tweet_data/mask_04/maskoff/tweets3/EV8UCg-WkAEHp-7.jpg,"Face Mask 😷 
#covid19 
#quarantinelife 
#corona 
#coronavirus 
#facemask 
#mask
#maskon 
#maskoff 
THANK YOU🤗 https://t.co/kRskJ1PL5f",tae fe fae ss bz vd 2a citys
10,maskoff,1254543762283302912,./tweet_data/mask_04/maskoff/tweets4/EWkI5oJUYAANK0v.jpg,"That last Beaupre &amp; Kolzig #maskoff was a great. Love those early 90’s Caps jerseys. 
Today let’s see which one is more popular from the @MapleLeafs
Allan Bester or Peter Ing? https://t.co/HTeaMMpQaI",igs em em ay iby yeh af allan peter bester ing
11,maskoff,1253408120971366405,./tweet_data/mask_04/maskoff/tweets4/EWUABRGUMAAhmy9.jpg,"This kinda reminded me of the birdbox movie lol 🤣

#Ramaphosa
#Covid_19
#coronavirusInSouthAfrica
#lockDownSouthAfrica
#level5
#level4
#mask
#maskoff https://t.co/MUugCtHJ0T",ne fr hie zs ez cs stay safe yall ls kx ze wear mask bruv ws eh
12,maskoff,1253406856485240832,./tweet_data/mask_04/maskoff/tweets4/EWT-l1IXgAc4BCs.jpg,#MaskOff chief! https://t.co/agCaV3akkR,ee ee nd ee tw ea oe rr sabc sy preside nt als bw eas sto protect bal sheet
13,maskoff,1253421887595507714,./tweet_data/mask_04/maskoff/tweets4/EWUMj8yVcAEvhjx.jpg,"More appropriate than ever to say: #MaskOff
#CoronaVirusMemes (thanks @SlimGirlSupreme) https://t.co/Hz8lgajSB2",19 teach makeup shapeshifter gy america world country wear gucci belt
14,maskoff,1254763233266692096,./tweet_data/mask_04/maskoff/tweets4/EWnQV6fWoAAFEcT.jpg,"Follow me https://t.co/4y8cZzVtSr
#covid_19 #virus #corona #coronamemes #coronavirus #lifehack #hitech #becareful #stayhome #virusmemes #mask #maskoff #memes #dailymemes #memesoftheday #life #people #funnystagram #funny #joke #usa #medicine #oh_wheee #laugh #instalaugh #l4l https://t.co/TWAgOnRxPm",el wex vu uu ux fetta dod qs ly
15,takeoffthemask,1252977764480794624,./tweet_data/mask_04/takeoffthemask/tweets4/EWN4omYWsAA-1z8.jpg,New video-Why I could NOT mask as an #autistic child- why I started masking as a teenager (it might not be what you think) &amp; what helped me #TakeOffTheMask as an adult💝 can you relate? Let’s chat! #Masking #ActuallyAutistic #Autism https://t.co/9tFIsAugJ0 https://t.co/AvZfaaLSgz,mey lala bey masking autism acceptance
