,hashtag,tweet_id,image_path,body_text
0,BurnYourMask,1292988341500235776,./tweet_data/mask_08/BurnYourMask/tweets2/EfGeCu3WkAQkXAU.jpg,"nifty loophole: I don’t even hafta poop but I’m literally sitting on the toilet so I can take my mask off and my dog out of her Sherpa😊🤣
#freedom #BurnYourMask #America https://t.co/y6dvTZVdfv"
1,BurnYourMask,1295701987665645568,./tweet_data/mask_08/BurnYourMask/tweets3/EftCFp0VAAEaHI_.jpg,"🔥Burn your mask challenge🔥#BurnYourMask #MaskBurning #BurnYourMaskChallenge 
#WeDoNotConsent #TakeOffTheMask #NoMask #SayNoToMandatoryMasks  #SayNoToMandatoryVaccines #DepopulationAgenda #WeWillNotBeSilenced #NewWokeOrder #WeAreThePowerWeAreThePeopleWeAreThe99Percent    🔥🔥🔥 https://t.co/2KDzZAqi75"
2,BurnYourMask,1298010167959670785,./tweet_data/mask_08/BurnYourMask/tweets4/EgN1XZOUwAAk_hZ.jpg,#Ireland is standing up to tyranny! Follow @HealthFreedomIE This is a global #scamdemic! #MasksOff #WakeUpAmerica #BurnYourMask #WeDoNotConsent #NoContactTracing #NoMandatoryMasks #NoMandatoryCovidTest #NoNewNormal #NoMasks https://t.co/jBNPMivcMC
3,BurnYourMask,1297571150172577792,./tweet_data/mask_08/BurnYourMask/tweets4/EgHl-IcVAAMtriC.png,"@GrrrGraphics Nov 4 2020 , National #BurnYourMask day https://t.co/5xnOXGdNdk"
4,BurnYourMask,1299542892751605761,./tweet_data/mask_08/BurnYourMask/tweets5/EgjnXsxXkAA8rez.jpg,Me strollin through the store w no mask on #BurnYourMask https://t.co/M9890h8Nwt
5,MasksAreDangerous,1293992976373264384,./tweet_data/mask_08/MasksAreDangerous/tweets2/EfUu7OAUwAAtUWH.jpg,"What the mask really means to Democrats. #MasksOff #MasksAreDangerous #Masks #MaskUp #ChinaVirus #DemocratsAreDestroyingAmerica #DemocratsTheEnemyWithin #DemocratsTheEnemyWithin #KamalaToe #lockdownextension #WashingtonState #Washington #Seattle 
https://t.co/EWEcG3GU8i https://t.co/pD0xQ1F0IN"
6,MasksAreDangerous,1295493463346159619,./tweet_data/mask_08/MasksAreDangerous/tweets3/EfqEb5kX0AgIsoM.jpg,I for one have managed to wear a mask for about as long as it took to take a piss taking selfie and that’s it... I felt suffocated and uncomfortable.. god knows how people are wearing them all day!! #masksaredangerous #COVIDIDIOTS https://t.co/qGP8tg7Ks4
7,MasksAreForSheep,1292288059904593925,./tweet_data/mask_08/MasksAreForSheep/tweets2/Ee8hJCVXoAEojfu.jpg,"See, even the #fakenews can't fake it anymore! Can't even wear a #Mask the right way! 

#Masks #MasksDontWork #MasksareforSheep #MasksareStupid 

#MAGA #KAG https://t.co/1PvxjxUBu1"
8,MasksAreForSheep,1299789907716497408,./tweet_data/mask_08/MasksAreForSheep/tweets5/EgnIByNVkAAukZj.jpg,Supporting Daddy and @nomasknevadapac at the No Mask Rally today! @realdonaldtrump @mikepence #nomasknevada #opencarry #2ndamendment #trump2020 #masksareforsheep #maga #recallsisolak #LasVegas #nomaskrally https://t.co/LWlSneJFjI
9,MasksOffAmerica,1290413263092617217,./tweet_data/mask_08/MasksOffAmerica/tweets1/Eeh4BbjU8AAYjPA.jpg,“Breathable”? Isn’t the point of wearing a mask to prevent our breath from passing through the fibers? #MasksOffAmerica https://t.co/8oHrav2FQp
10,MasksOffAmerica,1290248199601438720,./tweet_data/mask_08/MasksOffAmerica/tweets1/EefhS9VXYAAEHjd.jpg,@GovernorTomWolf Masks do not stop the microscopic virus. Any doctor saying otherwise is controlled by the gov't. #MasksOffAmerica https://t.co/ZQNkI8fB0z
11,MasksOffAmerica,1290019606732529664,./tweet_data/mask_08/MasksOffAmerica/tweets1/EecR_uJUMAIWo6B.jpg,Show this to every #MasksOffAmerica supporter. This is why we say #MasksOn and #MasksSaveLives. https://t.co/YQxoDVdHaM
12,MasksOffAmerica,1291047805688188930,./tweet_data/mask_08/MasksOffAmerica/tweets1/Eeq5HD1WkAAl8B-.jpg,"@ProgressDSM @IowaGOP @KimReynoldsIA Lololololololololo. The observed outcomes of decades of research show that #MasksDontWork to reduce transmission of viruses to anyone. But you already know that’s why many people won’t wear them.

#Maskhoke #NeverMask #MasksOffAmerica https://t.co/1V0aODvH0A"
13,MasksOffAmerica,1290435488155918338,./tweet_data/mask_08/MasksOffAmerica/tweets1/EeiMPNrUwAAMIAJ.jpg,"@HennessySTL @_theOutpost_ @gatewaypundit Don't need a scientific dude to explain #CommonSense.

#MasksOffAmerica

Oh, and this too👇 https://t.co/oEjhybIXT7"
14,MasksOffAmerica,1291052854598340612,./tweet_data/mask_08/MasksOffAmerica/tweets1/Eeq9uY5XoAAzCiC.jpg,"Bwahahaha guys, a #mask is no substitute for a healthy and supported immune system #MaskUpMN #dobetter #MasksOffAmerica https://t.co/qrjW7hNHVU"
15,MasksOffAmerica,1290773848816857095,./tweet_data/mask_08/MasksOffAmerica/tweets1/Eem_-Z_WkAMUtMX.jpg,My friend couldn't have said it better #MasksOffAmerica #COVID19 #WakeUpAmerica #scared #refuse https://t.co/8xDatMBt8s
16,MasksOffAmerica,1290400448210440198,./tweet_data/mask_08/MasksOffAmerica/tweets1/Eehr88fWAAIBkw4.png,@BreitbartNews Masks are not capable of even slowing down microscopic matter @SylvesterTurner.  You went wrong when you accepted that masks don't protect you from low-velocity viruses coming into the mask but they protect others from high-velocity viruses going out of the mask. #MasksOffAmerica https://t.co/8aPbhRA63U
17,MasksOffAmerica,1289760030921646081,./tweet_data/mask_08/MasksOffAmerica/tweets1/EeYl6K6XgAA1_ZQ.jpg,@AnaCabrera Masks are a test of obedience and stupidity levels #MasksOffAmerica https://t.co/ZYV39SoqzI
18,MasksOffAmerica,1290306091499347968,./tweet_data/mask_08/MasksOffAmerica/tweets1/EegWjRvWoAAV8fr.jpg,Still Protected! Jesus is the Cure! Showing off my Badge of Honor! This Matters! #COVID19 #protected #JesusMatters #YouMatter #FaithOverFear #Cure #MasksOffAmerica https://t.co/XSox2k8rSd
19,MasksOffAmerica,1291493438857162752,./tweet_data/mask_08/MasksOffAmerica/tweets1/EexOcAJU8AAADMA.jpg,"PSA 

The reason people are afraid of a virus with a 99.6 % survival rate is psychological manipulation. Face covers are a tool. 

#MasksOffAmerica 

https://t.co/VtiJRlexVm https://t.co/WNDMoglQPc"
