,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BurnYourMask,1336145411631804417,./tweet_data/mask_12/BurnYourMask/tweets2/EorwVSJVQAAUyHg.jpg,"@dougducey @azcentral The TRUTH. 
The Plandemic is UNCONSTITUTIONAL 

The media is real deadly virus!!

You sold out to China- using fake stats to instill fear on MANY  &amp; people are losing everything. How could you?

#BurnYourMask 
#OpenUpAZ https://t.co/H15ytKS2wh",americans 1944 face certain death tf tarry amen face survival rate aa tut
1,MasksOffAmerica,1334184036831551488,./tweet_data/mask_12/MasksOffAmerica/tweets1/EoP5T6NW4AABWBd.jpg,"@bobbiloblaw @clairemetzwesh I can think for myself
I understand Risk 
Masks actually increase the chance of sickness
#WakeUpAmerica #MasksOffAmerica https://t.co/7bfWn3u3d6",think es people believe earth overpopulated save life aa
2,MasksOffAmerica,1334921974812913667,./tweet_data/mask_12/MasksOffAmerica/tweets1/EoaYdjYW4Ac7Pz2.jpg,"@Kriseman Stop over stepping your bounds! We the People rebuke your tyranny.
#MasksDontWork 
#MasksOffAmerica https://t.co/M7Rzqv6axN",people uat im lu congress court overthrow constitution overthrow man pervert constitution yl nem
3,MasksOffAmerica,1337259185709395968,./tweet_data/mask_12/MasksOffAmerica/tweets2/Eo7mJC9XcAIepAQ.jpg,I am not a sheep!!! #MasksDontWork #MasksOffAmerica https://t.co/gU39WQmn1D,dama ed wear face wear anyplace wear chin wear wear ear wear fear wear stupid mask wear nt ask
4,MasksOffAmerica,1336831073708367873,./tweet_data/mask_12/MasksOffAmerica/tweets2/Eo1gxmnWEAEO6Sh.jpg,"@AsaHutchinson @ADHPIO Nice fake town-hall meetings today.  Wouldn’t allow anyone inside.  What a dog and pony show!  🤦‍♂️

#MasksOffAmerica. https://t.co/IHERsI492R",ls unconstitutional business tell ue lt
5,MasksOffAmerica,1338986479591284736,./tweet_data/mask_12/MasksOffAmerica/tweets3/EpUJGqoXYAAcLyH.jpg,"Love the billboard. 

#MasksOffAmerica https://t.co/yuBDs1TL8R",dr ben tapper like virus eit tn sare rd ny sh lat ry ei
6,NoMoreMasks,1335571372299448320,./tweet_data/mask_12/NoMoreMasks/tweets1/Eojmij-W4AMDlxt.jpg,@FlaglerEOC Don't get caught up in the Hysteria of the Control Freaks of the far Left States #NoMoreMasks #NoMoreLockdowns https://t.co/vOOp1dPe1k,condom ae pit pe toa ore work mask
7,NoMoreMasks,1335391452696702977,./tweet_data/mask_12/NoMoreMasks/tweets1/EohDcrMVoAUO31I.jpg,"Surely now those that were on the fence about #dictatordan plan to hold onto his SOE powers can see plain as day this has never been about the ""virus"" #NoMoreMasks ANYWHERE! #SackDanAndrews #freevictoria #DanMustGo GTFO of Australia @DanielAndrewsMP we don't want you here! https://t.co/NilzuHp8Ad",ro aa va 2h ey ye say 297 ceo ricci bu ls pm les ee ies oo marek rec th
8,NoMoreMasks,1337014676287320065,./tweet_data/mask_12/NoMoreMasks/tweets2/Eo4HwvZXIAAvg3t.jpg,Exactly...!! #vaccination #nocovidvaccine #nomoremasks #NoMoreLockdowns #Vaccin https://t.co/q3nBMUxNxn,sateen mela fa politician survive vaccine safe nt lta aly pee ete eet ti
9,NoMoreMasks,1339061088688635904,./tweet_data/mask_12/NoMoreMasks/tweets3/EpVM9otU0AAAtFz.jpg,"@GenFlynn @realDonaldTrump Marines never retreat

#NoMoreMasks
#HoldTheLine
#StandForAmerica https://t.co/Au3qEmItPi",yy ke py cse cee bi fs bs os steel ee ae xx oe af
10,TakeTheMaskOff,1334315020092641281,./tweet_data/mask_12/TakeTheMaskOff/tweets1/EoRwbnOXYAEUKwE.jpg,I guess I'm the villain in this story! #TakeTheMaskOff https://t.co/aRV7Zcscke,il face mask ad require ee cover nose mouth au enter sick ft thank understanding support keep safe
11,TakeTheMaskOff,1339263500682735620,./tweet_data/mask_12/TakeTheMaskOff/tweets3/EpYFDgAW8AMo5KU.jpg,"Whoops!!

#ProChoice #MyBodyMyChoice #UnmaskAmerica #TakeTheMaskOff #WearAMask #WearAMaskSaveALife #COVID19 #Plandemic https://t.co/wdJCfcfRaV",ata masks wa ttl ts ic ng ae fl hy te te al ttt tp
12,maskhole,1335326769054945281,./tweet_data/mask_12/maskhole/tweets1/EogIg8_XIAEahFV.png,"#COVID19   Can make you..ahem..underwhelming in bed.

Don't be a #maskhole https://t.co/Qy30D3t809",cause impotence eos ma srs ae pe
13,maskhole,1337861471770796033,./tweet_data/mask_12/maskhole/tweets2/EpEJ5nTW8AACzSl.jpg,"@brutus_87to98 NOPE. 
#maskhole
#psychologicalwarfare https://t.co/IRGBwNk9n4",ss sak os ns sw ss st nc ss fs pe brainwash
14,maskhole,1336345467135922186,./tweet_data/mask_12/maskhole/tweets2/EounHfKW4AAYST7.jpg,"There's only one today.
R train in Sunset Park.
To my sister from another mother, joining in documenting the maskholes who don't respect fellow riders. 

Chin strap is popular.
It's not that you don't have a mask.
It's that you won't protect the public from you.

#maskhole
#MTA https://t.co/Db1iA9sirE",ee treet sn tey cay tf ao ff ay mee ea ry hi tt wh ee xy
15,maskhole,1337471464602218496,./tweet_data/mask_12/maskhole/tweets2/Eo-nNUNWEAYSKJ8.jpg,"Why is this news? Who cares what this guy says? He not qualified to make this determination, so it’s just a misguided opinion. Move on. #COVID #maskhole #wtfiswrongwithu https://t.co/ZZMTUsqjuF",eat tennessee pastor falsely claim pandemic
16,maskhole,1340070599566225408,./tweet_data/mask_12/maskhole/tweets3/EpjjGGMXUAEMefw.jpg,"@Gary4GovSC @scdhec @henrymcmaster #StayHome #StaySafe this #HolidaySeason!

Don't be a #MaskHole😷! https://t.co/IqGzmaI6m8",ee ss ul aa home ih 2020 ae
17,masknazis,1343892937843896321,./tweet_data/mask_12/masknazis/tweets5/EqZ3gRDW4AEZfaT.jpg,"#Fauci ... The Angel of Death ..reminds me of the Nazi, Dr Joseph Mengele. #faucifraud #fuckfauci #CovidFascists #MaskNazis https://t.co/VH26EWbpvn https://t.co/a7u3iOim62",yy ole eq aus diss crime gain ti vv oa ny
18,maskoff,1335459722451968000,./tweet_data/mask_12/maskoff/tweets1/EoiBihWWMAErHc8.jpg,@jemelehill it’s always this guy #maskoff https://t.co/4l73OHGc0g,pin tweet se cae ek want remember honest person good father lessee 122 pm twitter iphone
19,maskoff,1336870458633965573,./tweet_data/mask_12/maskoff/tweets2/Eo2EmNTXcAEtff-.jpg,"2021 is ma fucking year bitch
@WORLDSTAR #TravisScott #Cyberpunk2077 #LatinGRAMMY #Billboard200 #trippieredd #LilUziVert #maskoff #futurefluturekulture. Xiaomi Gang
I love that tegnologi so....
Suck my dick crazy ass bitch.
I love #XXL #XboxSeriesX #Netflix #YouTubeDOWN https://t.co/4CESQAsp7d",xxl magazine xxl vann 50 best hiphop albums 2020 polo en ee baa good hiphop project 2020 oz ana kel
20,maskoff,1338032819486879746,./tweet_data/mask_12/maskoff/tweets2/EpGjP7ZVQAEaA_w.jpg,"Meanwhile, anti-#lockdown protestors marched through Edinburgh city centre, gathered at #London's Hyde Park, brandished placards in #Bristol and walked along the seafront in #Brighton this afternoon. #HolidaySeason #Christmas #maskoff #mask #UK #EU #USA #Doctors https://t.co/wuHQ9bCoWU",ba zn ee nx eee en ae far ge oo alliance freedom life co lob
21,maskoff,1337852628106178572,./tweet_data/mask_12/maskoff/tweets2/EpEB389WEAE_3HL.jpg,"As SOON as this panoramic is over, this will be me in @tjmaxx and @homegoods . It’s only right...because, I deserve nice things.

#inthemamaverse #humor #butimserious #maskoff https://t.co/F9tKuGlMHW",see woman glass white wine middle marshalls honestly eel ik ji bo nisa yf eh nd seu
22,maskoff,1337750348237332480,./tweet_data/mask_12/maskoff/tweets2/EpCk2gtXYAEtPPV.jpg,"Today's the day Ottawa!

#NoMoreLockdowns 
#maskoff
#willnotcomply https://t.co/ChEfuETmYa",freedom march parliament hill wl lock downs saturday december le guest speaker mpp randy hillier denis
23,maskoff,1339348345312165899,./tweet_data/mask_12/maskoff/tweets3/EpZSODQXIAc4lMM.jpg,We can’t to celebrate with you and your families when things get to normal #dj #djcompany #djlife #desmoines #desmoinesweddings #weddingdj #engaged #iowa #iowadj #iowaweddings #ourstressfreewedding #love #mobiledj #music #bridetobe #maskoff #future https://t.co/OJPRWZglLs,measures lift rr cc belang
24,maskoff,1341558324664266757,./tweet_data/mask_12/maskoff/tweets4/Ep4sL4OUcAM7nAW.jpg,When this is all said and done. #COVID19 #future #MaskOff https://t.co/ROJahQUhew,pe ey ome mask 41 song world finally understand future
25,maskoff,1341428788241068032,./tweet_data/mask_12/maskoff/tweets4/Ep1b6VyUcAAYD0O.jpg,"Necessity is the mother of invention / innovation!
👉https://t.co/Dr9TsuOZ15
#MaskUp #Masks #maskoff #MaskOn #MEMES #memes2020 #memesdaily #silly #FunniestTweets #FunniestVideos #innovation #InnovationForEveryone #COVID19 #Covid_19 #COVID #pandemic #ChinaVirus #coronavirus https://t.co/Bdr0aydiMi",innovation ps yori lat new ra ss enr renae sram meco rt reco oe ee eed
26,maskoff,1343914643576692736,./tweet_data/mask_12/maskoff/tweets5/EqaIwgiVEAEDCXi.jpg,"@TheCoronaCure_

I'm sorry but your compliance is not a virtue.

It's cowardice.

#mask #WearAMask #maskoff #facemask https://t.co/y3URS6IC48",fey plan wo nt able follow fal
