,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BurnYourMask,1381325878177636356,./tweet_data/mask_2021-04/BurnYourMask/tweets2/Eyt0kGjVcAARhVa.jpg,"Meme of the year 😷

#Scamdemic #Plandemic #MasksOff #MasksDontWork #BurnYourMask https://t.co/IDzkkrTxWk","ONLY A FEW WILL

wy

UNDERSTAND THIS
"
1,MasksAreForSheep,1387130569947967488,./tweet_data/mask_2021-04/MasksAreForSheep/tweets4/E0AT5lyVEAAwuPy.jpg,@AlLankton @drdavidsamadi Only if you're doing a fake climate zoom meeting....#MasksAreforSheep https://t.co/jjY7oOy4E7,"er Re F

eee

A

RUPTLY

e

ROK HOD ani

canada HOD

a

European S6m

Denmark uoolf

European Cou

5

ae

Mexico HOD pe

United StatesHOD gt

By

s

w

5 China HOO

Viet Nat

a

ue

5

coer 1oot

Norway HOD

6

7

United Kingdo

Turkey Hi

l France HOD

tay HOD

q

ttaly HOD Bac
"
2,NoMoreMasks,1378481126122094592,./tweet_data/mask_2021-04/NoMoreMasks/tweets1/EyFZRzFVoAMQOrp.jpg,@NoLockdowns1 today in Brantford was a pleasure to meet and speak with @randyhillier #NoMoreLockDown #nomoremasks #freedom #Canada #ontariolockdown @NorfolkCountyCA #FarmersProtest @TobyBarrettHN https://t.co/urLnIdfYMc,"BMO

a

Tile

ae

ao

a

Bi

Ak

e

Y

4

j

ats

4

No Mone Lunt

Ayo

os
"
3,NoMoreMasks,1378591486854324234,./tweet_data/mask_2021-04/NoMoreMasks/tweets1/EyG9N7TVoAALRN3.jpg,"#MyBodyMyChoice 
#NoMoreLockdowns #NoMoreMasks
And stop listening to ignorant uneducated #Politicians, #PublicHealth officials and #Media personalities. None of these people have EVER practiced #Medicine, not even the ones calling themself Dr.!!!
#canpoli #cdnpoli #bcpoli #onpoli https://t.co/eiOQO7hhes https://t.co/BXRH2VCE9z","Ey

WS

FO

yy

s

pANGEROUS

FREEDOM

ACO

tk

went

Ait

AJER

EU

canoe

a

vaenee2

ners

al

Any society

Taal would give

Wrens

nu Nes

4

7
"
4,NoMoreMasks,1378134370473631747,./tweet_data/mask_2021-04/NoMoreMasks/tweets1/EyAd5vvWEAETLpg.jpg,"C’mmon y’all!!! Unless for medical reasons there really isn’t and descision to make! It’s not our Right, it’s our Resposibility!!! #GetTheShot #LFG !! #EndCOVIDforAll #NoMoreMasks https://t.co/WlJT0wKdA1","be

cj

J

covio 19

s  pkadeitioa
"
5,NoMoreMasks,1377701688061042688,./tweet_data/mask_2021-04/NoMoreMasks/tweets1/Ex6UYmxVoAUY50t.jpg,"No one wants her here but we can't get rid of her, she's even passed stuff so she doesn't need our votes to push things through anymore...

@blzeSave @BlazedRTs @DynoRTs @WorldsSpotlight #oregon @Now_Rtw @OwlRTz @FEAR_RTs #masksdontwork #nomoremasks https://t.co/5FJeMloLzl","Oregon tax dollars

hard at work

Kate Brown mocks us with her commercial

to remind us that she is in control

idisccaheladlala

5

Ee

3

J

ie

aS
"
6,NoMoreMasks,1381476632628707329,./tweet_data/mask_2021-04/NoMoreMasks/tweets2/Eyv9jl1WQA08qgr.jpg,"Oh dear #Florida how could you?

I MEANT WELL DONE!!!

#NoMoreMasks #MasksProhibited https://t.co/LgrE2BPOyt","When youre desperately trying to

pretend the entire world is under

attack by an apocalyptic plague

and Florida ruins it by letting

everyone just go on with their

lives as normal

Ka

iy

me

a

MASKS

y

ZJ PROHIBITED

Ye

wr

SPORTS

00am to

we

Lt

DAILy

00 am
"
7,NoMoreMasks,1380224432724140036,./tweet_data/mask_2021-04/NoMoreMasks/tweets2/EyeKzqgXIAMaKTE.jpg,"@IDPH care to explain? 
@EWoodhouse7 @IllinoisOpen @IhsaSmac @DuKane8Conf @KyleNabors @prepspioneer @AmyJacobson @uofigovrelation @WGNNews @dailyherald #NoMasksInClass #nomoremasks https://t.co/3oXLFB4Kqv","rere very

forearms

i aoc ara

Sot

ret

oe

Se

comer

Facemasks are not Respiratory Protection

 Facemasks by design do not seal tightly to the wearers face

 Therefore they allow unfiltered air to easily flow around the sides of the facemask

into the breathing zone and respiratory tract of the wearer

In addition the materials used for facemasks are not regulated for their ability to

filter particles and are known to vary greatly between models

This makes it possible for small particles to pass through or around the facemask

and be inhaled by the wearer

v

eed
"
8,NoMoreMasks,1381240099376095239,./tweet_data/mask_2021-04/NoMoreMasks/tweets2/EysmjPyWUAQ26ty.jpg,"Happy Day #100 of 2021 🎈
#nomoremasks
Honestly, unless you work in a hospital, skilled nursing facility or other health care facility, masks should be gone. 
#Biden #MasksDontWork https://t.co/jTtOxiXNoi","BIDENS FIRST 100 DAYS

COVID19 BATTLE PLAN

tf

2100 DAY MASK WEARING

dl

goa

y

Pane Tey VACCINE

a

S

REOPEN SCHOOLS

ed it LS

amy
"
9,NoMoreMasks,1381560764780195843,./tweet_data/mask_2021-04/NoMoreMasks/tweets2/EyxJ787WgAEFOuT.jpg,"Face masks are a dehumanising psychological test of control and obedience. The removal of human faces is part of isolation implementation. 

#nomoremasks #TakeOffYourMask #UsForThemUK #NoMasksInClass #NoVaccinePassportsAnywhere #NoVaccinePassports #novaccine #labrats https://t.co/p7tPOcAPXB","Ps

CENSORED 3

in ap
"
10,NoMoreMasks,1384173617198469125,./tweet_data/mask_2021-04/NoMoreMasks/tweets3/EzWSkYeUYAIa9k_.jpg,"And I'm sure that loose bandana will be just as effective...
SCIENCE!

Vote @davidkurten for #MayorOfLondon &amp; @heritagepartyuk for #LondonAssembley and nationwide on 6th May for common sense &amp; #freedom.

#LondonMayor2021 #LondonVotes #EndTheLockdowns #NoMoreLockdowns #NoMoreMasks https://t.co/C2vz4501iD","Sel4S

PAINTING

2

oe

MINING

Pesticides

Fy

eS

 F

yv

Bia8 Bqre le lle

ATAU cmie

Radioactive

SCOR g
"
11,NoMoreMasks,1384149732826640391,./tweet_data/mask_2021-04/NoMoreMasks/tweets3/EzV81_gVgAYh0cN.jpg,"If people don’t want to get scammed, the first thing they need to do is get informed. 

There is simply a lack of clear evidence that people who are not ill or who are not providing care to a patient should wear a mask to reduce influenza or Covid-19 transmission. 

#NoMoreMasks https://t.co/WaUSMxguSd","RyaISh

pr Karina

sli

NaNO tla

i

Tes eT

ASE ke

yaad

LV
"
12,NoMoreMasks,1382606575047626754,./tweet_data/mask_2021-04/NoMoreMasks/tweets3/EzABWhNXAAczK2l.jpg,"Enough said. 
#NoVaccinePassports #NoMoreMasks
#NoMoreLockdowns https://t.co/sZnYJr1XGn","rw

Fm

sy

IM

WEARING A CLOTH

he

M

ast

STUF A VIRUS

tye

ee

Ne he

tos

are

Ne

ma

rae

bat

E

v2

C

BT

i

SI

i

le

S

HUITOESS
"
13,NoMoreMasks,1384491745958764547,./tweet_data/mask_2021-04/NoMoreMasks/tweets3/Ezaz5aDVgAsYkKy.jpg,"Shocker, masks are both ineffective at protecting against COVID, and can lead to serious health issues. With that being said #nomoremasks #NoMoreLockdowns! 
.
#raisedright https://t.co/X11uZzNev2","AS

ow

we

af

y

se

se

ene ma

GP

Stanford Study Results

cS

le Eee CMa h dem ce

Block Transmission of COVID19

s

and Actually Can Cause Health

Deterioration and Premature

Tees hag

123 Comments

April 19 20211000am by Joe ee

mY

rs

WY

we
"
14,NoMoreMasks,1386858791002595330,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/Ez8ctIhWUAQS8zu.jpg,"Cant wait to ignore the new mask mandate from that old puppet in DC tomorrow given to him from that other little ass clown.... official response is ready..... @JoeBiden @VP  #nomoremasks. #vaccinated 
@top5forfighting @ralexanderlaw @ginacarano https://t.co/Itie31Jr5E","DAYS I aT

y

HF

YIKES

oo
"
15,NoMoreMasks,1386147844134821889,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/EzyWHkNUYAIViWB.jpg,"End the masks! NOW!! 
#Masks #masksoff #NoMoreMasks https://t.co/EMzfoEsk3G","Heywanna hear the most

Le

Pee LON TLN alia Tam Ute siaouis kane

Nee

ee

at

7

nates 4

Ue
"
16,NoMoreMasks,1387069378789785600,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/Ez_cP8gXsAECwEJ.jpg,This man has no shame! #nomoremasks https://t.co/b7Roqjq2BJ,"4

Oa

Apis

Rey

ity

a

ESE

He

sf

fe
"
17,NoMoreMasks,1386629939341021184,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/Ez5MkmWXIAIHiAO.jpg,"Leafleting around #Stirling today, rain keeps threatening but not landed yet.

Town is starting to get busier with #non essential"" shops opening but masks are everywhere inside and out.

According to #UKGov only 1 in 600 have Covid19, #nomoremasks

#SecondVote
#ReformUK https://t.co/reHXQt7KJ4","a

Wy

ae

Ie

il Call

aes

in iy

ON

i

es

le

A

Ly

ee

i

Kone

WN

te

ee

te

Wes

Mas

thy

tts

L

eg

ne

ty

4

a

HE

hay

te

Ny

ry

UK

Ba

the

i

ae

if

BI

ae

44

Tih

Ss

cer

AN

te

1

tt

Wc

Lp

ty

Wi

OES

aa Ne

wo a

ey

1

ett

Ry
"
18,NoMoreMasks,1386345231948320773,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/Ez1I-VnWUAcTOFt.jpg,"Some light at the end of the tunnel from today's Telegraph. Keep sharing the truth until mainstream media has no choice but to report it!
#londonprotest 
#nomoremasks 
#freedom https://t.co/q9KlmMfVmg","Scrap social distancing in June

to give people their lives back

sncluding Robert Dingwall professor of

Pose ERC lay

sociology at Notangham Trent Coiver

BOBO est

33508

Syme Reread

CUS a ar estas etilg

SOCIAL DISTANCING should be abot

VAC

Respiratory Virus Threats Advisory

ished In June to allow people to take

RST DOSE

wy

a

Sh

ory

Tega Pest enh en ice

Bal

Pas

Wy

Other signatories include Pruf Carl

Sermiewr enn tern Pew

Heneghan director of the Centre for

Ce eee

Evidence Based Medicine af Oxford

Lora

Bi et eS ear sre

2061

Pe Pac PU ete oe

See eee EL ee

PAVIA MODEM MT as ay

geneticist and health data scientist at

POU ea

CU ee Sor one Os

and calls for all restrictions to be lifted

The sciennsts say that masks should

COUP AMEO ec aac eLo ity

Dede week eae nc

sons Well documented roadmap out of

te ir

the recommendation of face coverings

ea un

CHANGE IN 7DAY AVERAGE

Lee OCCU OU oii rains

Mass community resting is also

been extended after Easter

eg tae Cm essai cand

Calling for masks it claxxroorns to be

favour a more targeted approach along

VAC

Mopped by May 17 they warn that the

with encouraging handwashing and

PAY hs eed

damagr tosocsety will be too great if the

Parse el a

OEM ROO Ri cuit re uli

TU eae OT

They are also urging the Government

surge should not outweigh the harms

oeriketia teste tenet at

caused by lockdown cules including

Experts have warned that repeated

ne longer requires exceptional meas

Crier woke ae eocorr cir lit iied

roe

PUM to aie e

Prcey

warren itpaee ts alo

ee aia

Pao ae Lari

Ending social distancing restrictinns

AU co eee EDR

etree career ea Ly

would allow family members from dif

annaunced that more than half of the

referrals have hit a record high

eel oki ee Riot aise

Le UEC MC mee Oat

Ge utara Gena bo

Pom Ue Ut ee aus ee

Poa oe ER ir Sal

also sard that masks may not be needed

OCU Arete Duan ml

PO Se ir ce ee Eg

ee LC eee oe

Pea ure Ro

Pe ee Uric ee iene Ee sii

the vaccine and levels of herd immu

Pie CM Bela ny tie

jabs that slash infections and are also

nily The optimism comes despite

specialities and all sides of the political

PMU atri ct ke ll alate

Continued om Page

AU Uae comm Ua gi eed

spectrum insisd the theoretical risk of

RTS UMC tet eRe oar

the Government have signed the letter

Eo oe ee
"
19,NoMoreMasks,1386053625974231040,./tweet_data/mask_2021-04/NoMoreMasks/tweets4/EzxAau7WYAA8X6D.jpg,"-Right Outside Al’ Johnson’s Front Door-

#NoToMedicalApartheid #NoMoreLockdowns #NoMoreMasks https://t.co/HNyBJp2T64 https://t.co/x7zxwGOjcz","Eh

kal

a

yt

i

i

Lok

ny

bas 18

A

PUN laly

ail

mos

Dts i
"
20,NoMoreMasks,1387834372317802497,./tweet_data/mask_2021-04/NoMoreMasks/tweets5/E0KUAJKUYAAB-7I.jpg,Do you feel manipulated? #FreeNewMexico #EndTheLockdown #NoMoreMasks https://t.co/eJAbiFd4ZX https://t.co/ny7TasYkks,"id ARE BEING USED MANIPULATED

THERATH huly
"
21,TakeTheMaskOff,1381128367441907714,./tweet_data/mask_2021-04/TakeTheMaskOff/tweets2/EyrA7ZMWUAAEVnB.jpg,Jesus Wept 😢 #takethemaskoff #EndTheLockdowns https://t.co/1NG4gEyzEW,"8

ae

Ces

e

Ss

Ve

eae

we ae Se

 seamanann a lillian to

Sa

us MT

AN want

roc yoza

we

fn

wine

Cu

INCLUDES

WZ

es

2

G

3

MASKSI

4

o

La

i

oa

a

ES

FUN AND

TRENDY

i

a

ca

cr

q

e

oe

he

poy

00

DR enh

bl

100 H Cot

a

ao

Vy

Ra

a

PX waZ
"
22,TakeTheMaskOff,1382812986050543623,./tweet_data/mask_2021-04/TakeTheMaskOff/tweets3/EzC9FOzWEAE8-XE.jpg,"This is me.
On the bus in London.

I write this to inspire you.

I live here. I do not own a mask.
I go everwhere. I have been stopped, and on saying ""I am exempt"" they leave me alone.

shops bank hairdresser taxi bus tube train - you name it.

I educate others.

#TakeTheMaskOff https://t.co/WldL4cYPoT","ae

oh

oe
"
23,TakeTheMaskOff,1386307346440273924,./tweet_data/mask_2021-04/TakeTheMaskOff/tweets4/Ez0nLlpXoAEdj98.jpg,Why are these 2 idiots fakes wearing masks ?  Lol.   #TakeTheMaskOff https://t.co/qQKNjji2Ec,"i

vy

a

TEM

py

i

Nady

iy
"
24,maskburning,1381975179484672003,./tweet_data/mask_2021-04/maskburning/tweets2/Ey3DGXAWEAIbd3h.jpg,"So our area is effectively without representation!

 The media isn’t helping either. Their ability to both side the stories that effect this area(and all of Ontario for that matter)is frustrating at best.
 There are not two sides to #conversiontheaphy , #Maskburning . https://t.co/gr19PSBmxY","Yellow journalism

ay 4

fa

a

a

ah

eS

ve

cor

eset

fe

Pras

maa

Mi

oe

wm

on

re

Bad

ie

id

Yellow journalism and the yellow press

are American terms for journalism and

associated newspapers that present little

or no legitimate wellresearched news

while instead using eyecatching

headlines for increased sales

Techniques may include exaggerations of

news events scandalmongering or

sensationalism
"
