,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,AmericaOrTrump,1358071546372214787,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtjW3g7VkAMdhVM.jpg,@narendramodi If this is American interface or foreign propoganda and in America you said abb ki bar Trump sarkar what was that?? #FarmersStandingFirm  #AmericaOrTrump https://t.co/FgyoDN3Q1B,susan sarandon susan 15h stand solidarity india read protest se eel res farmer protest india 2202 tl 119 318
1,AmericaOrTrump,1357347594381398019,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtZEcKhVEAg-q16.jpg,"#MattGaetz #LizCheney #GQP #Trump #impeachment #PartyOfTrump #AmericaFirst #AmericaOrTrump #AOC 

I agree with #RickWilson the #GOPCowards killed the party. It’s just downhill from here. https://t.co/MxhdwbiZvV",leet oe aa aa tie a5 qr matt obviously peaked college wear interview suit
2,AmericaOrTrump,1357138193821278210,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtWF_fiVoAM9Wot.jpg,@RepLizCheney being under fire bc she won’t kiss the ass of 45. She shouldn’t lose her leadership just bc she takes a moral stand. We all know that man ignited those group of people to attack the Capital &amp; needs to be held to account #AmericaOrTrump https://t.co/BeRtdwgVPz,ot cl nation fad s2 trillion economic aid package
3,AmericaOrTrump,1357410121660329986,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtZ9TwNVIAINBfM.jpg,"The #StockMarket is going up huge because of effective vaccines and big stimulus, not because of #DonaldTrump and @GOP ! #GOPCowards #GOPAntiCapitalism #ForThePeople #AmericaOrTrump #CorruptGOP https://t.co/Nc9rKiQTli",zm mn th future br
4,AmericaOrTrump,1356841591579713538,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtR4O_kVkAEpoEg.jpg,And knowing the @cologop ...that means they’ll triple down on the UnAmerican unpatriotic seditious crazy because @RepKenBuck doubled down since losing in 2016...every statewide election... #SeditionHasConsequences #AmericaOrTrump https://t.co/19MJGsVEab https://t.co/NXdZdJlRIW,aer ie wy lima ye db cane aerate let god
5,AmericaOrTrump,1356609944586453002,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtOljP_XMAA6vRS.jpg,"@LindseyGrahamSC @senjudiciary Boy! We're finally getting ready to find out what dirt Trump has on you, huh?! Followed by what dirt he has on all the @GOP Sedition Caucus!  
#AmericaOrTrump https://t.co/Nn5HQgG0eq",ra shane graham control
6,AmericaOrTrump,1356650711468003330,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtPKShyVkAAlkDn.jpg,"He Guys I need some help !! I am trying to get this program off the ground, and I am being blocked and censored by private groups and admins! fb also Gofundme!  Can you help ?https://t.co/78l0RdFyNG #SocialMedia #AmericaOrTrump #CannabisMedical #getvetsgreen https://t.co/3Q2v6oNmvQ",eu ef ad account disabled ac aot rg asset ary disable cart use torun ad ms paine ae te
7,AmericaOrTrump,1356330665416007680,./tweet_data/politics_2021-02/AmericaOrTrump/tweets1/EtKnhjeVgAAZYas.jpg,@Jim_Jordan @realTuckFrumper How many molesters have you protected over the years? #FactsMatter #GOPTraitors #TrumpVirus #TrumpCrash #TrumpLiedPeopleDied #TrumpPlague #MAGAVirus #LeadershipFail #ComplicitGOP #Corruption #TREASON #PutinsGOP #partyovercountry #AmericaOrTrump #RadicalizedTrumpJihadists https://t.co/ZrK7KoIyok,wonder fool like jim jordan get elect fg pal os mr jordan heavily gerrymandered voting district look like
8,AmericaOrTrump,1360383271067148289,./tweet_data/politics_2021-02/AmericaOrTrump/tweets2/EuENYBGXMAA9czD.jpg,"@marcorubio If a president incites a riot &amp; impeached while in office, shouldn’t he be held accountable? #Spineless #Convict #ClearAndPresentDanger #AmericaOrTrump #ConvictAndDisqualify #TrumpIsGuilty https://t.co/8S8j14aHz7",colin mochrie commit major crime hope jury people help
9,AmericaOrTrump,1360428225856471041,./tweet_data/politics_2021-02/AmericaOrTrump/tweets2/EuE2QcgXIAQvWv1.jpg,"For all the GOP senators weighing their vote in Trump’s second impeachment trial tonight: facts matter. 📷: February 3, 2021 #Oakwood, #Ohio. #TruthMatters #DefendDemocracy #ConvictTrump #ImpeachmentTrial2 #Democracy #AmericaOrTrump #Decal #PoliticsOnWheels https://t.co/bQ6q4pOh21",eee sub tr th ma song seamer sub ar
