topic,count,proportion_count,minimum,subtract
ageism_04,1600,143,20,1580
ageism_08,709,74,20,689
ageism_12,537,60,20,517
ageism_2020-02,117,28,20,97
ageism_2021-02,237,37,20,217
ageism_2021-04,691,72,20,671
asianhate_04,2887,243,20,2867
asianhate_08,815,82,20,795
asianhate_12,399,49,20,379
asianhate_2020-02,538,60,20,518
asianhate_2021-02,285,41,20,265
asianhate_2021-04,323,44,20,303
immigration_04,93,26,20,73
immigration_08,144,30,20,124
immigration_12,52,22,20,32
immigration_2020-02,183,33,20,163
immigration_2021-02,39,21,20,19
immigration_2021-04,186,33,20,166
mask_04,16,16,16,0
mask_08,91,26,20,71
mask_12,63,23,20,43
mask_2020-02,2,2,2,0
mask_2021-02,53,23,20,33
mask_2021-04,117,28,20,97
politics_04,4617,377,20,4597
politics_08,7589,607,20,7569
politics_12,2883,242,20,2863
politics_2020-02,2706,229,20,2686
politics_2021-02,576,63,20,556
politics_2021-04,263,39,20,243
vaccine_04,475,55,20,455
vaccine_08,436,52,20,416
vaccine_12,228,36,20,208
vaccine_2020-02,94,26,20,74
vaccine_2021-02,112,27,20,92
vaccine_2021-04,166,31,20,146
