topic,count,proportion_count,minimum,maximum,subtract
immigration_2021-04,186,49,20,186,166
immigration_2020-02,183,48,20,183,163
mask_04,16,16,16,16,0
immigration_2021-02,39,23,20,39,19
mask_08,91,32,20,91,71
mask_2021-02,53,26,20,53,33
immigration_12,52,26,20,52,32
vaccine_12,228,56,20,228,208
asianhate_12,399,86,20,399,379
ageism_12,537,110,20,537,517
mask_2021-04,117,37,20,117,97
mask_2020-02,2,2,2,2,0
immigration_08,144,41,20,144,124
vaccine_08,436,92,20,436,416
ageism_2021-02,237,58,20,237,217
mask_12,63,27,20,63,43
asianhate_08,815,155,20,800,780
ageism_08,709,139,20,709,689
ageism_2020-02,117,37,20,117,97
ageism_2021-04,691,136,20,691,671
vaccine_2020-02,94,33,20,94,74
vaccine_2021-04,166,45,20,166,146
asianhate_2021-02,285,66,20,285,265
vaccine_04,475,99,20,475,455
immigration_04,93,33,20,93,73
vaccine_2021-02,112,36,20,112,92
ageism_04,1600,155,20,800,780
asianhate_2021-04,323,72,20,323,303
asianhate_2020-02,538,110,20,538,518
asianhate_04,2887,155,20,800,780
