,hashtag,tweet_id,image_path,body_text,text_with_OCR
0,BillGatesBioTerrorist,1357431212852318209,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets1/EtaQfgOXEAI9VBY.jpg,Show ower folks open the country!! Every single things they talk about come out nonsense!!! #billgatesbioterrorist #BorisMustGo #pcrfalse https://t.co/qevwpXSJc1,want know declare pandemic ee fi
1,BillGatesBioTerrorist,1356879769653178371,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets1/EtSa9XVWgAAxeCh.jpg,"The guy is #evil. He has no normal human thought. He install himself as god.

A college drop out who miserably failed to bring an operating system w/o bugs &amp; viruses, cannot be allowed to play with #nature anymore.

#ArrestBillGates
#BillGatesBioTerrorist
#BillGatesEnemyOfMankind https://t.co/7ZbPyHpi32",nal ae po bill gates cover sun help counter
2,BillGatesBioTerrorist,1358092494689497091,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets1/Etjp7KnWYAANeL1.jpg,"#BillGatesBioTerrorist @BillGates 
Really? You wanna take this #vaccin? 
Do you hate your life that much?

#massmurderer #CoVid19NL #COVID19 #CoronaPandemie #coronavaccin https://t.co/Io1zvj6Ty7",think person cf believe earth 1s want save life
3,BillGatesBioTerrorist,1359622287490772993,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets2/Et5ZGw1XMAIDZ_A.jpg,"@shaniben_ezra @DrTedros @WHO Tedros and Bill Gates

#BillGatesBioTerrorist 
#TedrosBioTerrorist https://t.co/h7r7dCiEHo",nn yw 50 ref clo bill gate soy vw prison ul et
4,BillGatesBioTerrorist,1362111314705997828,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets3/EucxBRMXYAEw9MX.jpg,Eat Real Beef #NoFakeBeef #BillGatesBioTerrorist #billgatesidiot https://t.co/T76ko5PHAE,ic beef vis ac card pe ee natural flavor yeast extract ey cl ve wi worden mt oan
5,BillGatesBioTerrorist,1362544712176041988,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets3/Eui7MWxXcAEOAzL.jpg,"Bill doesn’t have any concerns. He doesn’t understand concerns , especially that of touching his cousin’s phallus. @BillGates #BillGates #BillGatesBioTerrorist #Pedolord https://t.co/E5leyCnlDz",touch cousin wiener bill gates
6,BillGatesBioTerrorist,1362025053274181634,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets3/EubikTVXcAEzc-I.jpg,"Here a good one #BillGatesBioTerrorist
RT comment &amp; like everyone https://t.co/g58Q3PDptT",fe rl de lets witt lee anb sell software 20 let infect people py sell vaccine virus
7,BillGatesBioTerrorist,1362149172653228038,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets3/EudTc5YXcAI7cwf.jpg,"So funny @JenniferGates 

#Gates #jennifergates #billgates #BillGatesBioTerrorist #conspiracytheory #conspiracy #ConspiracyTheories #medicalschool #doctor #medicine #microsoft #genius #implant #Biotechnology #tech #nerd #nerds #nerdy #geek #geeks #Science #scienceweek #scientists https://t.co/H03fowt1WS",bill gates daughter mock conspiracy theory 19 vaccination sadly implant genius father alco ui lo pei aw ch roi
8,BillGatesBioTerrorist,1362761522192277504,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets3/EumAYRYXUAsCxqi.jpg,"@edemAgbenyo @NoPlaceLikeRoam @WesternMastery Did you actually comprehend what the video said?  If you did, you would understand that the chinaVirus is a monumental hoax.  #BillGatesBioterrorist https://t.co/WXmyuMZR63",want use excuse vaccinate bill gates cnn wy
9,BillGatesBioTerrorist,1364155788177117185,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets4/Eu5zN10XUAErhjg.jpg,If the Media and the Govt are represented in this photo who are the 🐏represented by? And where are people like #BillGatesBioTerrorist hiding? https://t.co/dwXf2edU9J,ploy eugenicist lt trick il ae te yr tns heat ae govt bt ce media
10,BillGatesBioTerrorist,1363940109129715712,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets4/Eu2wTDuVEAEuqyV.jpg,I never thought that we'd have to defend #snow being real...but here we are. #TexasWinterStorm2021 #texassnowstorm2021 #Snowmageddon2021 #BillGates #BillGatesBioTerrorist #ConspiracyTheories https://t.co/s2kqlAbcHY,sena lx gs little crazy
11,BillGatesBioTerrorist,1363882619310587905,./tweet_data/vaccine_2021-02/BillGatesBioTerrorist/tweets4/Eu18AIkVgAQ6-w1.jpg,"@nhsrcofficial @GovtofPakistan It is the responsibility of 
@ImranKhanPTI
@fslsltn
@PakPMO

To properly check all
Foriegn Vaccines 💉💉💉
In local laboratory 
For the safety of 
People of Pakistan  .

@OfficialDGISPR
@dgprPaknavy
@DGPR_PAF

#BillGatesBioTerrorist 
#BillGates https://t.co/Hkyg0GQhs0",bow mm generation warfare usher totalitarian state world government
12,CoronaHoax,1364220926494007297,./tweet_data/vaccine_2021-02/CoronaHoax/tweets4/Eu6u69yUYAkGgLI.png,"Evil hobgoblin installed by the globalists to deploy his fake libertarian sheen in order to nudge the UK into a burgeoning dystopia.
#coronahoax https://t.co/f4EWOeGT4M",pm promise review issue vaccine passport orem recs peer pn
13,CoronaHoax,1365771023304568835,./tweet_data/vaccine_2021-02/CoronaHoax/tweets4/EvQxdSoXUAMbRho.png,"This one is definitely shaping up to be one of the most evil covid characters in a target rich environment.
#coronahoax https://t.co/rQ8H2mNO4W",professor jonathan tell itv news perfectly possible licensed children vaccine end year
14,CovidHoax,1357146397750026242,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtWNdGyXIAITW5H.jpg,"WAKE the fuck up❗🤡

#AntiNewWorldOrder #Trump2024 #lockdown #Trump #nwo #HunterBiden #Biden #JoeBiden #covidhoax #conspiracytheory #SleepyJoe #Memes #snowflakes https://t.co/gaJXfPxs1t",think wealthiest world meet secret powerful people wake discuss benefit
15,CovidHoax,1357144004790468608,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtWLR6pWQAEYXIo.jpg,"Its true‼..Its on TV‼
#AntiNewWorldOrder #Trump2024 #lockdown #Trump #nwo #HunterBiden #Biden #JoeBiden #covidhoax #conspiracytheory #SleepyJoe #Memes #snowflakes #cnn https://t.co/NaPvG36rMR",ry ic wey television
16,CovidHoax,1357840791461314561,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtgEFJBXcAUsOY9.jpg,"#Covidhoax
#NewWorldOrder 
#SynagogueofSatan

The Talmudic New World Order will be run from Israel.

How much more obvious does it have to get?

9/11 was the start of the long sprint to the finish. https://t.co/iuRQfZ8tGg",vrata tee oe ef ae wes mik fp die va dy wah en
17,CovidHoax,1357143662526935042,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtWK-AHXMAAHrLo.jpg,"Do you believe anything Mainstream tells you❓
#AntiNewWorldOrder #Trump2024 #lockdown #Trump #nwo #HunterBiden #Biden #JoeBiden #covidhoax #conspiracytheory #SleepyJoe #Memes #snowflakes #cnn #MainstreamMedia https://t.co/Kv59dmSxz4",medium lie literally ee ete sa rst al eran wd sce verify wake anche free fa
18,CovidHoax,1357473106693038080,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/Eta2mG8UYAEISiF.jpg,"Tyrant &amp; half-wit @GovInslee keeps moving those arbitrary goal posts. Sleepy Jay wants to punish the rural counties that didn’t provide enough votes for him, even with the cheating. #CovidHoax is a gift for authoritarians like Inslee who want to punish and control the population. https://t.co/Xt2O2dUKPi https://t.co/aH80ezEh7H",ft dd quarantine quarantine tomorrow quarantine forever jay
19,CovidHoax,1357143257713700864,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtWKmbGWYAEEXoF.jpg,"This is the Person calling you a Conspiracy Theorist❗😏
#AntiNewWorldOrder #Trump2024 #lockdown #Trump #nwo #HunterBiden #Biden #JoeBiden #covidhoax #conspiracytheory #SleepyJoe #Memes #snowflakes https://t.co/gSlzP8ND7g",call ces hee free theorist
20,CovidHoax,1357144960882139138,./tweet_data/vaccine_2021-02/CovidHoax/tweets1/EtWMJkQWQAA-l68.jpg,"💯% True❗

#AntiNewWorldOrder #Trump2024 #lockdown #Trump #nwo #HunterBiden #Biden #JoeBiden #covidhoax #conspiracytheory #SleepyJoe #Memes #snowflakes https://t.co/La7sqsuOqG",flu deaths ry bl ake ar right
21,CovidHoax,1360257694876205058,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/EuCbKdIWQAkzg8z.jpg,"How many times does a person get vaccinated?😳🤔

 Vaccine promotion in globalism media.

 The media is lying, and understanding this no longer requires outstanding intelligence and genius. #CovidHoax https://t.co/oVHtnHXiLB",ita rate se oe pa ee mt gott oe bayern fine nur noch das alles
22,CovidHoax,1358801147163729922,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/EttucJ_XAAAp4ry.jpg,Here’s the Monday Morning Wake up .... #covidhoax #sheeple #WakeUpAmerica you’re being #played https://t.co/rgYHIoukPb,isnt cy affect wa people iy
23,CovidHoax,1360030507258544129,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/Et_MidmWQAYypJ3.jpg,"Fake virus, fake pandemic, fake governments. #covidhoax #fakevirus #fakepandemic #wakethefuckup https://t.co/68V4TrCyn2",mt tr non tae aul people ae sey ls os ah
24,CovidHoax,1359593850688458767,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/Et4_ZeFXYAE5Uo1.jpg,"On behalf of the UK: Go fuck yourself!
We no longer believe the lies about Covid. Any government that continues to force this agenda will be voted out of power.
#CovidUK #NoMoreLockdowns #covidhoax #uk #social https://t.co/ZLxZLYoOyB",ee roo vaal ga uy wn uk health experts social distance year
25,CovidHoax,1358846189735538694,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/EtuXZ_hUYAIBssy.jpg,"These people jammed together on one screen and no one responsible enough to wear a mask and stay 6 feet apart. Shameful!

#COVIDHoax
#LiberalismIsTheRealPandemic https://t.co/kKRtxPbC5f",hye wh cr cabal push shadow neal 020 election ce stop trump run ig sanam ae ire sy
26,CovidHoax,1359896128326672386,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/Et9SUcpXcAI5dBo.jpg,"Absolutely 100% yes.
This is the plan with the Covid “hoax.”

#GreatReset #nwo #newworldorder #TheGreatReset #wef #worldeconomicforum #Zerocovid #COVID19 #covidhoax #covid19hoax #COVIDzero #immunitypassports #ConcentrationCamps #REOPENSCHOOLS #quarantinehotels #Dictatorship https://t.co/AOSbOzBRV2",bay ctt nya hl fearmongere crash economy implement great reset pandemic bi information visit
27,CovidHoax,1359819167239700480,./tweet_data/vaccine_2021-02/CovidHoax/tweets2/Et8MT3vXEAEk4bh.jpg,"@InsJimJones @gmpolice @metpoliceuk IGNORANCE IS NO DEFENCE https://t.co/NGvXhFr00J
Press ▶ on any page next to CHOOSE YOUR SIDE 
THE POLICE AGREE BORIS JOHNSON IS A PROLIFIC TERRORIST!
ANTI TERRORIST HOTLINE CONFIRM MATT HANCOCK IS A TERRORIST!
💉 KILL
THE TESTS DON'T WORK
THE MASKS DON'T WORK
#CovidHoax https://t.co/uGVsZiqdyV",359 cic ae ee heal ot sot za ee pon lee unity cv este ore set vr
28,CovidHoax,1362660055624130560,./tweet_data/vaccine_2021-02/CovidHoax/tweets3/EukkGJGWYAEk9mp.jpg,#covidhoax brainwashing 24/7 https://t.co/qSHeDnTw17,ra cases fa region england vaccinate near hl fs tee ee merde cate ly aa lead pata la
29,CovidHoax,1362000217642577922,./tweet_data/vaccine_2021-02/CovidHoax/tweets3/EubL-lCXIAAIVw9.jpg,"Avoid this deadly virus at all costs. 

#TonyBlair #Ghoul #WarCriminal #Evil #CovidHoax #Agenda21 #TheGreatReset https://t.co/I9bIal6j8J",es al mutant strain evil hit uk 17 year ago resurface england strain likely spread number country expert warn
30,CovidHoax,1361929348656340992,./tweet_data/vaccine_2021-02/CovidHoax/tweets3/EuaLhYRWQAAHDdY.jpg,#covidhoax brainwashing 24/7 https://t.co/iip37mM4Qi,global surge testing deploy surrey manchester southampton wag tan tas pest ee
31,CovidHoax,1361389310071738373,./tweet_data/vaccine_2021-02/CovidHoax/tweets3/EuSgXCvXcAU2Eit.jpg,#covidhoax brainwashing 24/7 https://t.co/NGsC07TJ4A,global bs ee ru 15 million people uk dose emu jab 2p lean eo eee ss ss
32,CovidHoax,1364094073297137665,./tweet_data/vaccine_2021-02/CovidHoax/tweets4/Eu48U5MWYAA6eUt.jpg,#covidhoax brainwashing 24/7 https://t.co/B1W0dCWPt0,mayor london ww ot xs co vacc protect ine yes save tho life help bl
33,CovidHoax,1364450076555362304,./tweet_data/vaccine_2021-02/CovidHoax/tweets4/Eu-AAMBXYAEwZZD.jpg,Let's talk some truths #plandemic #covidhoax #arrestbillgates #wakeup #nwo https://t.co/2pHXTZGAhl,pandemic room
