id,ageism,asianhate,immigration,mask,politics,vaccine
5017,1,1,1,1,1,1
5023,0,0,0,1,0,0
5025,0,0,0,0,0,0
5036,0,0,0,0,0,0
5039,0,0,0,0,0,0
5041,0,0,0,0,0,0
5047,0,0,0,0,0,0
5048,0,0,0,0,0,0
5049,0,0,0,0,0,0
5051,0,0,0,0,0,0
5055,0,0,0,0,0,0
5063,0,0,0,0,0,0
5065,1,0,0,1,1,0
5066,0,0,0,0,0,0
5073,0,0,0,0,0,0
5083,0,0,0,0,0,0
5087,1,0,0,1,1,0
5088,0,0,0,0,0,0
5092,0,0,0,0,0,0
5093,0,0,0,0,0,0
5094,0,0,0,0,0,0
5095,0,0,0,0,0,0
5096,0,0,0,0,0,0
5107,0,0,0,0,0,0
5113,0,0,0,0,0,0
5124,0,0,0,0,0,0
5131,0,0,0,0,0,0
5156,0,0,0,0,0,0
5160,0,0,0,0,0,0
5169,0,0,0,0,0,0
5173,0,0,0,0,0,0
5174,0,0,0,0,0,0
5181,1,1,1,1,1,1
5186,0,0,1,0,0,0
5189,1,0,0,0,1,0
5191,1,1,1,1,1,1
5201,0,0,0,0,0,0
5207,0,1,1,0,0,0
5208,0,0,0,0,0,0
5210,1,1,1,1,1,1
5212,0,0,0,0,1,0
5214,0,0,0,0,0,0
5215,0,0,0,0,0,0
5221,0,0,0,0,0,0
5227,0,0,0,0,0,0
5228,0,1,0,1,0,1
5229,1,1,1,1,1,1
5230,1,1,1,1,1,1
5236,0,0,0,0,0,0
5239,1,1,1,1,1,1
5240,0,0,0,0,0,0
5241,0,0,0,0,0,0
5242,1,0,0,0,0,0
5247,1,1,1,1,1,1
5251,1,0,1,0,1,0
5254,1,1,1,1,1,1
5256,1,1,0,0,0,1
5257,1,1,1,1,1,1
5259,0,1,0,1,0,1
5260,0,0,0,0,0,0
5263,0,0,1,0,1,0
5265,0,0,0,0,0,0
5268,1,0,1,0,1,0
5269,1,1,1,1,1,1
5270,1,1,1,1,1,1
5271,0,0,0,0,0,0
5272,1,1,1,1,1,1
5273,0,1,0,0,0,1
5278,0,0,0,0,0,0
5279,1,1,1,1,1,1
5285,0,0,0,0,0,0
5286,1,0,0,0,0,0
5288,1,1,1,1,1,1
5290,0,0,0,1,0,0
5292,1,0,0,1,0,1
5295,1,1,1,1,1,1
5297,0,0,0,0,0,0
5299,0,0,0,0,0,0
5300,0,0,0,0,0,0
5304,1,0,0,0,0,0
5307,0,1,1,0,0,0
5308,0,0,1,0,0,0
5319,1,1,1,1,1,1
5322,0,0,0,0,0,0
5323,1,1,1,1,1,1
5331,0,0,0,0,0,0
5337,1,1,1,1,1,1
5340,0,0,0,0,0,0
5342,0,1,0,0,0,1
5345,1,1,0,0,0,1
5350,0,0,0,0,0,0
5353,1,0,0,0,0,0
5371,1,1,1,1,1,1
5375,0,0,0,0,0,0
5383,0,0,0,0,0,0
5394,1,1,1,1,1,1
5402,1,0,1,0,1,0
5405,1,0,0,1,1,0
5409,0,0,0,0,0,0
5414,0,0,0,0,0,0
5415,1,1,1,1,1,1
5419,0,0,0,0,0,0
5436,0,0,0,0,0,0
5438,0,1,0,1,0,1
5447,1,0,0,0,0,0
5450,1,1,1,1,1,1
5462,0,0,0,0,0,0
5463,0,0,0,0,0,0
5474,0,0,0,1,0,0
5485,0,0,0,0,0,0
5486,1,1,1,1,1,1
5490,0,0,0,0,0,0
5511,0,0,1,0,0,0
5513,0,0,0,0,0,0
5514,0,0,0,0,0,0
5516,1,1,1,1,1,1
5520,0,0,0,0,0,0
5522,0,0,0,0,0,0
5524,0,0,0,0,0,0
5525,1,1,1,1,1,1
5528,1,0,0,0,0,0
5540,0,1,0,1,0,1
5543,0,0,0,0,0,0
