Object,Percentage
maga,0.1352819936293798
Trump2020,0.09956904628068203
trumpvirus,0.08589094997189432
TrumpIsACompleteFailure,0.04384485666104553
TrumpIsALaughingStock,0.04234588720254825
kag,0.033239647742177254
covidiots,0.032452688776466176
cdnpoli,0.03147835862844295
Election2020,0.02900505902192243
WearAMask,0.027356192617575416
TrumpIsANationalDisgrace,0.024957841483979764
Trump2020Landslide,0.02345887202548248
ChinaVirus,0.020460933108487914
LiarInChief,0.017575416900880644
americafirst,0.01750046842795578
CCPVirus,0.01678845793516957
ChinaLiedPeopleDied,0.016338767097620385
TrumpGenocide,0.01607644744238336
covidvaccine,0.014689900693273375
maskup,0.012778714633689339
