Object,Percentage
ChinaVirus,0.20373134328358208
CCPVirus,0.16716417910447762
ChinaLiedPeopleDied,0.1626865671641791
BoycottChina,0.10261194029850747
chinesevirus,0.06305970149253731
ChineseVirus,0.060820895522388056
wuhanvirus,0.05373134328358209
ChiNazi,0.045895522388059704
Wuhanvirus,0.045149253731343285
CCP_is_terrorist,0.03470149253731343
CCPLiedPeopleDied,0.02126865671641791
makechinapay,0.010074626865671642
kungflu,0.007462686567164179
FuckChina,0.007462686567164179
MakeChinaPay,0.006343283582089552
ChineseBioterrorism,0.004850746268656716
WuhanLab,0.001119402985074627
wuhanflu,0.001119402985074627
communistvirus,0.0007462686567164179
