Object,Percentage
cdnpoli,0.42424242424242425
americafirst,0.23585858585858585
liberals,0.08636363636363636
immigration,0.05505050505050505
refugees,0.04292929292929293
BuildTheWall,0.03939393939393939
MuslimBan,0.03585858585858586
buildthewall,0.03080808080808081
illegalaliens,0.022222222222222223
BorderCrisis,0.009595959595959595
stoptheinvasion,0.005555555555555556
deport,0.0035353535353535356
deportthemall,0.0025252525252525255
illegalimmigrants,0.00202020202020202
illegalimmigration,0.0015151515151515152
multiculturalism,0.0015151515151515152
DeportThemAll,0.00101010101010101
