Object,Percentage
WearAMask,0.381201044386423
maskup,0.17806788511749347
facemask,0.12114882506527415
masks,0.11331592689295039
facemasks,0.07362924281984334
Masks4All,0.027676240208877285
WearYourMask,0.019321148825065273
maskon,0.01671018276762402
NoMasks,0.014621409921671017
masksdontwork,0.010966057441253264
maskhole,0.008877284595300261
masksoff,0.00835509138381201
maskssavelives,0.006788511749347258
maskoff,0.005744125326370757
takeoffyourmask,0.0036553524804177544
masknazis,0.003133159268929504
masksforall,0.0026109660574412533
nomaskonme,0.001566579634464752
NoMoreMasks,0.001566579634464752
MasksOffAmerica,0.0005221932114882506
