Object,Percentage
maga,0.2111111111111111
Trump2020,0.15538011695906434
trumpvirus,0.13403508771929826
TrumpIsACompleteFailure,0.06842105263157895
TrumpIsALaughingStock,0.06608187134502924
kag,0.05187134502923976
Election2020,0.045263157894736845
TrumpIsANationalDisgrace,0.03894736842105263
Trump2020Landslide,0.03660818713450292
LiarInChief,0.02742690058479532
TrumpGenocide,0.025087719298245614
TrumpLiesPeopleDie,0.019064327485380117
TrumpCult,0.013801169590643274
RacistInChief,0.013450292397660818
AmericaOrTrump,0.012865497076023392
TrumpChaos,0.011461988304093567
stopthesteal,0.008538011695906433
Plandemic,0.008187134502923977
CreepyJoe,0.006900584795321637
bluewave,0.006725146198830409
