Object,Percentage
covidvaccine,0.23671497584541062
COVID19Vaccine,0.10990338164251208
FireFauci,0.07729468599033816
Plandemic,0.07367149758454106
VaccinesWork,0.06702898550724638
GetVaccinated,0.06521739130434782
BillGatesBioTerrorist,0.05555555555555555
antivax,0.05253623188405797
CoronavirusVaccine,0.0464975845410628
antivaxxers,0.04589371980676329
CovidHoax,0.041666666666666664
FauciTheFraud,0.029589371980676328
CoronaHoax,0.01570048309178744
vaccinesSaveLives,0.01570048309178744
depopulation,0.015096618357487922
Convid19,0.013888888888888888
scamdemic2020,0.012681159420289856
antivaxx,0.010265700483091788
FauciLiedPeopleDied,0.007246376811594203
BillGatesIsNotADoctor,0.0036231884057971015
