Object,Percentage
Font,0.34711964549483015
Gesture,0.20014771048744462
Forehead,0.13663220088626293
Smile,0.13367799113737075
Sleeve,0.1307237813884786
Product,0.11669128508124077
Chin,0.11521418020679468
Tie,0.1137370753323486
Human,0.10265878877400296
Facial expression,0.09527326440177253
Happy,0.08493353028064993
Nose,0.08050221565731167
Coat,0.0775480059084195
Hair,0.06868537666174299
Eyebrow,0.06277695716395865
Hairstyle,0.0620384047267356
Organism,0.05982274741506647
Cartoon,0.05982274741506647
Photograph,0.05760709010339734
Jaw,0.056129985228951254
