Object,Percentage
Font,0.3660108675285741
Gesture,0.23754918493535696
Tie,0.19044406970207983
Forehead,0.17238148772718756
Chin,0.16230091811879332
Smile,0.1442758103803635
Coat,0.14109050028105677
Sleeve,0.1325838486040847
Facial expression,0.1196177627880832
Human,0.11141090500281056
Product,0.10091811879332958
Happy,0.08990069327337455
News,0.0746486790331647
Nose,0.06943976016488664
Outerwear,0.06917744050964962
Eyebrow,0.0679782649428518
Hair,0.06501780026231965
Suit,0.0648304290800075
Jaw,0.0629567172568859
Head,0.0628442945474986
