Object,Percentage
Font,0.43992537313432833
Gesture,0.2294776119402985
Forehead,0.15485074626865672
Product,0.1294776119402985
Smile,0.12761194029850748
Chin,0.12723880597014925
Facial expression,0.12425373134328359
Human,0.12126865671641791
Tie,0.11716417910447761
Sleeve,0.1167910447761194
Happy,0.11529850746268656
Coat,0.10783582089552239
Cartoon,0.09477611940298507
Poster,0.08470149253731343
World,0.0791044776119403
Organism,0.07537313432835821
Outerwear,0.06417910447761194
Eyebrow,0.059328358208955226
Sharing,0.058208955223880594
Head,0.05783582089552239
