Object,Percentage
Font,0.4121212121212121
Gesture,0.22676767676767676
Tie,0.16515151515151516
Forehead,0.15404040404040403
Sleeve,0.1383838383838384
Facial expression,0.13636363636363635
Smile,0.13282828282828282
Chin,0.1297979797979798
Happy,0.12474747474747475
Coat,0.11262626262626263
Human,0.10757575757575757
Product,0.10606060606060606
Jaw,0.07424242424242425
News,0.0696969696969697
Organism,0.06464646464646465
Eyebrow,0.06363636363636363
Outerwear,0.06161616161616162
Suit,0.06060606060606061
Event,0.05656565656565657
Poster,0.05353535353535353
