Object,Percentage
Font,0.30913838120104437
Sleeve,0.17859007832898172
Forehead,0.15718015665796345
Product,0.13994778067885116
Gesture,0.1352480417754569
Chin,0.1195822454308094
Nose,0.10913838120104438
Eyebrow,0.10652741514360313
Head,0.09608355091383812
Hair,0.09399477806788512
Facial expression,0.0866840731070496
Human,0.08563968668407311
Hairstyle,0.08511749347258486
Outerwear,0.0783289817232376
Vision care,0.0751958224543081
Happy,0.0751958224543081
Smile,0.06997389033942558
Photograph,0.06840731070496084
Jaw,0.06579634464751959
Tie,0.06005221932114883
