Object,Percentage
Font,0.3598830409356725
Gesture,0.25859649122807016
Tie,0.235906432748538
Chin,0.18239766081871345
Forehead,0.18210526315789474
Coat,0.1728654970760234
Smile,0.15789473684210525
Sleeve,0.12771929824561404
Facial expression,0.12461988304093567
Human,0.11175438596491229
News,0.08894736842105264
Product,0.08771929824561403
Happy,0.08456140350877193
Suit,0.07789473684210527
Outerwear,0.07333333333333333
Nose,0.0684795321637427
Jaw,0.06631578947368422
Eyebrow,0.06473684210526316
Poster,0.06461988304093567
Hair,0.06444444444444444
