Object,Percentage
trump,0.17208271787296897
karen,0.11447562776957164
mask,0.07459379615952733
people,0.05391432791728213
america,0.05096011816838995
man,0.0361890694239291
idiot,0.033973412112259974
clorox,0.03323485967503693
vaccine,0.0310192023633678
woman,0.028064992614475627
virus,0.027326440177252585
time,0.025110782865583457
donald,0.025110782865583457
karens,0.025110782865583457
life,0.024372230428360415
death,0.02141802067946824
bleach,0.0206794682422452
year,0.019202363367799114
day,0.01846381093057607
today,0.01846381093057607
