Object,Percentage
trump,0.2658047592280307
america,0.07262507026419336
china,0.0648304290800075
president,0.06037099494097808
people,0.05549934420086191
donald,0.05523702454562488
biden,0.048004496908375494
mask,0.04178377365561177
joe,0.0378489788270564
world,0.03616263818624695
man,0.03342701892448941
virus,0.03264005995877834
vaccine,0.030429080007494846
time,0.025557429267378678
news,0.02525763537567922
democrats,0.024283305227655986
year,0.023946037099494097
life,0.020498407344950346
country,0.019786396852164136
day,0.019411654487539818
