Object,Percentage
trump,0.12323232323232323
america,0.08333333333333333
canada,0.06161616161616162
people,0.0601010101010101
president,0.04242424242424243
china,0.04090909090909091
biden,0.03787878787878788
trudeau,0.03787878787878788
country,0.03636363636363636
time,0.03484848484848485
child,0.030303030303030304
ban,0.030303030303030304
party,0.02878787878787879
man,0.025757575757575757
news,0.025252525252525252
god,0.025252525252525252
wall,0.024242424242424242
vaccine,0.022727272727272728
joe,0.021212121212121213
year,0.02070707070707071
