Object,Percentage
mask,0.34308093994778066
face,0.08407310704960835
trump,0.04073107049608355
people,0.038642297650130546
man,0.026631853785900782
life,0.026631853785900782
nose,0.026631853785900782
spread,0.02610966057441253
world,0.025065274151436032
health,0.02454308093994778
year,0.022976501305483028
hand,0.02193211488250653
protect,0.021409921671018278
day,0.020365535248041775
vaccine,0.020365535248041775
time,0.019843342036553524
virus,0.019321148825065273
woman,0.01723237597911227
thing,0.014621409921671017
way,0.014099216710182768
