Object,Percentage
trump,0.36912280701754385
america,0.09298245614035087
president,0.08070175438596491
donald,0.07970760233918128
biden,0.06339181286549708
people,0.05169590643274854
joe,0.05017543859649123
man,0.039239766081871345
democrats,0.03181286549707602
news,0.02847953216374269
year,0.027485380116959064
time,0.027309941520467836
idiot,0.02415204678362573
ass,0.02298245614035088
election,0.02257309941520468
woman,0.022514619883040935
believe,0.022514619883040935
vote,0.022105263157894735
life,0.020818713450292396
clorox,0.020760233918128656
