Object,Percentage
vaccine,0.3351449275362319
research,0.06219806763285024
people,0.05434782608695652
world,0.05314009661835749
health,0.051932367149758456
mask,0.04589371980676329
vaccinate,0.04106280193236715
virus,0.04045893719806763
trump,0.0392512077294686
bill,0.03864734299516908
life,0.034420289855072464
anti,0.03321256038647343
china,0.0320048309178744
chance,0.028985507246376812
vax,0.028381642512077296
news,0.028381642512077296
vaccination,0.02717391304347826
year,0.022342995169082124
believe,0.022342995169082124
doctor,0.021135265700483092
