Object,Percentage
trump,0.17725258493353027
karen,0.10635155096011817
mask,0.06351550960118169
people,0.05391432791728213
america,0.05096011816838995
karens,0.033973412112259974
man,0.03323485967503693
idiot,0.03323485967503693
clorox,0.03323485967503693
virus,0.027326440177252585
pandemic,0.026587887740029542
vaccine,0.0258493353028065
donald,0.025110782865583457
life,0.023633677991137372
woman,0.023633677991137372
time,0.022156573116691284
loser,0.0206794682422452
bleach,0.0206794682422452
face,0.019940915805022157
day,0.01846381093057607
