Object,Percentage
trump,0.2692523889825745
america,0.07262507026419336
china,0.0648304290800075
president,0.06033352070451565
people,0.05549934420086191
donald,0.05523702454562488
biden,0.04755480607082631
joe,0.0378489788270564
mask,0.03627506089563425
world,0.036125163949784524
virus,0.032602585722315905
man,0.02994191493348323
vaccine,0.027693460745737305
news,0.025295109612141653
democrats,0.024845418774592468
year,0.023871088626569233
time,0.022409593404534384
life,0.020161139216788457
country,0.019599025669851975
day,0.019149334832302793
