Object,Percentage
china,0.47276119402985073
world,0.15746268656716417
virus,0.14216417910447762
people,0.08992537313432836
boycott,0.08395522388059702
wuhan,0.06343283582089553
chinese,0.061567164179104475
trump,0.05634328358208955
hong,0.048507462686567165
health,0.047388059701492534
kong,0.04626865671641791
organization,0.04216417910447761
product,0.037686567164179105
taiwan,0.03246268656716418
president,0.03134328358208955
government,0.030597014925373135
spread,0.029477611940298507
party,0.029104477611940297
joe,0.029104477611940297
corona,0.028731343283582088
