Object,Percentage
trump,0.12676767676767678
america,0.08333333333333333
canada,0.06161616161616162
people,0.0601010101010101
president,0.04242424242424243
china,0.04090909090909091
biden,0.03787878787878788
trudeau,0.03787878787878788
country,0.03636363636363636
ban,0.03333333333333333
time,0.03080808080808081
conservative,0.030303030303030304
liberal,0.0297979797979798
child,0.0297979797979798
party,0.02878787878787879
news,0.025252525252525252
god,0.024242424242424242
white,0.023737373737373738
man,0.023232323232323233
wall,0.022727272727272728
