Object,Percentage
mask,0.3018276762402089
face,0.10026109660574413
wear,0.04856396866840731
masks,0.04386422976501306
trump,0.0433420365535248
people,0.038642297650130546
nose,0.026631853785900782
life,0.02610966057441253
spread,0.02610966057441253
world,0.025065274151436032
health,0.02454308093994778
year,0.022976501305483028
protect,0.021409921671018278
man,0.020887728459530026
hand,0.020887728459530026
day,0.019843342036553524
virus,0.019321148825065273
way,0.01723237597911227
time,0.01671018276762402
vaccine,0.01618798955613577
