Object,Percentage
trump,0.3739766081871345
america,0.09298245614035087
president,0.08064327485380117
donald,0.07970760233918128
biden,0.06309941520467836
people,0.05169590643274854
joe,0.05017543859649123
man,0.035146198830409356
democrats,0.03263157894736842
news,0.02853801169590643
year,0.02742690058479532
time,0.024210526315789474
ass,0.022923976608187135
believe,0.022514619883040935
election,0.02245614035087719
idiot,0.022046783625730995
shit,0.021812865497076023
clorox,0.020760233918128656
vote,0.020584795321637428
life,0.02046783625730994
