Object,Percentage
vaccine,0.3073671497584541
anti,0.06582125603864734
research,0.06219806763285024
people,0.05434782608695652
world,0.05253623188405797
health,0.051932367149758456
vaccinate,0.042270531400966184
virus,0.04045893719806763
trump,0.0392512077294686
bill,0.03864734299516908
life,0.033816425120772944
mask,0.033816425120772944
china,0.0320048309178744
chance,0.028985507246376812
vax,0.028381642512077296
news,0.028381642512077296
vaccines,0.027777777777777776
gates,0.02717391304347826
vaccination,0.026570048309178744
year,0.022342995169082124
